new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
all right first one the state for this accepting this refugees,5.0,1.333,2.667,1.667,1.0,1.333,1.0,5.0,3.0,2.667,1.333,1.0,1.667,1.0
arrived in this especially in many Arab Jesus arrived in,10.0,1.667,2.667,1.667,1.0,1.333,1.0,10.0,3.333,3.0,1.333,1.0,2.0,1.0
Jeju Allah first of all I want to mention that the current,15.0,2.0,2.667,1.333,1.0,1.333,1.0,15.0,3.333,2.667,1.333,1.0,2.333,1.0
movement in South Korea against against this year many refugees are,20.0,2.0,3.0,1.333,1.0,1.333,1.0,20.0,3.667,2.667,1.333,1.0,2.333,1.0
pretty much standard phobic activity because,25.0,2.0,3.0,1.333,1.0,1.333,1.0,25.0,3.333,2.667,1.333,1.0,2.333,1.0
right now those refugees are arrived and those refugees arrived in Jeju,30.0,2.667,3.333,1.333,1.0,1.333,1.0,30.0,3.333,2.667,1.333,1.0,2.333,1.0
Island and are under intense examination of whether they are really lawful refugees and their Korean law or not,35.0,2.667,3.333,1.333,1.0,1.333,1.0,35.0,3.333,3.0,1.333,1.0,2.333,1.0
and of course since they well at least,40.0,2.667,3.0,1.333,1.0,1.333,1.0,40.0,4.0,3.333,1.333,1.0,1.667,1.0
they're claiming that they are fleeing from those conflicts and persecution and we all know that Yemen has,45.0,2.333,2.667,1.333,1.0,1.667,1.0,45.0,3.333,3.333,1.333,1.0,1.667,1.0
currently undergoing this Civil War and we I know that if I call,50.0,3.0,2.333,1.333,1.0,2.0,1.0,50.0,3.333,3.0,1.333,1.0,2.0,1.0
it says they do have some threats in their own country,55.0,2.333,2.333,1.333,1.0,2.0,1.0,55.0,3.333,3.0,1.333,1.0,1.667,1.0
and yeah we have to of course we have to examine the fact that whether they are,60.0,2.333,2.333,1.333,1.0,2.0,1.0,60.0,3.333,3.0,1.333,1.0,1.667,1.0
really facing thus those threats by themselves in their Nation,65.0,3.0,2.0,1.333,1.0,2.0,1.0,65.0,3.333,3.0,1.333,1.0,2.0,1.0
by person by person but it's all they guaranteed,70.0,2.667,2.0,1.333,1.0,1.667,1.0,70.0,3.333,3.0,1.333,1.0,1.667,1.0
or is their right to be examined fairly under those,75.0,2.333,2.667,1.333,1.0,1.667,1.0,75.0,3.333,3.0,1.333,1.0,1.667,1.0
under those posts asses and loss stand loss,80.0,2.333,2.667,1.333,1.0,1.667,1.0,80.0,3.667,3.0,1.333,1.0,1.667,1.0
for for Korea being under the UN Refugee Convention,85.0,3.0,2.667,1.667,1.0,1.667,1.0,85.0,3.333,3.0,1.333,1.0,2.0,1.0
as they've just signed they like several tens of years ago they create,90.0,3.333,2.667,1.333,1.0,1.667,1.0,90.0,3.333,3.0,1.333,1.0,2.0,1.0
do have an obligation to fairly examine and if they are lawful but if you have,95.0,3.0,2.667,1.333,1.0,1.667,1.0,95.0,3.333,3.0,1.333,1.0,2.0,1.0
to accept it,100.0,2.667,3.0,1.667,1.0,1.333,1.0,100.0,3.333,3.0,1.333,1.0,2.0,1.0
yeah so,105.0,3.0,3.0,1.333,1.0,1.333,1.0,105.0,3.333,3.0,1.333,1.0,2.0,1.0
overall I like against this accepting the refugees,110.0,2.333,3.0,1.333,1.0,1.333,1.0,110.0,3.333,3.0,1.333,1.0,2.0,1.0
currently in Jeju largely because a lot of the population is not,115.0,2.667,3.333,1.333,1.0,1.333,1.0,115.0,3.333,3.0,1.333,1.0,2.333,1.0
agreeing to it or accepting it already seven hundred thousand people signed a petition to the blue house,120.0,3.0,3.333,1.333,1.0,1.333,1.0,120.0,3.333,3.0,1.333,1.0,2.0,1.0
against accepting the refugees and,125.0,3.0,3.333,1.333,1.0,1.333,1.0,125.0,3.333,3.0,1.333,1.0,2.0,1.0
the difference I guess when you're talking about xenophobia is,130.0,3.0,3.333,1.333,1.0,1.333,1.0,130.0,3.333,3.0,1.333,1.0,2.0,1.0
there already 2 million foreigners leave living illegally in Korea right now,135.0,3.0,3.333,1.333,1.0,1.333,1.0,135.0,3.333,3.0,1.333,1.0,2.0,1.0
the reason people are against it would be more because these people,140.0,2.667,3.333,1.333,1.0,1.333,1.0,140.0,3.333,3.0,1.333,1.0,2.0,1.0
without visas cannot be accounted for but their actions the country itself because it seems such,145.0,2.667,3.333,1.333,1.0,1.333,1.0,145.0,3.333,3.0,1.333,1.0,2.0,1.0
