seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,4,4,3,2,1,1,1,,,,x,,,,,,,,,,,x
10,4,4,3,2,1,1,1,,,,x,,,,,,,,,,,x
15,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
20,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
25,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
30,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
35,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
40,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
45,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
50,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
55,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
60,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
65,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
70,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
75,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
80,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
85,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
90,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
95,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
100,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
105,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
110,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
115,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
120,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
125,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
130,3,3,2,1,1,1,1,,,x,,,,,,,,,,,,x
135,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
140,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
145,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
150,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
155,3,3,2,1,1,1,1,,,,x,,,,,,,,,x,,
160,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
165,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
170,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
175,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
180,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
185,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
190,3,4,3,1,1,1,1,,,,x,,,,,,,,,,,x
195,3,3,2,1,1,1,1,,,,x,,,,,,,,,x,,
200,3,3,2,1,1,1,1,,,,x,,,,,,,,,x,,
205,3,3,1,1,1,1,1,,,,x,,,,,,,,,x,,
210,3,3,1,1,1,1,1,,,,x,,,,,,,,,x,,
215,3,3,1,1,1,1,1,,x,,,,,,,,,,,,,x
220,3,3,1,1,1,1,1,,x,,,,,,,,,,,,,x
225,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
230,2,3,2,1,1,1,1,,,,,,,x,,,,,,,,x
235,3,3,3,1,1,1,1,,,,,,,x,,,,,,,,x
240,2,3,2,1,1,1,1,,,,,,,x,,,,,,,,x
245,3,3,3,1,1,1,1,,,,,,,x,,,,,,,,x
250,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
255,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
260,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
265,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
270,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
275,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
280,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
285,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
290,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
295,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
300,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
305,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
310,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
315,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
320,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
325,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
330,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
335,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
340,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
345,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
350,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
355,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
360,3,4,3,2,1,1,1,,,x,,,,,,,,,,,,x
365,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
370,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
375,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
380,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
385,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
390,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
395,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
400,4,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
405,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
410,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
415,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
420,3,3,2,1,1,1,1,,,,x,,,,,,,,,x,,
425,4,3,2,1,2,1,1,,,,x,,,,,,,,,,,x
430,4,3,2,1,2,1,1,,,,x,,,,,,,,,,,x
435,4,3,2,1,2,1,1,,x,,,,,,,,,,,,,x
440,4,2,1,1,3,1,1,,,,,x,,,x,,,,,,,
445,3,2,1,1,2,1,1,,x,,,,,,x,,,,,,,
450,3,2,1,1,3,1,1,,x,,,,,,x,,,,,,,
455,3,2,1,1,3,1,1,,x,,,,,,x,,,,,,,
460,3,1,2,1,2,1,1,,,,,,,x,,,,,,,,x
465,3,1,2,1,3,1,1,,,,,,,x,,,,,,,,x
470,4,1,3,1,3,1,1,,,,,,,x,,x,,,,,,
475,3,1,2,1,2,1,1,,,,x,,,,,x,,,,,,
480,3,2,2,1,2,1,1,,,,x,,,,,,,,,,,x
485,3,2,1,1,2,1,1,,x,,,,,,,,,,,,,x
490,3,2,1,1,2,1,1,,x,,,,,,,,,,,,,x
495,3,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
500,3,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
505,3,2,1,1,2,1,1,,,,x,,,,,x,,,,,,
510,3,2,2,1,3,1,1,,,,x,,,,,x,,,,,,
515,3,2,2,1,3,1,1,,,,x,,,,,x,,,,,,
520,3,2,1,1,3,1,1,,,,x,,,,,x,,,,,,
525,3,2,1,1,3,1,1,,,,x,,,,,,,,,,,x
530,3,2,2,1,2,1,1,,,,x,,,,,,,,,,,x
535,3,2,2,1,2,1,1,,,,x,,,,,,,,,x,,
540,3,2,2,1,2,1,1,,,,x,,,,,,,,,x,,
545,3,2,2,1,2,1,1,,,,x,,,,,x,,,,,,
550,3,2,2,1,2,1,1,,,,x,,,,,x,,,,,,
555,3,2,2,1,2,1,1,,,,x,,,,,,,,,,,x
560,3,2,2,1,2,1,1,,,,x,,,,,,,,,,,x
565,3,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
570,3,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
575,3,2,1,1,2,1,1,,,,x,,,,,x,,,,,,
580,3,2,1,1,3,1,1,,x,,,,,,,x,,,,,,
585,3,2,2,1,3,1,1,,,,x,,,,,x,,,,,,
590,3,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
595,3,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
600,3,2,2,1,2,1,1,,,,x,,,,,,,,,x,,
605,3,3,2,1,2,1,1,,,,x,,,,,,,,,,,x
610,3,3,3,2,1,1,1,,x,,,,,,,,,,,,,x
615,3,3,3,2,1,1,1,,,x,,,,,,,,,,,,x
