seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,2,2,3,2,1,2,1,,,,x,,,,,,,,,,,x
10,2,2,3,2,1,2,1,,,,x,,,,,,,,,,,x
15,2,2,3,2,1,2,1,,,,x,,,,,,,,,,,x
20,2,2,3,2,1,2,1,,,,x,,,,,,,,,,,x
25,2,2,3,2,1,2,1,,,,x,,,,,,,,,,,x
30,2,2,3,2,1,2,1,,,,x,,,,,,,,,,,x
35,2,2,3,2,1,2,1,,,,x,,,,,,,,,,,x
40,2,2,3,2,1,1,1,,,,x,,,,,,,,,,,x
45,2,2,3,2,1,1,1,,,,x,,,,,,,,,,,x
50,2,2,3,2,1,1,1,,,,x,,,,,,,,,,,x
55,2,2,3,2,1,1,1,,,,x,,,,,,,,,,,x
60,2,2,2,1,1,1,1,,,,x,,,,,,,,,,,x
65,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
70,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
75,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
80,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
85,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
90,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
95,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
100,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
105,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
110,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
115,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
120,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
125,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
130,2,2,2,1,1,1,1,,,,,,,x,,,,,,,,x
135,4,3,3,3,1,3,1,,,,x,,,,,,,,,,,x
140,4,3,3,3,1,3,1,,,,x,,,,,,,,,,,x
145,4,3,3,3,1,3,1,,,,x,,,,,,,,,,,x
150,4,3,3,3,1,3,1,,,,x,,,,,,,,,,,x
155,4,3,3,3,1,2,1,,,,x,,,,,,,,,,,x
160,3,2,3,3,1,2,1,,,,x,,,,,,,,,,,x
165,3,2,3,2,1,2,1,,,,x,,,,,,,,,,,x
170,3,2,3,2,1,2,1,,,,x,,,,,,,,,,,x
175,3,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
180,3,2,2,2,1,1,1,,,,x,,,,,,,,,,,x
185,3,2,2,2,1,1,1,,,,x,,,,,,,,,,,x
190,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
195,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
200,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
205,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
210,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
215,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
220,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
225,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
230,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
235,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
240,2,2,2,2,1,1,1,,,,,,,x,,,,,,,,x
245,3,3,4,2,1,1,1,,,,,,,x,,,,,,,,x
250,3,3,4,2,1,1,1,,,,,,,x,,,,,,,,x
255,3,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
260,3,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
265,3,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
270,3,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
275,3,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
280,3,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
285,3,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
290,3,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
295,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
300,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
305,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
310,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
315,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
320,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
325,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
330,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
335,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
340,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
345,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
350,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
355,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
360,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
365,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
370,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
375,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
380,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
385,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
390,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
395,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
400,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
405,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
410,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
415,2,3,3,2,1,1,1,,,,,,,x,,,,,,,,x
420,5,4,2,1,3,4,1,,,,,x,,,,,,,,,,x
425,5,4,2,1,3,4,1,,,,,x,,,,,,,,,,x
430,5,4,2,1,3,4,1,,,,,x,,,,,,,,,,x
435,5,4,2,1,3,4,1,,,,,x,,,,,,,,,,x
440,5,4,2,1,3,4,1,,,,,x,,,,,,,,,,x
445,5,4,2,1,3,4,1,,,,,x,,,,,,,,,,x
450,4,4,2,1,3,4,1,,,,,x,,,,,,,,,,x
455,4,4,2,1,3,4,1,,,,,x,,,,,,,,,,x
460,4,4,2,1,3,4,1,,,,,x,,,,,,,,,,x
465,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
470,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
475,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
480,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
485,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
490,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
495,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
500,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
505,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
510,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
515,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
520,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
525,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
530,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
535,4,3,2,1,3,4,1,,,,,x,,,,,,,,,,x
