seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x
10,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x
15,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x
20,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x
25,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x
30,3,2,2,1,2,4,1,,,,x,,,,,,,,,,,x
35,3,2,2,1,2,4,1,,,,x,,,,,,,,,,,x
40,3,2,2,1,2,4,1,,,,x,,,,,,,,,,,x
45,3,2,2,1,2,4,1,,,,x,,,,,,,,,,,x
50,4,1,2,1,3,4,1,x,,,,,,,,,,,,,,x
55,4,1,2,1,3,4,1,x,,,,,,,,,,,,,,x
60,4,1,2,1,3,4,1,x,,,,,,,,,,,,,,x
65,4,1,2,1,3,4,1,x,,,,,,,,,,,,,,x
70,4,1,2,1,3,4,1,x,,,,,,,,,,,,,,x
75,4,1,2,1,3,4,1,x,,,,,,,,,,,,,,x
80,5,1,3,3,3,3,1,,,x,,,,,,,,,,,,x
85,5,1,3,3,3,3,1,,,x,,,,,,,,,x,,,
90,5,1,3,3,3,3,1,,,x,,,,,,,,,x,,,
95,5,1,3,3,3,3,1,,,x,,,,,,,,,x,,,
100,5,1,3,3,3,3,1,,,x,,,,,,,,,x,,,
105,5,1,3,3,3,3,1,,,x,,,,,,,,,x,,,
110,5,5,3,3,3,4,1,,,,x,,,,,,,,,x,,
115,5,5,3,3,3,4,1,,,,x,,,,,,,,,x,,
120,5,5,3,3,3,4,1,,,,x,,,,,,,,,x,,
125,5,5,3,3,3,4,1,,,,x,,,,,,,,,x,,
130,5,5,3,3,3,4,1,,,,x,,,,,,,,,x,,
135,5,5,3,3,3,4,1,,,,x,,,,,,,,,x,,
140,5,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
145,5,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
150,5,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
155,5,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
160,5,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
165,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
170,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
175,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
180,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
185,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
190,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
195,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
200,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
205,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
210,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
215,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
220,4,5,3,3,3,4,1,,,,x,,,,,,,,,,,x
225,3,2,3,3,3,2,1,x,,,,,,,,,,,,,,x
230,3,2,3,3,3,2,1,x,,,,,,,,,,,x,,,
235,3,2,3,3,3,2,1,x,,,,,,,,,,,x,,,
240,3,2,3,3,3,2,1,x,,,,,,,,,,,x,,,
245,3,2,3,3,3,2,1,x,,,,,,,,,,,x,,,
250,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
255,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
260,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
265,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
270,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
275,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
280,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
285,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
290,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
295,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
300,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
305,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
310,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
315,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
320,4,1,3,3,3,2,1,x,,,,,,,,,,,x,,,
325,4,1,3,3,2,1,1,,,x,,,,,,,,,,x,,
330,4,1,3,3,2,1,1,,,x,,,,,,,,,,x,,
335,4,1,3,3,2,1,1,,,x,,,,,,,,,,x,,
340,4,1,3,3,2,1,1,,,x,,,,,,,,,,x,,
345,4,5,3,3,2,2,1,,,,x,,,,,,,,,x,,
350,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
355,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
360,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
365,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
370,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
375,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
380,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
385,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
390,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
395,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
400,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
405,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
410,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
415,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
420,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
425,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
430,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
435,4,5,4,4,1,2,1,,,,x,,,,,,,,,x,,
440,4,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
445,4,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
450,4,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
455,4,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
460,4,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
465,4,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
