seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,1,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
10,1,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
15,1,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
20,1,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
25,1,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
30,1,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
35,1,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
40,4,3,1,1,1,4,1,,,,,,x,,x,,,,,,,
45,4,3,1,1,1,4,1,,,,,,x,,x,,,,,,,
50,4,3,1,1,1,4,1,,,,,,x,,x,,,,,,,
55,4,3,1,1,1,4,1,,,,,,x,,x,,,,,,,
60,4,3,1,1,1,4,1,,,,,,x,,x,,,,,,,
65,4,3,1,1,1,4,1,,,,,,x,,x,,,,,,,
70,3,4,1,1,1,3,1,,,,x,,,,x,,,,,,,
75,3,4,1,1,1,3,1,,,,x,,,,x,,,,,,,
80,3,4,1,1,1,3,1,,,,x,,,,x,,,,,,,
85,3,4,1,1,1,3,1,,,,x,,,,x,,,,,,,
90,3,4,1,1,1,3,1,,,,x,,,,x,,,,,,,
95,3,4,1,1,1,3,1,,,,x,,,,x,,,,,,,
100,3,4,1,1,1,3,1,,,,x,,,,x,,,,,,,
105,3,4,1,1,1,3,1,,,,x,,,,x,,,,,,,
110,3,4,1,1,1,3,1,,,,x,,,,x,,,,,,,
115,3,3,1,1,1,2,1,,,x,,,,,,,,,,,,x
120,3,3,1,1,1,2,1,,,x,,,,,,,,,,,,x
125,3,3,1,1,1,2,1,,,x,,,,,,,,,,,,x
130,3,3,1,1,1,2,1,,,x,,,,,,,,,,,,x
135,3,3,1,1,1,2,1,,,x,,,,,,,,,,,,x
140,3,3,1,1,1,2,1,,,x,,,,,,,,,,,,x
145,3,3,1,1,1,2,1,,,x,,,,,,,,,,,,x
150,3,3,1,1,1,2,1,,,x,,,,,,,,,,,,x
155,3,3,1,1,1,2,1,,,x,,,,,,,,,,,,x
160,5,3,1,1,1,2,1,,x,,,,,,,,,,,,,x
165,2,3,1,1,1,1,1,,,x,,,,,,,,,,,,x
170,2,3,1,1,1,1,1,,,x,,,,,,,,,,,,x
175,2,3,1,1,1,1,1,,,x,,,,,,,,,,,,x
180,2,3,1,1,1,1,1,,,x,,,,,,,,,,,,x
185,2,3,1,1,1,1,1,,,x,,,,,,,,,,,,x
190,3,3,1,1,1,1,1,,,,,,x,,,,,,,,,x
195,3,3,1,1,1,1,1,,,,,,x,,,,,,,,,x
200,3,3,1,1,1,1,1,,,,,,x,,,,,,,,,x
205,3,3,1,1,1,1,1,,,,,,x,,,,,,,,,x
210,3,4,1,3,1,1,1,,,x,,,,,,,,,,,,x
215,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
220,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
225,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
230,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
235,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
240,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
245,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
250,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
255,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
260,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
265,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
270,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
275,4,4,1,3,1,3,1,,,,x,,,,,,,,x,,,
280,3,3,1,2,1,1,1,,,x,,,,,,,,,x,,,
285,3,3,1,2,1,1,1,,,x,,,,,,,x,,,,,
290,4,2,1,1,1,1,1,,,,x,,,,,,x,,,,,
295,4,2,1,1,1,1,1,,,,x,,,,,,x,,,,,
300,4,2,1,1,1,1,1,,,,x,,,,,,x,,,,,
