timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid
1548223953158,1350,4015,5804,7644,1884,5646,285326,30832,1,7
1548223954162,16931,15332,21180,6758,6082,27146,611611,89108,1,7
1548223955281,2729,5747,3299,3651,1510,1875,128811,19785,1,7
1548223956148,3628,4305,8410,4915,3283,4507,67960,29250,1,7
1548223957150,994,39083,21479,22857,17170,7341,670784,125470,1,7
1548223958132,5793,3574,6938,6767,1491,2847,69480,22542,1,7
1548223959141,6112,3904,14070,9181,12439,8200,102719,23997,1,7
1548223960127,3772,1132,4244,1282,1679,2510,124130,9434,1,7
1548223961115,1239,12750,4393,4271,1772,2437,57709,46288,1,7
1548223962103,5538,5162,3353,6362,1830,1947,12772,15621,1,7
1548223963159,27496,53271,13163,25581,5513,23682,3531873,148914,1,7
1548223964101,3881,3606,6806,7795,6656,7298,1434,3956,1,7
1548223965103,1950,5818,3607,3995,695,611,37467,16619,1,7
1548223966112,7129,15401,13112,4586,4294,5450,12060,19077,1,7
1548223967119,4488,6526,2960,3166,2044,966,22158,41314,1,7
1548223968111,2124,2843,3888,1914,2203,1622,11339,3744,1,7
1548223969090,1441,13026,13390,6330,4309,7500,24135,5288,1,7
1548223970074,3769,6260,2800,1191,1456,1729,50604,25761,1,7
1548223971058,2758,9768,2512,2565,639,795,30164,19918,1,7
1548223972075,13555,59830,19805,14510,8537,15025,3285738,196022,1,7
1548223973060,5072,15549,10100,6020,3213,8787,28916,31111,1,7
1548223974060,2071,6827,6159,1047,4617,12328,14784,8548,1,7
1548223975062,3917,8569,3778,4029,1623,2365,29810,19352,1,7
1548223976063,8796,4696,11055,8975,2762,18163,21192,24530,1,7
1548223977046,3087,9098,13298,5062,5921,15981,18241,4297,1,7
1548223978035,2770,4399,4414,2204,673,2574,57292,24932,1,7
1548223979033,1608,1558,5158,1285,2118,2933,5619,3765,1,7
1548223980032,3348,6678,13051,11681,5004,13627,3102,12897,1,7
1548223981031,10044,19140,19764,3304,6327,10464,45007,60376,1,7
1548223982000,2125,8162,16702,3538,3572,21053,7392,4866,1,7
1548223983017,3799,3130,13942,4991,6197,20883,13128,3555,1,7
1548223984003,1259,1188,25614,2673,2503,35870,3395,15251,1,7
1548223984984,14182,28498,12538,17880,8670,8496,35465,32369,1,7
1548223986003,2486,7152,2424,2316,751,989,393361,26077,1,7
1548223987003,3470,885,1484,5467,1632,2921,121368,8273,1,7
1548223987987,5622,2452,2006,1458,1149,1721,24717,14631,1,7
1548223988972,6099,6494,14313,6445,3241,14844,3098,14830,1,7
1548223989989,7554,4878,6965,2006,4041,10806,4970,4293,1,7
1548223990972,1686,4545,833,745,315,342,93907,11861,1,7
1548223991979,2214,3213,5420,3314,4834,11037,1615,5514,1,7
1548223992982,2088,345,7492,10306,4705,15758,2826,9100,1,7
1548223993942,2363,1225,14022,2985,4042,5013,4960,5638,1,7
1548223994943,5365,1022,7259,3429,4189,6994,8323,20014,1,7
1548223995961,6487,11861,3261,3762,692,3747,144436,49098,1,7
1548223996947,11131,3448,10728,4964,2686,13194,14809,18602,1,7
1548223997932,1099,2285,2603,1359,336,474,143333,35264,1,7
1548223998932,2058,651,15447,4201,3081,8169,9614,8665,1,7
1548223999912,6201,5058,4027,2505,1439,1950,70031,23901,1,7
1548224000932,1996,2142,1539,798,675,819,16712,11639,1,7
1548224001913,11115,1830,4348,6449,5642,10459,7039,32570,1,7
1548224002900,4695,3304,4076,3082,1439,1328,31053,24545,1,7
1548224003901,6858,3203,7474,4619,2257,2641,7222,3379,1,7
1548224004883,6687,7462,15463,14301,4578,12941,24921,38904,1,7
1548224005901,2745,5226,1072,2821,726,1045,210924,33531,1,7
1548224006893,7576,2738,14368,4421,3226,3393,15383,13528,1,7
1548224007871,6003,4349,5050,6898,586,1022,129407,96235,1,7
1548224008871,6069,5287,14482,1733,4018,5262,8412,3017,1,7
1548224009891,4164,1578,10771,2429,4952,14379,9314,4242,1,7
1548224010872,23556,1909,11070,8263,1932,7320,10941,5877,1,7
1548224011877,2312,1474,2764,2553,563,668,319514,32632,1,7
1548224012856,6275,13009,1740,2897,1598,1973,290902,34195,1,7
1548224013857,12518,10810,15012,14381,18673,5275,201222,59864,1,7
1548224014859,4879,6102,4039,1274,1170,785,39878,16757,1,7
1548224015845,5150,14786,1494,4419,2354,1330,25266,18252,1,7
1548224016864,7015,25634,9741,8911,5956,4451,79531,133795,1,7
1548224017831,5834,9303,16459,5750,6447,8268,428223,102197,1,7
1548224018828,1104,1530,46374,4178,4210,9321,14823,7506,1,7
1548224019832,6153,3057,6969,3311,2368,11142,51688,12911,1,7
1548224020831,6684,13141,19521,8146,3043,8242,17079,66930,1,7
1548224021805,1383,1045,3453,2040,833,3987,148994,50126,1,7
1548224022818,6486,6683,6664,5619,3113,18540,94875,164293,1,7
1548224023800,10845,5907,16831,11444,15729,3820,719313,143712,1,7
1548224024784,760,9484,5715,4209,3305,8675,7986,5774,1,7
1548224025785,5688,3192,2987,12346,7355,4433,11523,11688,1,7
1548224026801,4498,4154,8332,5948,4159,12733,4285,3382,1,7
1548224027791,2191,1992,2397,5034,1066,1077,95887,42657,1,7
1548224028790,5506,3245,10160,8519,6434,8857,12404,12353,1,7
1548224029792,1486,3495,17044,1653,6915,2463,9606,2453,1,7
1548224030766,1736,1567,4352,4611,2148,2340,46826,34093,1,7
1548224031760,14366,22384,12642,14171,3194,15392,198000,32900,1,7
1548224032774,2265,3220,12632,3156,4303,10199,8720,4740,1,7
1548224033739,6657,3655,2322,3753,568,2104,124809,116149,1,7
1548224034761,2821,5694,8258,8325,4062,8342,12758,14779,1,7
1548224035759,8602,8584,7532,1010,4765,9494,11316,8003,1,7
1548224036737,6457,31084,18696,5442,3114,10331,119746,122502,1,7
1548224037723,5058,9803,5634,5755,1151,2441,100148,92826,1,7
1548224038747,26034,10917,10452,8339,7149,7868,22479,55068,1,7
1548224039723,43789,61273,72813,108529,6673,32655,623169,172020,1,7
1548224040730,9543,8520,2998,3242,3072,5381,399347,39737,1,7
1548224041712,15256,13483,8047,3146,1506,5670,1460770,17190,1,7
1548224042697,26785,39638,17283,9367,17175,108392,703394,276248,1,7
1548224043716,3146,3271,1839,3043,1183,827,36585,14462,1,7
1548224044697,3125,8749,11977,9783,6987,10200,482293,81830,1,7
1548224045687,16886,2116,17932,26657,14240,29809,86293,46114,1,7
1548224046681,7861,53270,10501,28718,8360,4937,71109,106867,1,7
1548224047682,3152,671,1752,3007,1506,2237,181487,20019,1,7
1548224048669,13078,9367,9392,4673,15034,6450,530659,52248,1,7
1548224049686,2374,2287,1572,2613,1060,1552,140834,16203,1,7
1548224050671,6030,7862,17643,8054,3619,8413,20032,8489,1,7
1548224051671,8060,2586,9802,9911,7347,7904,25638,37393,1,7
1548224052655,1310,2761,14077,7443,5526,19367,11066,11620,1,7
1548224053638,4784,1341,6441,2997,7938,7622,5283,3011,1,7
1548224054645,5456,5151,28461,4694,6511,6706,34581,7425,1,7
1548224055639,1255,3277,6664,2984,662,1368,34958,12060,1,7
1548224056643,7627,10074,2093,4857,616,1813,111613,12667,1,7
1548224057625,20753,24088,9624,15743,10178,16626,442891,38370,1,7
1548224058644,13691,18623,23296,7423,28469,28785,704106,29708,1,7
1548224059626,11330,6819,18782,9480,18090,37984,33308,38992,1,7
1548224060627,4512,4525,8112,22484,10986,67431,27496,17333,1,7
1548224061596,33579,54849,28678,23577,27499,25623,652761,705226,1,7
1548224062625,129086,79009,32630,30679,22620,25981,1056262,56996,1,7
1548224063659,57183,160174,40621,26282,41702,58564,2073432,317132,1,7
1548224064596,12561,66103,55756,44472,10681,30037,462241,277111,1,7
1548224065597,3434,3780,8700,2444,6317,14142,124751,14240,1,7
1548224066590,9882,31146,3168,4881,7379,13451,510180,65215,1,7
1548224067566,1852,1189,3181,1936,2316,4678,11350,9091,1,7
1548224068584,30767,42370,17042,32947,14034,29547,849661,621382,1,7
1548224069578,7693,9165,12955,8311,14909,11093,1050681,79075,1,7
1548224070567,11974,10282,16478,4325,12451,14468,79086,94448,1,7
1548224071571,16118,62213,38265,43632,20019,11150,243942,247335,1,7
1548224072555,908,7329,569,1151,150,287,44674,41127,1,7
1548224073556,456,4414,1817,2561,972,1084,145139,12873,1,7
1548224074555,2588,6643,1646,2574,927,2552,229949,34678,1,7
1548224075549,10079,7783,35971,25141,8412,16586,4095,16727,1,7
1548224076539,8117,26911,19603,6649,6412,6453,596929,19798,1,7
1548224077541,19226,9120,20162,6230,17049,33629,17565,17494,1,7
1548224078526,18404,16032,12739,16180,7368,26366,30940,27120,1,7
1548224079525,4103,4461,1851,1393,2453,1769,90468,26231,1,7
1548224080513,38640,35023,7302,29867,6647,10513,412903,31663,1,7
1548224081493,11907,25421,7229,4166,8937,26465,106083,29751,1,7
1548224082516,20862,18701,5582,15731,10774,23714,2313337,146928,1,7
1548224083495,4096,13213,5416,3902,7997,8161,136726,24345,1,7
1548224084497,5370,4685,7767,4584,5155,12056,316518,127932,1,7
1548224085508,2222,1634,5589,4975,7095,6949,306651,20341,1,7
1548224086498,1409,1210,5452,5243,2539,5309,127758,19395,1,7
1548224087483,8931,88561,59069,53161,16044,35070,101855,177582,1,7
1548224088486,28969,34101,33054,13128,10980,36171,3049968,112983,1,7
1548224089489,14746,46478,30599,22243,13858,47161,646906,495633,1,7
1548224090460,5133,16301,7937,13291,3866,4936,1502826,29813,1,7
1548224091473,48477,23616,9566,13420,6025,4770,326836,52331,1,7
1548224092450,112355,246686,48992,59017,17049,19698,510009,393649,1,7
1548224093464,26903,63601,3777,7968,4694,6992,1387333,134586,1,7
1548224094451,2118,2772,7094,7961,3559,8071,83498,13968,1,7
1548224095439,9402,6463,17922,2879,6477,10118,332392,30926,1,7
1548224096426,14775,24153,13813,21426,6489,14681,1022933,204059,1,7
1548224097421,74326,123199,38422,9376,31417,73114,2028160,671314,1,7
1548224098423,51422,26683,20416,47198,17030,25424,1409627,358299,1,7
1548224099418,10730,147108,45095,33698,6215,43922,196578,229690,1,7
1548224100406,12343,37329,10337,7555,12893,13783,825917,245608,1,7
1548224101405,48421,130529,17612,26556,10547,16937,744224,261615,1,7
1548224102426,6149,23713,3789,3694,1828,3425,187434,83603,1,7
1548224103411,13477,18829,31772,39683,24421,59742,5558,3915,1,7
1548224104378,49983,63348,17254,31357,19344,37434,1541585,443921,1,7
1548224105383,11817,32627,13788,5355,6704,27409,147740,67564,1,7
1548224106396,26885,78904,142567,26587,21055,40023,1640313,330916,1,7
1548224107367,260285,517549,186274,555425,184718,471921,2851774,443438,1,7
1548224108383,1928,4184,2792,2919,796,4691,216571,10267,1,7
1548224109391,31477,41365,7539,4083,6757,7308,285313,51757,1,7
1548224110367,25727,60470,30244,9690,5934,9717,142317,71216,1,7
1548224111367,54632,31062,35385,43467,17577,44452,1159364,92216,1,7
1548224112355,4309,12977,10927,8215,11849,19909,867826,70725,1,7
1548224113357,20077,11040,44594,36407,14384,58720,21125,33087,1,7
1548224114366,7441,23651,6691,4706,3123,2579,297718,124265,1,7
1548224115338,6798,7174,35452,12494,34782,23645,73378,26233,1,7
1548224116336,4930,3841,27177,11278,9468,13555,8438,13922,1,7
1548224117338,13359,3195,17028,23564,18505,23251,14588,6601,1,7
1548224118324,1403,25018,4770,4565,2212,8848,401786,302288,1,7
1548224119305,18203,26150,42122,33729,18833,15115,383826,125124,1,7
1548224120327,36045,49176,58002,19311,20640,83891,661299,294809,1,7
1548224121308,43268,43120,33802,49059,27937,64234,72234,45761,1,7
1548224122294,1337,1438,1066,1654,386,641,233741,7791,1,7
1548224123293,18297,30227,17315,17259,15294,34393,414885,80113,1,7
1548224124283,9388,5798,4915,1957,6183,5669,1918268,22438,1,7
1548224125280,56488,58039,61683,19690,135815,60734,1727167,504854,1,7
1548224126295,10622,7898,12730,18472,4060,3044,173585,34171,1,7
1548224127277,5059,34824,11943,7016,4175,6480,62135,31033,1,7
1548224128283,16685,36124,36149,18929,14141,16265,202067,61502,1,7
1548224129265,33234,83575,44187,13812,33715,75906,2460132,647524,1,7
1548224130264,24311,3331,16310,28081,17313,37130,64028,30200,1,7
1548224131266,18915,11250,21984,17489,7492,42194,351497,53348,1,7
1548224132304,11165,14063,14163,18051,25736,20764,44390,51751,1,7
1548224133237,14839,21899,37688,9099,23247,21491,52844,21336,1,7
1548224134252,1324,12538,19619,11115,11452,23134,10066,7250,1,7
1548224135245,4055,11062,20866,11600,11476,20394,5676,6074,1,7
1548224136240,13759,5453,45585,7452,4999,27866,20329,27242,1,7
1548224137240,21444,4202,8923,4872,10444,11874,331560,84727,1,7
1548224138236,1382,3147,3358,2391,1709,2454,12553,6633,1,7
1548224139229,4748,2907,21185,3139,10475,13033,30890,4526,1,7
1548224140223,16086,10693,16898,9176,3983,7040,33911,29742,1,7
1548224141189,8986,14470,19980,4332,10556,13755,2932,11848,1,7
1548224142196,5491,10671,19746,19513,9699,15283,17412,8081,1,7
1548224143190,9026,11107,16330,9995,10312,17647,5811,18194,1,7
1548224144190,2930,8486,30037,7347,9709,39065,8858,2703,1,7
1548224145197,28286,6132,38990,12572,12055,11428,11632,46796,1,7
1548224146192,11600,136974,15943,50237,12498,13386,1143839,102903,1,7
1548224147163,2214,2675,6247,4594,3447,7931,508625,61651,1,7
1548224148179,6863,3067,5137,9104,6653,5916,207272,45930,1,7
1548224149182,52821,39718,9376,27221,9869,5486,581196,123432,1,7
1548224150148,89520,46944,37096,25054,18713,8300,824840,250590,1,7
1548224151148,39800,66963,23781,17546,11223,6669,1484243,273765,1,7
1548224152148,11192,16671,7885,4057,16209,17646,214145,44841,1,7
1548224153149,4419,5755,5802,3296,3609,13326,1718700,52751,1,7
1548224154175,17211,21752,36646,22785,32843,21272,524704,313194,1,7
1548224155135,13942,13847,36784,9493,11280,22973,1064730,194465,1,7
1548224156134,36674,4226,26230,14689,9988,22893,9340,47371,1,7
1548224157127,45283,127553,25391,80571,45230,21128,1457126,461905,1,7
1548224158139,8577,14112,5232,6358,6645,3770,314336,40979,1,7
1548224159120,68655,3609,21289,7795,4955,16770,835660,99652,1,7
1548224160118,10387,11081,15061,8436,10430,10471,793100,72876,1,7
1548224161086,10955,3154,15111,11148,10876,10865,39664,18822,1,7
1548224162110,13002,9903,33467,10899,25016,19033,7700,17340,1,7
1548224163118,2528,1415,3326,5335,3844,4140,148829,5227,1,7
1548224164073,5520,14136,3943,12801,3332,4557,147008,86615,1,7
1548224165074,6217,17365,29644,20491,25831,25321,1332173,245729,1,7
1548224166092,22542,44008,27370,17498,10276,10628,45038,52620,1,7
1548224167080,7780,15349,2038,1650,1490,1144,590729,24323,1,7
1548224168060,13169,2895,19106,14872,9496,17385,18193,16709,1,7
1548224169079,8573,24235,4374,7805,1771,1893,250630,70431,1,7
1548224170054,34294,190480,61017,40667,20374,17248,767982,414823,1,7
1548224171055,5266,15008,2912,2610,4426,1978,209167,23577,1,7
1548224172078,1841,494,3249,1126,1541,1286,171080,7672,1,7
1548224173030,62427,76282,8898,20365,24152,30001,334123,219140,1,7
1548224174058,35103,65875,16925,54641,13077,17061,708611,223029,1,7
1548224175048,6447,2063,7563,6850,5636,15620,4740,5811,1,7
1548224176031,4487,5589,13838,7318,6491,16049,4621,12323,1,7
1548224177025,12882,11419,12632,5816,14106,2563,4646,11732,1,7
1548224178015,11895,12195,23979,12878,8410,9731,238468,30028,1,7
1548224179024,2277,7508,5518,3950,9098,10446,19655,18024,1,7
1548224180019,6664,2704,3089,2784,1478,1630,31468,11493,1,7
1548224181002,10527,18536,7198,19312,1623,9025,93909,48682,1,7
1548224182003,4939,8054,3897,1842,835,2818,40195,42266,1,7
1548224183014,4615,20557,5301,6514,3596,1781,94274,18279,1,7
1548224183972,2191,5553,7486,5409,7574,16136,6477,13410,1,7
1548224184989,19166,5695,4343,10582,1088,3270,564616,130988,1,7
1548224185973,7777,40649,12017,27453,4886,11042,135848,73016,1,7
1548224186983,23691,22947,9603,5164,5316,8827,186629,88659,1,7
1548224187961,23346,62393,7006,13099,2984,3748,26061,173153,1,7
1548224188979,3160,1991,2633,2548,317,601,129534,12678,1,7
1548224189942,3233,2517,2024,4058,828,1570,146207,32700,1,7
1548224190943,122896,56491,228648,224005,4695,28523,327228,190406,1,7
1548224191971,23072,9993,9074,13582,4997,10103,290725,117382,1,7
1548224192944,5209,7945,6993,12274,8272,5122,58077,15071,1,7
1548224193946,11111,7663,3822,10077,1202,1931,160221,27412,1,7
1548224194934,2767,14929,3857,5529,1686,2290,288481,27833,1,7
1548224195922,11503,6960,7371,4208,6102,9013,15592,9473,1,7
1548224196917,15671,3343,11866,12123,1454,16399,6858,2478,1,7
1548224197922,14256,38951,4680,8073,2540,7354,222205,46512,1,7
1548224198917,18005,36506,14075,13839,7115,10789,848522,81368,1,7
1548224199918,2071,2826,7347,22857,2416,3989,93614,70818,1,7
1548224200941,108569,89283,32508,135875,34990,41365,2243268,1496744,1,7
1548224201896,1888,1742,6871,6215,9364,6076,55157,14850,1,7
1548224202904,6805,54883,36995,16932,8166,30389,999359,191247,1,7
1548224203871,3966,13637,5451,2748,3369,6239,67889,12868,1,7
1548224204877,1750,4688,3622,2416,1975,6066,165526,19852,1,7
1548224205888,38706,82290,38123,17753,41533,70116,352604,72325,1,7
1548224206856,15177,100389,19780,24221,17684,16270,279698,124117,1,7
1548224207857,3397,7961,3511,5817,2931,2946,745110,81011,1,7
1548224208861,4076,3543,5229,2336,12405,5792,141672,24053,1,7
1548224209867,134706,139086,25453,39917,12045,20623,460802,343064,1,7
1548224210848,25726,75746,35125,33554,12318,30779,1038081,680795,1,7
1548224211840,17078,36461,10151,4656,5054,28857,313811,68524,1,7
1548224212875,4985,16717,8638,13013,6033,5650,90880,108479,1,7
1548224213844,29272,44266,14383,10111,7057,16481,1597264,45634,1,7
1548224214846,7661,3084,8177,10749,6256,10339,639324,40721,1,7
1548224215833,29940,24727,25422,8654,15717,24352,65113,87632,1,7
1548224216831,7741,25596,92526,36684,24511,70937,849101,542071,1,7
1548224217833,34187,130812,41115,50067,31139,43871,1694606,337074,1,7
1548224218813,5536,3081,3337,3083,7846,8235,199520,20949,1,7
1548224219820,18561,11784,24446,16267,42591,34712,87482,14822,1,7
1548224220801,14967,18544,20399,4106,3034,8592,781619,33165,1,7
1548224221801,3882,4881,1305,1558,3487,5661,271731,6270,1,7
1548224222792,44645,20845,32831,26861,33905,44778,515623,155325,1,7
1548224223769,21084,7245,15297,33065,34551,66208,785991,114080,1,7
1548224224782,6818,2610,4611,6085,9035,7114,76743,11253,1,7
1548224225768,10562,68017,11182,2659,16556,18777,776332,83504,1,7
1548224226755,7331,3692,9514,8263,2324,2723,1119428,46178,1,7
1548224227773,8993,15931,62323,31109,47725,24283,72134,141543,1,7
1548224228771,10443,42071,18081,20267,12396,17465,329498,375529,1,7
1548224229755,13728,34687,70264,128467,25231,24611,774203,804953,1,7
1548224230750,16673,4654,11536,31729,4981,9273,198079,161584,1,7
1548224231745,37726,44241,12030,16898,13560,9621,1307752,143912,1,7
1548224232742,10570,10773,4282,8479,8296,4451,242316,118605,1,7
1548224233734,11620,66539,10464,15486,6570,10746,1066603,129240,1,7
1548224234745,14893,8386,22559,25649,15740,43195,1378276,164103,1,7
1548224235728,10915,8493,4952,12238,3204,5243,476480,21665,1,7
1548224236735,7459,11348,10938,6298,6471,9086,222449,70694,1,7
1548224237729,2948,16365,25450,16978,16913,20887,59326,5676,1,7
1548224238698,18997,19826,28910,41095,17795,17277,197508,34289,1,7
