results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime,p9,seconds,arousal,valence,p10,seconds2,arousal2,valence2
0.77053148, so on the matter on the matter of taking refugees from Yemen to Jeju Island on the most primary concern is the other one about the economy quite clearly the query creates the economy right now isn't really stable although at the very top of the very wealthy have the variables we have a lot of money but the bottom there are there are a lot of people who doesn't have enough money and they struggle to live out their everyday lives in this in this,0.91283858,4.2,4.0,so,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,4.3,4.2,on,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,4.4,4.3,the,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,4.9,4.4,matter,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,5.0,4.9,on,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,5.1,5.0,the,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,5.4,5.1,matter,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,5.5,5.4,of,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,6.0,5.5,taking,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,6.5,6.0,refugees,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,6.7,6.5,from,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,7.1,6.7,Yemen,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,7.3,7.2,to,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,7.6,7.3,Jeju,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.70932275,8.2,7.6,Island,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,8.8,8.7,on,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.71119601,9.1,8.8,the,9,en-us,33.054785,,5.0,2.667,3.333,,5.0,2.0,3.0
0.77053148,,0.91283858,9.4,9.1,most,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.91283858,9.8,9.4,primary,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.91283858,10.2,9.8,concern,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.74462616,10.5,10.2,is,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.49649152,10.6,10.5,the,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.71563232,10.7,10.6,other,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.91283858,10.9,10.7,one,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.68350685,11.2,10.9,about,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.91283858,11.2,11.2,the,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.72682053,11.8,11.2,economy,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.91283858,13.1,12.9,quite,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.65711921,13.8,13.1,clearly,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.91283858,13.9,13.8,the,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.64264363,14.4,13.9,query,9,en-us,33.054785,,10.0,2.667,3.333,,10.0,2.333,3.0
0.77053148,,0.63600385,14.8,14.4,creates,9,en-us,33.054785,,15.0,2.667,3.333,,15.0,2.333,3.0
0.77053148,,0.70821649,14.8,14.8,the,9,en-us,33.054785,,15.0,2.667,3.333,,15.0,2.333,3.0
0.77053148,,0.70906955,15.2,14.8,economy,9,en-us,33.054785,,15.0,2.667,3.333,,15.0,2.333,3.0
0.77053148,,0.71994096,15.4,15.2,right,9,en-us,33.054785,,15.0,2.667,3.333,,15.0,2.333,3.0
0.77053148,,0.58033973,15.7,15.4,now,9,en-us,33.054785,,15.0,2.667,3.333,,15.0,2.333,3.0
0.77053148,,0.72361708,16.0,15.7,isn't,9,en-us,33.054785,,15.0,2.667,3.333,,15.0,2.333,3.0
0.77053148,,0.52073008,16.2,16.0,really,9,en-us,33.054785,,15.0,2.667,3.333,,15.0,2.333,3.0
