seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,4,3,1,1,1,4,1,,x,,,,,,,,,,,,,x,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
10,5,3,1,1,1,4,1,,x,,,,,,,,,,,,,x,10.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
15,5,3,1,1,1,4,1,,x,,,,,,,,,,,,,x,15.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
20,5,3,1,1,1,4,1,,x,,,,,,,,,,,,,x,20.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
25,4,3,1,1,1,3,1,,x,,,,,,,,,,,,,x,25.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
30,4,3,1,1,1,3,1,,x,,,,,,,,,,,,,x,30.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
35,4,3,1,1,1,3,1,,x,,,,,,,,,,,,,x,35.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
40,3,3,1,1,1,3,1,,x,,,,,,,,,,,,,x,40.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,x,,,,,x,,,,,,
45,4,3,1,1,1,4,1,,x,,,,,,,,,,,,,x,45.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,x,,,,,x,,,,,,
50,5,3,1,1,1,4,1,,x,,,,,,,,,,,,,x,50.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,x,,,,,x,,,,,,
