seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,5.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
10,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,10.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
15,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,15.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
20,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,20.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
25,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,25.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
30,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,30.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
35,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,35.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
40,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,40.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
45,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,45.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
50,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,50.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
55,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,55.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
60,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,60.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
