results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,seconds.1,arousal.1,valence.1,cheerful.1,happy.1,angry.1,nervous.1,sad.1,boredom.1,confusion.1,delight.1,concentration.1,frustration.1,surprise.1,none_1.1,confrustion.1,contempt.1,dejection.1,disgust.1,eureka.1,pride.1,sorrow.1,none_2.1
0.73325318,so I'm out of breath from the article reassigned it 0.15 the 21 convention direct with Russia act which basically stated that Korea will except for Fisheries unlike many of the other Asian countries that did not sign it and I think it's very important to create keeps up with this promise and that is becoming more and more International laws and there's a reason why I said they would,0.91283858,4.100s,3.700s,so,1,en-us,29.977823s,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,5.100s,5s,I'm,1,en-us,29.977823s,10.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,10.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,5.200s,5.100s,out,1,en-us,29.977823s,15.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,15.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,,,x,,,,,,,,,x,,,
0.73325318,,0.91283858,5.300s,5.200s,of,1,en-us,29.977823s,20.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,20.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,,,x,,,,,,,,,x,,,
0.73325318,,0.91283858,5.400s,5.300s,breath,1,en-us,29.977823s,25.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,25.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,5.600s,5.400s,from,1,en-us,29.977823s,30.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,30.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.72713214,5.700s,5.600s,the,1,en-us,29.977823s,35.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,35.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.78431863,6.200s,5.700s,article,1,en-us,29.977823s,40.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,40.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.84703392,7.300s,6.600s,reassigned,1,en-us,29.977823s,45.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,45.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.75494498,7.500s,7.300s,it,1,en-us,29.977823s,50.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,50.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.55732387,8.300s,7.500s,0.15,1,en-us,29.977823s,55.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,55.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.60820705,8.800s,8.300s,the,1,en-us,29.977823s,60.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,60.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,9.700s,9.200s,21,1,en-us,29.977823s,65.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,65.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.59319717,10.300s,9.700s,convention,1,en-us,29.977823s,70.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,70.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,,,x,,,,,,,,,x,,,
0.73325318,,0.91283858,10.700s,10.300s,direct,1,en-us,29.977823s,75.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,75.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.70990866,10.800s,10.700s,with,1,en-us,29.977823s,80.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,80.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.76035786,11.100s,10.800s,Russia,1,en-us,29.977823s,85.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,85.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.77218395,11.500s,11.100s,act,1,en-us,29.977823s,90.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,90.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,11.900s,11.700s,which,1,en-us,29.977823s,95.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,95.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.59857929,12.500s,11.900s,basically,1,en-us,29.977823s,100.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,100.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
