new_words,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
in terms of examining the people and making sure that the right people,0.941,0.079,-0.005,-0.112,1.388,0.333,1.661,0.669,-1.371,-1.298,-1.384,-1.21,-0.424,-0.311,0.469,-1.828,3,3,1,1,1,1,3,3,1,1,2,1
yeah so that's kind of Baseline,-1.612,-1.373,-1.478,-1.343,-0.706,-1.107,-2.554,-1.786,-1.31,-1.066,-1.078,-0.602,-0.247,-0.437,-0.611,-1.024,3,2,2,2,2,1,3,3,2,1,3,1
you know this behavior of,-1.378,-0.783,-1.412,-1.186,-0.453,-0.99,-1.846,-1.58,-1.218,-0.969,-1.258,-1.099,0.773,0.203,0.102,-1.291,3,2,2,2,1,1,3,3,2,1,2,1
but for the yemenis I think it's possible that Korean citizens can view them as Outsiders,-1.271,-1.065,-1.063,-1.23,0.542,0.736,-0.274,-1.636,-1.421,-1.424,-1.374,-1.369,-0.656,-0.804,-1.921,-1.981,3,3,1,1,2,1,4,4,2,1,1,1
they're not allowing allowing it so it's basically going against what they originally,-1.15,-1.655,-1.153,-1.146,0.328,-0.214,-2.746,-1.682,-0.635,-0.002,-0.451,-0.59,0.107,0.383,1.465,-1.293,3,3,1,1,1,1,4,3,1,1,1,1
mentioned that a lot of Korean citizens are against it and as a,-0.366,-0.747,-0.558,-0.318,-0.162,-0.523,2.489,0.526,-1.275,-1.22,-1.385,-1.297,-0.749,-0.841,-1.147,-1.628,3,3,1,1,2,1,3,3,1,1,1,1
the painting is that not accepting all these refugees,-1.503,-0.88,-1.5,-1.326,-0.659,-0.872,-2.201,-1.155,-1.285,-1.556,-1.511,-1.334,-0.84,-0.998,-0.714,-1.854,2,2,1,2,2,1,3,3,1,1,3,1
but you have to look and take care your place and also it was like,-0.989,-0.696,-1.006,-1.156,1.525,1.378,-1.287,-0.485,-1.261,-1.456,-1.296,-1.223,0.711,0.024,0.132,-1.552,4,3,1,1,2,1,4,4,2,1,2,1
should go back but I'm not sure whether they will try to stake in Korea even further because,-1.616,-1.579,-1.418,-1.251,-0.457,-0.762,-1.766,-1.887,-1.247,-1.324,-1.282,-1.117,0.395,-0.57,-1.14,-1.074,3,4,1,1,1,1,3,3,1,1,1,1
Fist and then look off balance so that's my first point and,-0.961,-1.198,-1.134,-1.142,0.395,-0.136,-0.265,-0.629,-1.457,-1.289,-1.424,-1.294,0.049,-0.254,-2.025,-1.707,2,3,2,1,2,1,2,3,2,1,2,1
