delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,seconds,arousal,valence,happy,angry,nervous,sad
45742.5,67405.5,50576.167,67178.5,7241.0,14181.833,726455.333,373683.833,5.0,1.333,2.667,1.667,1.0,1.333,1.0
73880.0,74362.667,41225.0,63429.833,4687.0,8935.833,847929.833,155085.333,10.0,1.667,2.667,1.667,1.0,1.333,1.0
46340.833,47721.833,32669.5,49828.667,4458.167,10709.5,1030197.0,193099.333,15.0,2.0,2.667,1.333,1.0,1.333,1.0
110589.333,72830.0,55549.0,77984.667,7002.833,15881.667,902531.667,433750.333,20.0,2.0,3.0,1.333,1.0,1.333,1.0
79391.667,126444.5,42396.5,95028.0,7539.667,18323.667,676502.833,393413.333,25.0,2.0,3.0,1.333,1.0,1.333,1.0
36962.167,73082.667,53450.5,37217.5,4508.167,9222.167,680907.833,438379.667,30.0,2.667,3.333,1.333,1.0,1.333,1.0
83522.333,45056.5,35958.667,46034.167,5159.167,7938.5,1143303.667,202631.167,35.0,2.667,3.333,1.333,1.0,1.333,1.0
141274.667,102374.5,54941.0,93424.833,11583.167,18639.333,1687384.0,525144.333,40.0,2.667,3.0,1.333,1.0,1.333,1.0
150840.667,177607.333,175576.667,189723.5,14004.333,26543.667,899938.167,401846.0,45.0,2.333,2.667,1.333,1.0,1.667,1.0
53664.5,56026.5,61460.5,144714.167,6994.667,16981.0,1108893.333,405066.667,50.0,3.0,2.333,1.333,1.0,2.0,1.0
95622.167,105672.0,99780.0,80624.667,17402.0,20093.833,1089931.167,420613.667,55.0,2.333,2.333,1.333,1.0,2.0,1.0
164930.833,38064.833,62579.167,90797.667,9970.167,14062.833,647516.5,458323.333,60.0,2.333,2.333,1.333,1.0,2.0,1.0
149675.833,196033.833,78019.167,76833.0,7267.0,16034.833,825063.167,274251.5,65.0,3.0,2.0,1.333,1.0,2.0,1.0
74143.0,162986.833,123253.833,51045.833,8449.333,18395.5,1614144.0,585357.333,70.0,2.667,2.0,1.333,1.0,1.667,1.0
38112.833,33780.0,25152.333,14298.333,2478.5,5798.667,585688.833,125237.833,75.0,2.333,2.667,1.333,1.0,1.667,1.0
53609.167,113793.667,43339.5,20882.167,3925.5,10137.5,577082.333,336406.167,80.0,2.333,2.667,1.333,1.0,1.667,1.0
187655.667,95578.333,149147.833,327136.0,12465.333,26748.5,845902.0,430291.0,85.0,3.0,2.667,1.667,1.0,1.667,1.0
57365.667,83042.333,78586.5,60781.5,6288.833,8797.333,726399.0,226706.167,90.0,3.333,2.667,1.333,1.0,1.667,1.0
41716.833,130120.333,68713.0,79163.833,5844.0,9059.5,1092508.667,491377.333,95.0,3.0,2.667,1.333,1.0,1.667,1.0
107314.0,235253.667,267743.0,148754.0,21026.5,35565.667,1150545.167,894347.833,100.0,2.667,3.0,1.667,1.0,1.333,1.0
109021.833,68650.0,123076.0,102881.0,16068.5,23581.5,1124004.167,240855.0,105.0,3.0,3.0,1.333,1.0,1.333,1.0
122668.833,84984.833,79444.333,108723.0,7982.0,9693.833,874942.5,199111.167,110.0,2.333,3.0,1.333,1.0,1.333,1.0
116800.667,43552.0,79613.0,150279.833,6963.5,13554.667,1661457.0,256985.833,115.0,2.667,3.333,1.333,1.0,1.333,1.0
70632.167,80000.333,80950.0,66666.167,5530.5,15425.167,842341.833,387209.667,120.0,3.0,3.333,1.333,1.0,1.333,1.0
70592.5,40749.667,60031.167,126867.667,6352.0,10823.5,920154.167,273529.167,125.0,3.0,3.333,1.333,1.0,1.333,1.0
67116.167,51538.333,59957.333,86858.333,5447.833,13125.5,528270.333,474957.333,130.0,3.0,3.333,1.333,1.0,1.333,1.0
107728.0,185178.167,103208.0,146634.333,5482.167,19193.833,1129776.667,239113.0,135.0,3.0,3.333,1.333,1.0,1.333,1.0
112556.833,87340.667,110247.5,157511.833,6893.0,18228.167,1111189.833,430834.0,140.0,2.667,3.333,1.333,1.0,1.333,1.0
404322.167,108342.833,244798.0,273071.5,10925.333,47438.167,637400.5,360190.833,145.0,2.667,3.333,1.333,1.0,1.333,1.0
139407.0,96218.5,112999.833,139464.5,10530.667,13217.167,771628.333,480516.333,150.0,3.0,3.333,1.333,1.0,1.667,1.0
80648.0,49544.833,44811.833,38433.5,5394.667,5691.833,511378.333,214763.0,155.0,3.0,3.333,1.333,1.0,1.667,1.0
44049.333,43427.5,54098.0,105617.5,6931.833,10238.167,1049151.5,430762.5,160.0,3.333,3.0,1.333,1.0,1.667,1.0
54992.833,46080.5,102423.667,110870.167,5012.333,14180.167,637297.667,177014.667,165.0,2.667,3.333,1.333,1.0,1.667,1.0
101361.5,73089.333,124873.833,84735.667,7128.333,12228.333,722216.167,283135.0,170.0,3.0,3.333,1.333,1.0,1.667,1.0
89566.667,63914.5,94673.167,127252.833,11487.333,23330.5,1140354.167,316201.5,175.0,3.0,3.333,1.333,1.0,1.667,1.0
141032.5,88417.0,87570.833,133426.833,18902.833,37834.5,1411313.667,548594.333,180.0,3.0,3.333,1.333,1.0,1.667,1.0
112782.667,61835.5,86394.667,102645.333,62646.667,78496.167,698039.5,345968.0,185.0,2.667,3.333,1.333,1.0,1.667,1.0
60194.167,53703.667,55986.0,72886.667,5804.833,10873.667,725897.167,203481.333,190.0,2.667,3.333,1.333,1.0,1.667,1.0
34212.0,70778.667,23751.667,27995.5,3823.5,4542.667,688990.333,126902.833,195.0,3.333,3.0,1.333,1.0,1.667,1.0
53741.667,69019.333,52359.833,141949.833,7907.5,22508.0,485001.833,516622.167,200.0,3.0,3.0,1.333,1.0,1.667,1.0
67800.0,54236.5,53631.0,79741.0,7029.833,9699.667,1677221.0,460793.0,205.0,3.0,3.0,1.333,1.0,1.667,1.0
31220.167,38405.0,24261.0,55209.5,5100.667,5457.5,554097.333,164683.167,210.0,3.333,3.0,1.333,1.0,1.667,1.0
52723.333,37813.833,53140.167,74149.0,5276.833,15202.5,788199.0,350056.667,215.0,2.667,3.333,1.333,1.0,1.667,1.0
44039.0,47854.5,55014.5,57119.667,3477.167,9526.833,372101.167,258345.167,220.0,2.667,3.333,1.333,1.0,1.667,1.0
140992.167,82054.5,159497.5,88905.167,17564.833,22578.0,1182860.833,438371.167,225.0,3.0,3.333,1.333,1.0,1.667,1.0
70005.5,101713.333,58758.5,68181.0,8553.167,14139.333,1030873.833,503339.667,230.0,3.0,3.333,1.333,1.0,1.667,1.0
46499.5,75632.833,52135.833,89130.167,7981.167,12456.833,1497228.5,241246.5,235.0,3.0,3.333,1.333,1.0,1.667,1.0
32802.167,102106.0,36450.833,28553.833,4077.167,4541.833,795097.5,246925.167,240.0,2.667,3.333,1.333,1.0,1.667,1.0
70663.5,119055.5,65277.0,93671.167,15254.333,16941.0,1210350.667,374693.167,245.0,2.667,3.333,1.333,1.0,1.667,1.0
133926.429,197889.857,61841.571,81388.143,8252.429,21393.571,1059150.0,606739.143,250.0,3.0,3.333,1.333,1.0,2.0,1.0
84738.0,95695.167,62860.5,203510.5,12524.0,20066.833,1154056.333,562427.167,255.0,2.333,3.333,1.667,1.0,1.333,1.0
