delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta
19277.667,14188.333,5786.5,8083.333,5443.0,4221.0,137885.667,51980.167
11969.667,17408.0,9119.667,7931.5,2523.0,3082.833,241339.167,35565.5
7419.833,5371.0,6149.833,4039.5,2858.167,2313.667,185416.833,34338.667
11024.333,17331.167,10808.5,17076.667,3155.667,4867.5,262070.833,112161.833
12934.333,16987.5,8683.0,11794.5,3171.833,3385.167,95114.5,22808.167
4842.833,12677.333,6808.833,4061.667,4110.0,3658.167,130374.667,31969.167
10768.667,38691.167,35334.5,16276.0,6944.833,9485.667,639316.833,108313.5
6021.333,13706.333,5362.333,8648.833,1695.333,1654.167,99674.0,25465.0
4854.667,22788.333,4180.0,6454.833,1440.833,1932.5,18527.5,15632.667
6888.167,9294.167,3598.833,7902.167,2058.667,1726.167,108902.833,20325.167
4404.167,11256.167,4194.333,5833.833,1784.333,2295.667,272326.667,56009.333
13429.833,46781.667,8699.333,11686.167,3977.5,6001.5,269598.833,172102.667
9926.667,21746.167,13107.333,14310.5,2071.833,3100.333,198362.0,99156.167
3564.5,14524.333,4348.167,6747.5,3418.0,3453.333,250177.0,52358.333
16597.5,21710.667,5967.0,15104.833,1904.667,3871.0,406502.833,84172.833
3076.833,19897.0,3024.833,3169.167,1135.167,1118.167,37283.167,15829.667
8209.167,19124.5,9728.167,10566.167,3685.5,3518.5,163575.0,63901.167
8038.167,25071.333,3805.0,7728.167,2711.0,3403.0,103217.167,26333.833
15723.5,9844.667,4647.167,8812.0,2721.0,2681.667,219425.667,47862.5
9030.667,32449.5,5828.167,5658.167,1999.167,2873.833,266170.167,85984.333
15944.833,17850.333,11235.667,10499.667,5294.167,8056.333,255131.333,83550.0
25985.5,59147.333,18893.833,60986.833,7597.333,8677.167,513176.333,73869.5
17647.0,73188.5,13394.0,14721.5,10300.833,11964.0,534253.167,149460.833
17452.0,108523.667,32461.333,25977.833,11313.667,15089.0,1252981.5,126199.667
23195.667,23033.667,16059.833,19128.667,11323.0,16330.0,474431.0,164859.333
25245.833,68563.667,21110.333,25666.833,8485.833,12948.667,967903.0,400009.167
15012.167,10628.0,11609.833,11561.5,5834.833,7940.167,621530.333,93465.0
20748.0,57632.667,20882.0,32389.5,15804.833,18444.333,268828.833,80637.333
12881.667,25290.5,13909.167,14731.333,7556.167,11469.167,469495.667,159923.0
18183.5,24120.0,12673.167,9640.0,6264.833,6289.333,373509.833,125131.167
12438.667,23491.333,16450.0,15813.333,7925.167,8807.0,238504.667,57843.833
38421.167,34581.333,22079.0,36807.167,8676.667,20100.333,647515.167,258098.0
31736.5,43231.0,34694.0,34644.167,10588.5,26058.333,1432917.667,341365.667
17832.667,22559.333,12774.333,10524.167,4770.5,7491.667,827026.5,66094.333
20830.857,29035.0,22321.0,37100.714,11380.143,19521.143,625824.143,443757.0
10602.6,39638.0,10592.8,13278.8,6261.6,10248.0,535102.4,114776.4
17203.5,26144.0,21898.667,19367.833,7919.833,13523.333,550086.167,295849.667
17035.333,25986.667,10286.0,11507.167,5239.833,5611.0,1095990.333,86308.0
24706.143,26438.857,47257.714,40557.857,28876.571,66207.714,676090.0,186319.571
14011.6,14848.4,11534.0,16508.2,5609.2,6373.8,470652.8,102711.6
19581.143,25852.571,11771.429,14428.286,3485.857,7159.857,819357.286,94300.0
24190.667,60574.0,11520.5,17048.667,8085.667,7651.0,717541.833,143213.0
17785.833,14358.167,6899.833,6741.667,5034.0,4198.5,231726.667,62014.5
6772.5,21411.167,9092.167,7395.5,3088.167,3498.833,52678.833,13883.833
24051.5,19403.667,11510.833,15522.0,6624.167,11222.167,115217.667,52977.833
12833.0,16228.667,14369.333,20459.5,4696.167,5241.333,413447.5,79749.167
31733.5,38391.833,12641.5,27883.833,11209.5,10768.833,612762.333,158667.833
8753.833,13148.833,5919.167,8720.833,3552.0,3440.5,698165.833,76492.167
16195.667,33044.5,10664.667,12753.0,5425.333,7693.0,548766.167,163371.333
27303.333,29140.5,10331.0,17901.667,4489.167,4759.667,368502.5,53681.0
8937.5,18344.5,8456.5,11793.167,4344.0,4089.667,344862.333,102833.333
19392.667,52245.333,12889.0,21104.667,5242.5,4752.5,375980.0,99264.5
16863.167,23451.333,12370.833,11624.667,5709.833,4405.167,490046.333,93381.167
25752.0,41164.333,8640.167,11320.833,3720.833,4448.167,491338.0,101845.167
7818.667,27902.5,5674.167,10246.667,3155.667,4750.833,261959.0,100256.167
11914.333,11142.0,4559.5,11602.333,5490.167,4175.167,57636.0,48362.333
10468.667,44918.167,9053.5,22393.667,2440.167,4479.667,360469.833,160117.833
11095.167,23743.167,8116.5,7943.0,2633.833,2811.833,114358.833,73045.0
23631.5,46114.333,13527.0,23402.0,5813.667,6886.0,706448.0,124856.5
30463.833,12809.5,13864.167,17265.333,8925.0,8798.167,639240.0,176101.5
14302.5,27292.333,13089.667,9762.333,3788.0,18161.333,602514.0,65580.167
26098.0,67326.0,24709.833,28758.167,7964.167,16435.5,351996.167,161665.333
22163.167,19197.5,16273.667,33982.5,10187.833,18032.167,574706.167,132880.667
30122.5,77419.833,38402.167,45337.5,12506.5,16906.167,796861.333,282119.333
10607.167,23402.667,10928.167,13113.0,4978.5,5508.0,827709.833,88323.833
24314.5,27986.5,16389.167,13366.167,8262.833,10900.167,607922.5,122171.5
27843.167,44338.167,17084.333,22554.333,9319.833,11891.667,878059.833,52007.5
40584.333,29598.5,16987.167,24374.167,9817.833,19758.0,882407.5,109992.333
17082.667,14106.5,23184.0,20998.167,11352.333,10105.167,877394.833,231209.833
17155.5,25981.333,14174.667,14945.167,4798.667,11488.667,506522.333,75747.833
26816.667,24899.167,20719.833,13230.5,10408.5,14099.833,467748.0,96105.0
19361.667,48141.5,9624.333,7224.0,6542.5,9073.333,459478.833,90015.333
7243.833,15977.833,7611.0,8105.833,6328.5,5247.5,544801.167,71178.0
21088.167,31861.833,14746.333,20998.167,9114.833,13213.333,655805.5,94727.5
13816.5,26504.333,13250.167,11237.0,9473.833,7630.833,284400.833,49955.167
60173.5,43987.667,40441.5,61682.333,14699.0,25606.0,819230.333,334342.833
29077.833,29308.833,12914.5,10888.667,6084.0,7280.167,673958.333,71915.167
19143.857,30301.0,14017.571,11725.714,5369.429,6696.714,547575.143,137172.857
14664.0,13129.0,5894.333,5569.667,2231.5,4252.333,283522.833,64688.333
10190.333,15797.0,12314.167,13802.167,5138.167,5090.833,261325.333,101680.333
66227.167,45286.0,33251.167,60455.167,14897.0,27616.5,1168087.833,192378.5
32952.333,63913.0,15354.0,24249.667,7225.167,14026.833,629193.333,357088.333
13038.5,26957.0,8327.833,16221.5,7723.833,10934.833,201228.167,168845.833
31121.167,25607.833,18564.0,12192.167,5553.5,6192.167,437651.0,89531.833
9992.0,20772.167,7136.5,14961.333,3289.333,3511.667,642104.333,78598.5
12067.333,13674.333,5801.833,7655.333,2785.167,3311.5,112637.5,59449.0
14957.833,15804.167,16501.5,13249.833,8964.5,11005.667,369743.833,111676.167
6319.333,13654.667,5275.667,10708.667,1374.5,1544.0,152920.333,51163.833
4815.667,14815.667,5324.167,7425.167,3312.0,4565.833,232592.0,60061.0
13393.333,10895.667,9601.5,10914.0,2177.667,3280.667,663846.833,106108.0
9772.5,8278.667,7156.5,13435.5,2840.333,4988.167,288419.833,92393.667
6470.0,32364.333,8531.333,8738.5,5840.5,5075.0,391469.333,93034.0
14201.0,18038.667,9951.667,31565.5,4263.5,4413.667,551513.833,258119.5
54567.0,70522.333,19713.833,28974.833,4583.667,5706.833,1248233.0,209123.5
19459.833,30074.667,8774.5,14282.167,4919.0,7254.0,582740.167,96415.333
14268.5,21357.333,12542.167,14427.0,6302.5,8700.5,323954.333,64013.333
18511.333,15490.5,19878.667,20406.5,7790.5,10790.0,435144.667,137145.0
15383.833,40089.667,12451.167,11048.5,4020.667,4261.167,205476.333,109935.667
29238.833,36435.5,17784.833,15728.833,6364.333,12815.333,594812.833,79181.167
8757.167,26482.5,35837.833,36838.167,13847.833,18408.833,321933.167,202032.667
14426.833,48073.167,11369.167,18433.833,8634.333,8403.667,370211.167,65967.333
27770.167,32689.167,21933.5,19620.667,7598.5,18291.667,828272.667,190012.833
23369.0,47222.167,23426.833,23041.167,12007.833,17542.167,618649.333,186667.667
31083.167,13142.167,17677.667,18635.5,8616.333,14712.833,470081.333,102114.667
9463.667,25351.5,9240.833,9921.333,7385.5,6265.833,241706.333,103732.5
10536.5,13948.333,12294.333,10829.833,7757.0,10493.0,206828.833,61284.667
15025.167,38772.833,16815.333,21916.5,10849.167,9314.833,347569.5,177356.5
37626.167,35345.667,18091.333,13934.667,7411.833,16024.5,990774.0,99791.833
22059.167,19079.667,24485.0,59911.5,20883.833,17784.0,695594.667,89173.167
16916.167,19632.833,7955.333,14236.333,4655.833,4888.333,754013.667,92391.833
11934.167,8967.167,7697.5,8413.167,6896.5,5677.667,348700.5,68406.833
22052.5,15727.5,18198.667,10684.667,6947.833,7948.5,626567.333,50025.167
44238.667,30728.667,23009.333,13021.833,19075.833,14275.833,1048843.5,206571.333
24887.667,29320.333,26135.833,28896.833,7068.167,12688.833,377278.333,189223.0
