delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,seconds,arousal,valence,happy,angry,nervous,sad
29857.333,25990.833,16185.167,29245.167,4580.833,15180.333,598533.0,226558.5,5.0,2.333,3.0,1.0,1.0,1.333,1.0
11036.833,9583.167,6203.667,15754.833,3185.167,4040.667,401313.333,72249.167,10.0,2.333,3.0,1.0,1.0,1.333,1.0
16832.333,59878.5,15986.0,21148.333,8919.667,9192.333,208930.667,155998.5,15.0,2.667,3.0,1.0,1.0,1.333,1.0
9561.167,12498.333,9302.833,8730.833,5850.0,6976.667,166629.5,110282.167,20.0,2.667,3.0,1.0,1.0,1.333,1.0
8009.333,17434.833,4176.667,6522.0,1585.833,1771.833,215984.667,45041.167,25.0,2.667,3.0,1.0,1.0,1.333,1.0
14454.333,10943.0,6321.167,9297.333,2241.167,3067.167,232384.333,80072.5,30.0,2.667,3.0,1.0,1.0,1.333,1.0
5530.333,9444.5,4530.833,5572.667,1355.667,2907.5,123014.667,38214.5,35.0,3.0,2.667,1.0,1.0,1.667,1.333
9986.0,30560.833,10219.167,7497.5,3339.5,8383.833,311306.667,121956.333,40.0,2.333,3.0,1.0,1.0,1.0,1.0
27278.667,37524.5,19912.5,16110.833,8743.167,9874.333,709687.833,144557.333,45.0,3.0,3.0,1.0,1.0,1.0,1.0
25720.5,31857.0,12061.833,12879.667,8656.167,12379.5,850640.5,157269.5,50.0,2.333,3.0,1.0,1.0,1.0,1.0
112383.667,124536.667,52342.833,47563.833,34723.333,50636.5,1747460.833,342041.0,55.0,3.0,3.0,1.0,1.0,1.0,1.0
19817.5,36399.5,22549.333,18577.333,9203.167,15236.5,740872.5,86246.167,60.0,2.333,3.0,1.0,1.0,1.0,1.0
50484.667,87687.667,22495.5,19573.667,13278.333,15614.333,962252.667,215048.333,65.0,2.333,3.0,1.0,1.0,1.0,1.0
18591.0,26015.5,14671.333,17044.333,6828.667,12414.167,457410.833,168493.333,70.0,2.667,3.0,1.0,1.0,1.0,1.0
33514.667,74301.5,20156.5,35939.333,15559.333,21518.167,795370.667,278135.0,75.0,2.333,2.333,1.0,1.0,1.667,1.0
10451.167,28299.667,11677.5,8671.333,4756.833,8895.833,419379.0,139681.5,80.0,3.0,2.333,1.0,1.0,1.667,1.0
38158.167,58672.5,25639.5,40293.333,18052.0,13304.167,1037361.0,237080.667,85.0,2.667,3.0,1.0,1.0,1.0,1.0
32825.833,43846.667,18470.0,14510.167,7899.5,19647.667,1181792.333,117098.0,90.0,2.667,3.0,1.0,1.0,1.0,1.0
14428.333,8520.833,6603.333,8907.833,1911.5,3387.333,681224.0,47892.667,95.0,3.0,3.0,1.0,1.0,1.0,1.0
18928.5,33050.667,10451.167,20289.167,6959.333,13170.5,437921.5,68974.833,100.0,3.0,3.0,1.0,1.0,1.0,1.0
15383.167,23429.333,4189.5,10522.167,3120.5,3673.5,422658.333,62584.833,105.0,3.0,3.0,1.0,1.0,1.0,1.0
24049.333,25180.667,9818.333,16541.833,3150.833,6313.167,324336.333,53449.5,110.0,2.667,3.0,1.0,1.0,1.0,1.0
11386.333,16958.167,10824.0,16224.667,2920.5,6805.5,217237.167,57022.5,115.0,2.333,3.0,1.0,1.0,1.0,1.0
22017.5,24493.5,10656.667,20591.0,3730.667,5216.833,655765.5,66189.833,120.0,3.0,3.0,1.0,1.0,1.0,1.0
8691.333,10806.5,3672.333,6073.167,1573.167,2492.5,138167.333,28198.667,125.0,3.333,3.0,1.0,1.0,1.333,1.0
10592.833,28456.333,9003.667,7750.0,2754.333,3703.0,140326.0,54693.333,130.0,3.333,3.0,1.0,1.0,1.333,1.0
3578.667,4882.167,2767.667,5343.0,1663.333,1170.667,76071.833,22779.5,135.0,3.0,3.0,1.0,1.0,1.0,1.0
25835.667,44314.167,10784.833,10911.333,2610.167,4613.333,653778.167,105419.667,140.0,2.667,3.0,1.0,1.0,1.0,1.0
4310.5,7536.167,3076.0,4188.5,954.167,2924.333,102405.0,27840.833,145.0,2.667,3.0,1.0,1.0,1.0,1.0
12510.5,23514.5,11157.0,11777.5,3751.5,4778.333,153324.667,35087.333,150.0,2.667,3.0,1.0,1.0,1.0,1.0
6346.333,7429.0,3216.667,4697.5,3852.167,4720.333,137158.5,44609.833,155.0,2.667,3.0,1.0,1.0,1.0,1.0
10081.333,17729.5,7418.667,13228.833,2032.0,3339.833,70914.5,29523.333,160.0,3.0,3.0,1.0,1.0,1.0,1.0
12109.0,12558.333,14714.333,8208.333,3950.0,3170.167,532080.667,79269.333,165.0,3.0,3.0,1.0,1.0,1.0,1.0
42687.5,43933.667,18022.167,21770.667,12655.167,17854.833,1136807.167,289243.667,170.0,3.333,3.0,1.0,1.0,1.0,1.0
13689.5,10504.0,8761.333,18264.0,5448.0,10917.667,412545.667,88954.833,175.0,3.333,3.0,1.0,1.0,1.0,1.0
24567.0,20775.833,9023.833,11597.333,7696.667,10233.5,1016036.0,69663.667,180.0,3.333,3.0,1.0,1.0,1.0,1.0
30302.5,3349.667,25223.667,23853.667,10045.333,12970.167,105793.667,81663.0,185.0,3.333,3.0,1.0,1.0,1.0,1.0
10544.833,8380.167,5832.833,5677.667,3356.333,3101.667,334911.333,33719.667,190.0,3.0,3.0,1.0,1.0,1.0,1.0
30983.5,27163.833,9966.667,17002.333,4359.5,4004.833,501843.0,86668.833,195.0,3.0,3.0,1.0,1.0,1.0,1.0
4804.167,6164.0,5966.5,6505.833,1978.667,2985.833,179595.0,36723.333,200.0,3.0,3.0,1.0,1.0,1.0,1.0
15568.167,18984.333,9312.0,14126.5,4519.0,6243.333,631091.333,104068.333,205.0,3.0,3.0,1.0,1.0,1.0,1.0
30622.5,34410.0,26236.667,22195.333,8143.333,18515.0,790358.667,164946.0,210.0,3.0,2.667,1.333,1.0,1.0,1.0
24188.5,43653.5,15462.5,11617.833,9221.5,9328.5,609492.833,170522.333,215.0,3.333,2.667,1.333,1.0,1.0,1.0
22057.333,17847.667,16887.333,16552.5,9065.0,15807.667,538939.833,136436.833,220.0,2.667,2.667,1.0,1.0,1.0,1.0
16753.667,27168.0,12367.167,13039.5,5669.5,12013.167,818033.333,162209.0,225.0,2.667,2.667,1.0,1.0,1.0,1.0
49952.167,43718.0,28888.167,29076.833,12052.667,25371.0,524462.667,248687.167,230.0,2.667,2.667,1.0,1.0,1.0,1.0
44107.0,48816.167,14358.833,11036.667,6640.667,19458.667,592162.5,216839.833,235.0,2.667,3.0,1.0,1.0,1.0,1.0
62082.0,46662.0,49723.833,72753.333,41229.5,50768.833,1366469.833,396644.333,240.0,2.667,3.0,1.0,1.0,1.0,1.0
12257.167,11463.667,6036.5,12075.833,2240.333,2685.833,210448.333,106695.167,245.0,3.0,2.667,1.0,1.0,1.333,1.0
9636.0,5422.5,4023.0,9554.833,1476.167,2032.5,77152.667,35011.167,250.0,3.333,3.0,1.333,1.0,1.0,1.0
8293.571,16140.714,6034.143,8965.0,1600.0,2077.571,308574.143,41665.857,255.0,3.333,3.0,1.333,1.0,1.0,1.0
4735.0,27173.667,7863.667,7459.5,1929.833,3607.5,408407.667,65466.5,260.0,3.0,3.0,1.333,1.0,1.0,1.0
19148.167,18259.833,7249.333,12084.0,2802.333,2850.5,119715.167,97908.0,265.0,3.0,3.0,1.333,1.0,1.0,1.0
6168.333,25269.333,4652.0,8691.667,1249.167,2658.333,84341.667,22260.833,270.0,3.333,2.667,1.333,1.0,1.0,1.0
13211.5,15182.333,6038.667,7492.0,2440.333,3106.833,177756.167,49596.333,275.0,3.0,2.667,1.333,1.0,1.0,1.0
13068.833,10742.167,6778.333,8772.333,951.333,2448.167,116489.333,51714.667,280.0,3.667,3.0,1.333,1.0,1.0,1.0
12343.5,8081.0,4886.5,7441.833,2473.167,2805.0,91685.667,37335.333,285.0,3.667,2.667,1.333,1.0,1.667,1.0
9907.0,10928.5,7022.667,9426.0,4457.0,7207.167,343629.333,49000.333,290.0,3.0,2.667,1.0,1.0,2.0,1.0
15961.833,29989.667,9134.0,11142.667,4582.667,6628.167,343804.167,112724.833,295.0,3.0,2.667,1.0,1.0,2.0,1.0
42545.333,56896.5,29729.833,37821.667,27753.667,29493.5,1070535.5,358645.167,300.0,3.0,2.667,1.0,1.0,1.667,1.0
15156.667,28187.333,7424.667,9725.167,3184.5,6444.167,539033.167,202708.833,305.0,3.333,2.667,1.0,1.0,1.667,1.0
24504.333,36399.833,29546.833,18181.167,11359.833,23032.667,847857.167,89583.333,310.0,3.0,3.0,1.0,1.0,1.667,1.0
26480.667,26886.167,20162.167,16621.167,10390.333,14823.667,671022.0,327526.167,315.0,2.667,3.333,1.0,1.0,1.0,1.0
21031.167,15861.5,18953.833,15015.167,7362.333,10623.167,417226.667,132900.0,320.0,2.667,3.0,1.0,1.0,1.0,1.0
12679.167,21916.333,5279.333,5180.333,2851.833,4597.0,276521.667,77515.333,325.0,2.667,3.0,1.0,1.0,1.0,1.0
28577.0,43948.5,18752.833,14318.167,7013.667,11074.5,841348.833,265560.833,330.0,3.0,3.0,1.0,1.0,1.0,1.0
21879.167,36789.833,8725.333,11518.333,4106.0,9935.833,342029.667,99075.833,335.0,2.667,3.0,1.0,1.0,1.0,1.0
13233.0,13055.833,7153.5,8603.333,2830.0,3257.667,242821.333,39804.333,340.0,2.667,2.667,1.0,1.0,1.333,1.0
19398.0,20642.167,11164.833,12722.167,2352.167,3931.833,297378.333,100123.667,345.0,3.0,2.667,1.0,1.0,1.333,1.0
11390.5,18209.5,9068.833,8608.333,2924.167,2826.0,246341.333,50896.667,350.0,3.0,2.667,1.0,1.0,1.333,1.0
17621.667,29645.167,8126.667,13737.167,2206.833,2843.167,364663.667,102633.0,355.0,3.0,2.667,1.0,1.0,1.333,1.0
12603.833,31089.833,9352.167,17583.0,2470.667,2854.0,280943.833,99179.5,360.0,2.667,2.333,1.0,1.0,1.667,1.0
9569.167,9449.0,6578.167,8070.333,1976.0,1862.667,102929.333,62422.167,365.0,2.667,2.333,1.0,1.0,1.667,1.0
10199.667,11738.0,5755.333,10168.5,3310.167,2961.5,223014.833,36857.5,370.0,2.667,3.0,1.333,1.0,1.0,1.0
10397.667,19206.833,5503.167,6296.167,2388.833,2501.333,195103.833,67686.5,375.0,2.667,3.0,1.333,1.0,1.0,1.0
3431.667,27543.0,3849.333,3695.667,2011.833,2304.0,325787.333,38290.333,380.0,3.333,3.0,1.333,1.0,1.0,1.0
18496.833,15382.833,10775.0,7292.0,2034.167,5276.333,292790.667,34630.333,385.0,2.667,3.0,1.0,1.0,1.0,1.0
7436.0,11322.0,5761.833,7774.5,2555.0,2279.0,391540.667,41670.333,390.0,3.333,3.0,1.0,1.0,1.0,1.0
9906.833,13444.667,4523.333,4974.667,1808.333,3471.333,293062.667,35357.333,395.0,2.667,3.0,1.0,1.0,1.0,1.0
16123.333,11179.833,6194.333,16096.5,2639.833,4132.5,276931.5,59952.667,400.0,2.667,3.0,1.0,1.0,1.0,1.0
18040.167,12824.667,5978.167,6867.333,1782.333,3482.5,221710.167,51999.0,405.0,2.667,3.0,1.0,1.0,1.0,1.0
16200.667,24700.667,7895.167,9654.833,3842.833,3293.0,326637.167,47881.333,410.0,2.667,3.0,1.0,1.0,1.0,1.0
7577.333,14942.167,3640.0,7126.0,1514.0,2785.667,366257.5,58905.167,415.0,3.333,3.0,1.0,1.0,1.0,1.0
10637.667,26584.0,8733.5,10710.167,3084.167,5843.0,299389.833,98237.333,420.0,3.333,3.0,1.0,1.0,1.0,1.0
13294.833,11699.667,12641.333,13479.333,6959.667,7953.5,295648.167,116668.5,425.0,2.667,3.0,1.0,1.0,1.0,1.0
27831.5,41238.167,19291.0,15599.167,6757.0,12950.333,944841.5,197622.333,430.0,3.0,3.333,1.333,1.0,1.0,1.0
19159.167,18727.333,13441.5,21961.667,7247.667,9219.5,834251.0,136013.333,435.0,3.0,3.333,1.333,1.0,1.0,1.0
36200.167,39812.0,22331.333,20680.833,9312.167,17778.833,702278.667,188691.0,440.0,2.667,3.0,1.0,1.0,1.0,1.0
32203.333,42500.5,28770.333,45755.0,15891.833,28010.5,925880.5,221904.0,445.0,2.667,3.0,1.0,1.0,1.0,1.0
41008.5,51360.667,20846.333,63733.667,13211.167,15767.0,908263.833,309909.5,450.0,3.333,3.0,1.0,1.0,1.0,1.0
74396.167,68103.0,54075.167,66353.167,31574.167,50814.167,985775.667,227692.5,455.0,2.667,3.0,1.0,1.0,1.0,1.0
17999.0,17573.0,13355.333,23535.833,8007.5,14363.833,448464.833,123027.5,460.0,2.667,3.0,1.0,1.0,1.0,1.0
49242.667,34053.167,19472.667,22073.667,7211.0,15862.5,971648.5,129884.0,465.0,3.0,3.0,1.0,1.0,1.0,1.0
25026.833,44351.667,18325.5,16381.833,14396.833,27847.333,536061.5,114210.833,470.0,3.333,3.0,1.0,1.0,1.0,1.0
7339.5,17169.0,10146.5,11490.5,3793.333,4285.333,357715.167,75263.667,475.0,3.667,3.0,1.0,1.0,1.0,1.0
33132.667,30290.167,10210.167,15680.5,6013.833,7193.333,156756.0,148405.667,480.0,3.667,3.0,1.0,1.0,1.0,1.0
13750.5,28432.833,10949.833,14582.167,7782.667,5859.5,462074.333,53223.667,485.0,3.667,3.0,1.0,1.0,1.0,1.0
21520.5,11564.333,6079.5,11860.333,1788.167,2140.167,297383.167,54032.5,490.0,3.0,3.0,1.0,1.0,1.0,1.0
11818.5,16799.833,9376.833,14327.5,1406.833,2020.0,350897.333,74847.5,495.0,3.333,2.667,1.0,1.0,1.333,1.0
28870.5,27653.5,12646.167,15226.833,3480.333,3921.333,652166.167,59714.667,500.0,3.0,2.667,1.0,1.0,1.667,1.0
14533.143,13795.0,10280.286,19031.0,2460.0,4760.571,196195.714,73593.714,505.0,3.0,2.667,1.0,1.0,1.333,1.0
