delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta
66709.833,85345.0,97114.167,53546.833,26482.667,78870.167,814159.833,276958.5
95305.667,89751.833,93450.5,56845.667,36055.333,57980.333,649363.0,235616.667
51640.333,87529.5,108246.667,117064.333,24930.833,34489.333,1337195.167,312412.167
13434.0,7537.5,7793.167,8145.333,1039.5,2201.833,1092222.667,34604.667
46779.0,41174.4,24165.0,40306.2,7668.6,14132.4,734743.8,107938.0
14332.143,16988.857,56393.714,21893.286,10358.429,22655.143,914166.429,167255.0
141687.5,147214.667,78870.333,90084.167,27679.5,43586.5,733387.0,443383.833
12467.667,13014.0,12431.833,13848.167,1110.833,4563.833,656960.333,45878.167
18103.333,21057.5,17534.0,25735.333,5482.833,7051.833,441622.333,103709.5
77053.167,76318.167,62694.833,45737.667,2529.5,8454.333,909363.833,171956.5
54108.167,54924.0,53025.667,53638.333,10928.5,31693.833,1423303.0,156998.333
46791.833,39131.0,43343.5,34736.333,18249.833,38455.5,1025911.167,193163.5
25108.0,27111.333,20630.167,25800.167,6710.667,9126.333,600351.0,60505.333
24250.333,34000.167,34494.333,38882.833,10177.0,41220.0,276967.5,79417.333
137447.167,220151.833,101713.5,63438.833,96373.667,87965.167,1010660.833,223306.333
24186.333,30236.5,21727.333,55004.167,5429.333,11555.333,699182.0,55028.667
38316.0,31617.0,27026.667,34097.0,3879.667,11584.167,774717.667,121454.333
43073.0,65453.167,27563.5,42673.0,5070.5,12298.0,1203530.0,159131.333
223319.167,252660.833,117462.0,214542.167,16474.333,19834.667,585167.833,154339.0
1523.667,4049.167,4616.5,2377.667,1030.5,1177.833,116826.0,9175.167
22960.667,32680.667,20132.167,12962.167,6158.333,7363.833,243675.833,70858.0
17713.5,19056.667,22785.333,10291.833,4419.333,6115.667,351239.833,108914.0
13872.167,14340.0,16327.667,6717.333,4266.167,9357.5,78459.333,28631.0
13586.0,21228.167,16019.0,9437.5,3884.333,7004.5,198617.0,63124.5
22107.0,50204.667,21989.167,18392.167,12646.667,6273.0,545207.167,186393.667
4165.5,8547.167,20069.667,5770.333,4519.5,4528.5,168348.333,32319.0
13695.167,15668.167,18147.667,7650.833,4777.333,4868.833,36057.5,16719.667
46395.5,61663.833,33202.5,23027.0,17192.667,15199.333,654507.333,159240.5
147108.333,110188.0,101810.333,201897.667,44990.333,58997.0,756757.5,391959.167
65684.167,90385.5,53853.833,61014.833,9163.333,42010.0,1203307.667,367077.333
61749.667,93208.833,58508.167,71994.667,20805.167,59408.5,865179.167,271782.5
62593.833,130442.833,53585.833,35343.833,19075.167,24944.0,463911.167,293300.167
104629.0,58548.833,40084.333,82572.167,65319.333,68769.833,1270106.667,108667.5
22250.167,17150.5,90837.333,100040.167,13309.833,20082.667,250811.5,105408.333
49527.667,122606.667,64291.0,38436.167,7685.667,21163.667,1196821.667,182207.0
222783.333,89048.5,100889.5,92369.333,35108.5,74706.833,1138314.5,350178.0
21908.5,49026.667,23772.833,17396.333,8011.667,13382.667,522350.0,118617.667
27349.333,45638.0,40519.5,24141.333,7381.667,19275.333,574120.333,106612.833
141206.5,92034.667,113033.5,167580.0,39641.167,63540.667,796474.167,194184.667
2690.5,3931.667,1944.167,1629.5,656.833,1016.333,278403.333,17818.667
8534.5,10168.667,8116.667,12118.5,2360.667,5896.167,241188.667,33542.667
24624.833,25932.333,38413.167,20215.667,8070.167,11749.833,774538.333,167613.5
59251.5,84573.667,58046.667,48739.5,51357.333,17371.333,767412.333,251197.167
13295.667,7472.167,13746.333,14815.0,4757.833,7566.0,301721.833,73397.0
45412.667,41537.667,57800.833,49445.167,20905.167,19451.833,720692.167,328081.333
30135.571,47013.429,48357.571,34807.857,14219.286,10977.429,1143929.571,254265.143
27048.2,26582.6,42439.0,25195.4,8151.8,8340.0,756965.4,131368.6
23374.5,27471.667,56120.833,70520.333,5781.333,16511.0,541471.5,108595.833
35685.167,32152.0,27547.167,48150.167,4271.167,10924.0,773801.333,211305.667
24715.833,43270.333,25130.0,41328.0,7828.167,10551.667,976360.0,181246.667
29754.714,29458.571,45326.286,14479.571,25475.286,12448.429,834501.429,191109.143
