seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,4,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
10,4,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
15,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
20,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
25,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
30,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
35,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
40,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
45,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
50,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
55,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
60,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
65,4,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
70,3,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
75,3,3,1,1,1,3,1,,,,,,,x,,,,,,,,x
80,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
85,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
90,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
95,3,3,1,1,1,2,1,,,,,,,x,,,,,,x,,
100,3,3,1,1,1,2,1,,,,,,,x,,,,,,x,,
105,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
110,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
115,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
120,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
125,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
130,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
135,3,3,1,1,1,2,1,,,,x,,,,,,,,,x,,
140,3,3,1,1,1,2,1,,,,x,,,,,,,,,x,,
145,3,3,1,1,1,1,1,,,,x,,,,,,,,,x,,
150,3,3,1,1,1,1,1,,,,x,,,,,,,,,x,,
155,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
160,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
165,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
170,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
175,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
180,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
185,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
190,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
195,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
200,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
205,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
210,3,3,1,1,1,2,1,,,,x,,,,,x,,,,,,
215,3,3,1,1,2,2,1,,,,x,,,,,,,,,,,x
220,4,2,1,1,3,2,1,,,,x,,,,,,,,,,,x
225,4,2,1,1,3,2,1,,,,x,,,,,x,,,,,,
230,4,1,1,1,3,2,1,,,,x,,,,,x,,,,,,
235,4,1,1,1,2,2,1,,,,x,,,,,x,,,,,,
240,4,2,1,1,2,2,1,,,,,,,x,,,,,,,,x
245,4,2,1,1,2,2,1,,,,,,,x,,,,,,,,x
250,4,2,1,1,2,2,1,,,,,,,x,,,,,,,,x
255,4,2,1,1,2,2,1,,,,,,,x,,,,,,,,x
260,4,2,1,1,2,3,1,,,,,,,x,,,,,,,,x
265,4,2,1,1,2,3,1,,,,,,,x,,,,,,,,x
270,4,3,1,1,2,3,1,,,,,,,x,,,,,,,,x
275,4,3,1,1,2,3,1,,,,,,,x,,,,,,,,x
280,4,3,1,1,2,3,1,,,,,,,x,,,,,,,,x
285,4,3,1,1,2,3,1,,,,,,,x,,,,,,,,x
290,4,3,1,1,2,3,1,,,,,,,x,,,,,,,,x
295,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
300,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
305,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
310,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
315,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
320,3,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
325,3,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
330,3,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
335,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
340,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
345,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
350,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
355,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
360,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
365,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
370,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
375,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
380,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
385,3,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
390,3,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
395,3,3,1,1,1,3,1,x,,,,,,,,,,,,,,x
400,3,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
405,4,3,1,1,1,2,1,,,,,,,x,,,,,,x,,
410,4,3,1,1,2,3,1,,,,,,,x,,x,,,,,,
415,4,3,1,1,2,3,1,,,,,,,x,,x,,,,,,
420,4,3,1,1,2,3,1,,,,,,,x,,x,,,,,,
425,3,3,1,1,2,2,1,,,,,,,x,,x,,,,,,
430,3,3,1,1,2,3,1,,,,,,,x,,x,,,,,,
435,3,3,1,1,2,2,1,,,,,,,x,,x,,,,,,
440,3,3,1,1,2,2,1,,,,,,,x,,,,,,,,x
445,3,3,1,1,2,2,1,,,,,,,x,,,,,,,,x
450,3,3,1,1,2,2,1,,,,,,,x,,,,,,,,x
455,3,3,1,1,2,2,1,,,,,,,x,,,,,,,,x
460,3,3,1,1,2,2,1,,,,,,,x,,,,,,,,x
465,3,3,1,1,2,3,1,,,,,,,x,,,,,,,,x
470,3,3,1,1,2,3,1,,,,,,,x,,,,,,,,x
475,3,3,1,1,2,2,1,,,,,,,x,,,,,,,,x
480,3,3,1,1,2,2,1,,,,,,,x,,,,,,,,x
485,3,3,1,1,2,2,1,,,,,,,x,,,,,,,,x
490,3,3,1,1,2,2,1,,,,,,,x,,,,,,,,x
495,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
500,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
505,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
510,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
515,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
520,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
525,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
530,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
535,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
540,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
545,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
550,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
555,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
560,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
565,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
570,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
575,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
580,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
585,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
590,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
595,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
600,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
605,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
610,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
615,2,3,1,1,1,2,1,x,,,,,,,,,,,,,,x
620,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
625,2,3,1,1,1,2,1,,,,,,,x,,,,,,,,x
