seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,3,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
10,3,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
15,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
20,4,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
25,4,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
30,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
35,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
40,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
45,3,5,2,2,1,1,1,,,,,,x,,,,,,x,,,
50,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
55,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
60,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
65,3,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
70,3,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
75,3,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
80,3,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
85,3,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
90,3,4,1,1,2,1,1,x,,,,,,,,,,,,,,x
95,3,4,1,1,2,1,1,x,,,,,,,,,,,,,,x
100,3,2,1,1,2,1,1,x,,,,,,,,,,,,,,x
105,3,2,1,1,2,1,1,x,,,,,,,,,,,,,,x
110,3,2,1,1,2,1,1,x,,,,,,,,,,,,,,x
115,4,4,1,1,2,2,1,,,,x,,,,,,,,,,,x
120,4,4,1,1,2,2,1,,,,x,,,,,,,,,,,x
125,4,4,1,1,2,2,1,,,,x,,,,,,,,,,,x
130,3,4,2,2,2,1,1,,,,x,,,,,,,,,,,x
135,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
140,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
145,3,3,1,2,1,3,1,,,,x,,,,,,,,,,,x
150,3,3,1,2,1,3,1,,,,x,,,,,,,,,,,x
155,3,3,1,2,1,3,1,,,,x,,,,,,,,,,,x
160,3,4,1,2,2,2,1,,,,x,,,,,,,,,x,,
165,3,4,2,2,1,1,1,,,,x,,,,,,,,,x,,
170,3,4,2,2,1,1,1,,,,x,,,,,,,,,x,,
175,3,4,1,2,1,2,1,,,,x,,,,,,,,,x,,
180,3,4,1,2,1,2,1,,x,,,,,,,,,,,x,,
185,3,4,1,2,1,2,1,,x,,,,,,,,,,,x,,
190,3,4,1,2,1,2,1,,x,,,,,,,,,,,x,,
195,3,4,1,2,1,2,1,,x,,,,,,,,,,,x,,
200,3,4,1,2,1,2,1,,x,,,,,,,,,,,x,,
205,3,4,1,2,1,2,1,,x,,,,,,,,,,,x,,
210,3,4,1,1,1,2,1,,,,x,,,,,,,,,x,,
215,3,4,1,1,1,2,1,,,,x,,,,,,,,,x,,
220,3,4,1,1,1,3,1,,,,x,,,,,,,,,x,,
225,3,3,1,1,1,3,1,,x,,,,,,,,,,,,,x
230,3,2,1,1,1,3,1,,x,,,,,,,,,,,,,x
235,2,2,1,1,1,3,1,,x,,,,,,,,,,,,,x
240,2,2,1,1,1,3,1,,x,,,,,,,,,,,,,x
245,2,2,1,1,1,3,1,x,,,,,,,,,,,,,,x
250,2,2,1,1,1,3,1,x,,,,,,,,,,,,,,x
255,3,4,3,3,1,2,1,,,,x,,,,,,,,,,,x
260,4,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
265,4,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
270,4,2,1,1,3,1,1,,,,x,,,,,,,,,,,x
275,4,2,1,1,3,1,1,,,,x,,,,,,,,,,,x
280,4,2,1,1,3,1,1,,,,x,,,,,,,,,,,x
285,4,2,1,1,3,1,1,,,,x,,,,,,,,,,,x
290,4,2,1,1,3,1,1,,,,x,,,,,,,,,,,x
295,4,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
300,4,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
305,4,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
310,4,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
315,4,2,1,1,2,1,1,,,,x,,,,,,,,,,,x
320,4,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
325,4,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
330,4,1,1,2,2,1,1,,x,,,,,,,x,,,,,,
335,4,1,1,2,2,1,1,,x,,,,,,,x,,,,,,
340,4,1,1,2,2,1,1,,x,,,,,,,x,,,,,,
345,4,1,1,2,2,1,1,,,,x,,,,,,,,,,,x
350,4,1,1,2,2,1,1,,,,x,,,,,,,,,,,x
355,4,1,1,2,2,1,1,,,,x,,,,,,,,,,,x
360,4,1,1,2,2,1,1,,,,x,,,,,,,,,,,x
365,4,1,1,2,2,1,1,,,,x,,,,,,,,,,,x
370,4,3,1,1,2,1,1,x,,,,,,,,,,,,,,x
375,4,3,2,2,2,1,1,,,,x,,,,,,,,,,,x
380,4,3,2,2,2,1,1,,,,x,,,,,,,,,,,x
385,3,4,2,2,2,1,1,,,,x,,,,,,,,,,,x
390,3,4,2,2,2,1,1,,,,x,,,,,,,,,,,x
395,3,4,3,3,1,1,1,x,,,,,,,,,,,,,,x
400,3,4,2,2,1,1,1,x,,,,,,,,,,,,,,x
405,2,4,2,2,1,1,1,x,,,,,,,,,,,,,,x
410,3,4,2,2,1,1,1,x,,,,,,,,,,,,,,x
415,3,4,2,2,1,1,1,x,,,,,,,,,,,,,,x
420,3,4,2,2,1,1,1,x,,,,,,,,,,,,,,x
425,3,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
430,3,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
435,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
440,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
445,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
450,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
455,4,3,1,1,2,1,1,,,,x,,,,,,,,,,,x
460,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
465,4,3,1,1,2,1,1,x,,,,,,,,,,,,,,x
470,4,3,1,1,2,1,1,x,,,,,,,,,,,,,,x
475,4,3,1,1,2,1,1,,,,x,,,,,,,,,x,,
480,4,3,1,1,2,1,1,,,,x,,,,,,,,,x,,
485,4,4,2,2,1,1,1,,,,x,,,,,,,,,x,,
490,4,1,2,1,3,1,1,,,,x,,,,,,,,,,,x
495,4,1,1,1,3,1,1,,,,x,,,,,,,,,,,x
500,4,1,1,1,3,1,1,,,,x,,,,,,,,,,,x
505,4,1,1,1,3,1,1,,,,x,,,,,,,,,,,x
510,4,1,1,1,3,1,1,,,,x,,,,,,,,,,,x
515,4,3,2,2,2,1,1,,,,x,,,,,,,,,,,x
520,4,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
525,4,5,2,2,1,1,1,,,x,,,,,,,,,,,,x
530,4,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
535,3,4,2,2,1,1,1,,,,x,,,,,,,,,,,x
540,3,4,2,2,1,1,1,x,,,,,,,,,,,,,,x
545,3,4,2,2,1,1,1,x,,,,,,,,,,,,,,x
550,3,4,2,2,1,1,1,x,,,,,,,,,,,,,,x
555,3,4,2,2,1,1,1,x,,,,,,,,,,,,,,x
560,3,4,2,2,1,1,1,x,,,,,,,,,,,,,,x
565,3,2,2,2,1,1,1,,,,x,,,,,,,,,,,x
570,3,2,2,2,1,1,1,,,,x,,,,,,,,,,,x
575,3,2,2,2,1,1,1,,,,x,,,,,,,,,,,x
