seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,1,4,4,1,1,3,1,,,,x,,,,,,,,,,,x
10,1,4,3,1,1,4,1,,,,x,,,,,,,,,,,x
15,2,5,3,2,1,3,1,,,,x,,,,,,,,,,,x
20,2,5,3,1,1,4,1,,,,x,,,,,,,,,,,x
25,2,4,4,1,1,4,1,,,,x,,,,,,,,,,,x
30,2,4,4,1,1,4,1,,,,x,,,,,,,,,,,x
35,2,4,4,1,1,4,1,,,,x,,,,,,,,,,,x
40,2,4,4,1,1,4,1,,,,x,,,,,,,,,,,x
45,2,3,3,1,1,4,2,,x,,,,,,x,,,,,,,
50,2,3,3,1,1,4,2,,x,,,,,,x,,,,,,,
55,2,3,3,1,1,4,2,,x,,,,,,x,,,,,,,
60,2,2,3,1,1,4,2,,x,,,,,,x,,,,,,,
65,2,2,3,1,1,4,2,,x,,,,,,x,,,,,,,
70,2,2,3,1,1,4,2,,x,,,,,,x,,,,,,,
75,2,2,3,1,1,4,2,,x,,,,,,x,,,,,,,
80,2,2,3,1,1,4,2,,x,,,,,,x,,,,,,,
85,3,3,3,2,1,4,1,,,,x,,,,,,,,x,,,
90,3,2,2,1,1,4,2,,x,,,,,,x,,,,,,,
95,3,2,2,1,1,4,2,,x,,,,,,x,,,,,,,
100,3,2,2,1,1,4,2,,x,,,,,,x,,,,,,,
105,3,2,2,1,1,4,2,,x,,,,,,x,,,,,,,
110,2,4,3,3,1,1,1,,,,x,,,,x,,,,,,,
115,2,4,3,3,1,1,1,,,,x,,,,,,,,,,,x
120,2,4,3,3,1,1,1,,,,x,,,,,,,,,,,x
125,2,4,3,3,1,1,1,,,,x,,,,,,,,,,,x
130,2,4,3,3,1,1,1,,,,x,,,,,,,,,,,x
135,2,4,3,3,1,1,1,,,,x,,,,,,,,,,,x
140,2,4,3,3,1,1,1,,,,x,,,,,,,,,,,x
145,2,4,3,3,1,1,1,,,,x,,,,,,,,,,,x
150,2,4,3,3,1,1,1,,,,x,,,,,,,,,,,x
155,2,4,3,3,1,1,1,,,,x,,,,,,,,,,,x
160,2,4,3,3,1,1,1,,,,x,,,,,,,,,,,x
165,2,4,3,4,1,1,1,,,x,,,,,,,,,x,,,
170,1,3,3,3,1,2,1,,,,x,,,,,,,,,,,x
175,1,3,3,3,1,2,1,,,,x,,,,,,,,,,,x
180,1,3,3,3,1,2,1,,,,x,,,,,,,,,,,x
185,1,3,3,3,1,2,1,,,,x,,,,,,,,,,,x
190,1,3,3,3,1,2,1,,,,x,,,,,,,,,,,x
195,1,3,3,3,1,2,1,,,,x,,,,,,,,,,,x
200,1,3,3,3,1,2,1,,,,x,,,,,,,,,,,x
205,1,3,3,3,1,2,1,,,,x,,,,,,,,,,,x
210,1,3,2,1,1,3,2,,,,x,,,,,,,,,,,x
215,1,3,2,1,1,3,2,,,,x,,,,,,,,,,,x
220,2,3,3,2,1,3,1,,,,x,,,,,,,,x,,,
225,2,3,3,2,1,3,1,,,,x,,,,,,,,x,,,
230,2,3,3,2,1,3,1,,,,x,,,,,,,,x,,,
235,2,3,2,3,1,2,1,,,,x,,,,,,,,x,,,
240,2,3,2,3,1,2,1,,,,x,,,,,,,,x,,,
245,2,3,2,3,1,2,1,,,,x,,,,,,,,x,,,
250,2,3,2,3,1,2,1,,,,x,,,,,,,,x,,,
255,2,3,2,2,1,3,2,,x,,,,,,x,,,,,,,
260,2,3,2,2,1,3,2,,x,,,,,,x,,,,,,,
265,2,3,2,2,1,3,2,,x,,,,,,x,,,,,,,
270,2,3,2,3,1,2,1,,,,x,,,,,,,,x,,,
275,2,3,2,3,1,2,1,,,,x,,,,,,,,x,,,
280,2,3,2,3,1,2,1,,,,x,,,,,,,,x,,,
285,2,2,2,2,2,4,1,,x,,,,,,x,,,,,,,
290,2,2,2,2,2,4,1,,x,,,,,,x,,,,,,,
295,2,2,2,2,2,4,1,,x,,,,,,x,,,,,,,
300,2,2,2,2,2,4,1,,x,,,,,,x,,,,,,,
305,2,2,2,2,2,4,1,,x,,,,,,x,,,,,,,
310,2,1,1,1,1,4,2,,x,,,,,,x,,,,,,,
315,2,1,1,1,1,4,2,,x,,,,,,x,,,,,,,
320,2,1,1,1,1,4,2,,x,,,,,,x,,,,,,,
325,2,1,1,1,1,4,2,,x,,,,,,x,,,,,,,
330,2,1,1,1,1,4,2,,x,,,,,,x,,,,,,,
335,2,4,2,4,1,1,1,,,x,,,,,,,,,,,,x
340,2,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
345,2,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
350,2,3,2,3,1,1,1,,,,x,,,,,,,,x,,,
355,2,3,2,3,1,1,1,,,,x,,,,,,,,x,,,
360,2,3,2,3,1,1,1,,,,x,,,,,,,,x,,,
365,2,3,2,3,1,1,1,,,,x,,,,,,,,x,,,
370,2,3,2,3,1,1,1,,,,x,,,,,,,,x,,,
375,2,3,2,2,1,2,1,,,,x,,,,,,,,,,,x
380,2,3,2,2,1,2,1,,,,x,,,,,,,,,,,x
385,2,3,2,2,1,2,1,,,,x,,,,,,,,,,,x
390,2,3,2,2,1,2,1,,,,x,,,,,,,,,,,x
395,2,3,2,2,1,2,1,,,,x,,,,,,,,,,,x
400,2,3,2,1,1,3,1,,,,x,,,,,,,,,,,x
405,2,3,2,1,1,3,1,,,,x,,,,,,,,,,,x
410,2,3,2,1,1,3,1,,,,x,,,,,,,,,,,x
415,2,3,2,1,1,3,1,,,,x,,,,,,,,,,,x
420,2,3,2,1,1,3,1,,,,x,,,,,,,,,,,x
425,2,3,2,1,1,3,1,,,,x,,,,,,,,,,,x
430,2,3,2,1,1,3,1,,,,x,,,,,,,,,,,x
435,3,2,1,1,1,4,1,,,,x,,,,,,,,,,,x
440,3,2,1,1,1,4,1,,,,x,,,,,,,,,,,x
445,3,2,1,1,1,4,1,,,,x,,,,,,,,,,,x
450,3,2,1,1,1,4,1,,,,x,,,,,,,,,,,x
455,3,2,1,1,1,4,1,,,,x,,,,,,,,,,,x
460,3,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
465,3,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
470,3,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
475,3,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
480,3,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
485,3,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
490,3,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
495,3,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
500,2,3,1,2,1,3,1,,,,x,,,,,,,,x,,,
505,2,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
510,2,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
515,2,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
520,2,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
525,2,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
530,2,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
535,2,2,2,2,1,3,1,,,,x,,,,,,,,x,,,
540,2,2,2,2,1,3,1,,,,x,,,,,,,,x,,,
545,2,2,2,2,1,3,1,,,,x,,,,,,,,x,,,
550,2,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
555,2,2,1,1,1,4,1,,x,,,,,,x,,,,,,,
560,2,3,2,2,2,1,1,,,x,,,,,x,,,,,,,
565,2,3,2,3,1,1,1,,,,x,,,,,,,,,,,x
570,2,3,2,3,1,1,1,,,,x,,,,,,,,,,,x
575,2,3,2,3,1,1,1,,,,x,,,,,,,,,,,x
580,2,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
585,2,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
590,2,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
595,2,2,2,1,2,3,1,,,,x,,,,,,,,,,,x
600,2,2,2,1,2,3,1,,,,x,,,,,,,,,,,x
605,2,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
610,2,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
615,2,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
620,2,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
625,2,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
630,2,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
635,2,3,2,1,1,2,1,,,,x,,,,,,,,,,,x
640,2,3,2,1,1,2,1,,,,x,,,,,,,,,,,x
645,2,3,2,1,1,2,1,,,,x,,,,,,,,,,,x
650,2,3,2,1,1,2,1,,,,x,,,,,,,,,,,x
655,2,3,2,1,1,2,1,,,,x,,,,,,,,,,,x
660,2,3,2,1,1,2,1,,,,x,,,,,,,,,,,x
665,2,3,2,1,1,2,1,,,,x,,,,,,,,,,,x
670,2,3,2,1,1,2,1,,,,x,,,,,,,,,,,x
675,2,3,2,1,1,2,1,,,,x,,,,,,,,,,,x
680,2,3,2,1,1,2,1,,,,x,,,,,,,,,,,x
