seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,4,4,2,3,1,3,1,,,,,,,x,,,,,,,,x
10,4,4,2,3,1,3,1,,,,,,,x,,,,,,,,x
15,4,4,2,3,1,3,1,,,,,,,x,,,,,,,,x
20,4,4,2,3,1,3,1,,,,,,,x,,,,,,,,x
25,3,3,2,3,1,3,1,,,,,,,x,,,,,,,,x
30,3,3,2,3,1,3,1,,,,,,,x,,,,,,,,x
35,3,3,2,3,1,2,1,,,,,,,x,,,,,,,,x
40,3,3,2,3,1,2,1,,,,,,,x,,,,,,,,x
45,2,3,2,3,1,2,1,,,,,,,x,,,,,,,,x
50,2,3,2,3,1,2,1,,,,,,,x,,,,,,,,x
55,2,3,2,3,1,2,1,,,,,,,x,,,,,,,,x
60,2,3,2,3,1,2,1,,,,,,,x,,,,,,,,x
65,1,3,2,3,1,2,1,,,,,,,x,,,,,,,,x
70,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x
75,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x
80,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x
85,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x
90,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x
95,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x
100,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x
105,3,3,2,3,1,3,1,,,,,,,x,,,,,,,,x
110,3,3,2,3,1,3,1,,,,,,,x,,,,,,,,x
115,3,3,2,3,1,3,1,,,,,,,x,,,,,,,,x
120,4,3,2,3,1,3,1,,,,,,,x,,,,,,,,x
125,4,3,2,3,1,3,1,,,,,,,x,,,,,,,,x
130,4,3,2,3,1,3,1,,,,,,,x,,,,,,,,x
135,4,3,2,2,1,2,1,,,,,,,x,,,,,,,,x
140,3,3,2,2,1,2,1,,,,x,,,,,,,,,,,x
145,3,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
150,3,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
155,3,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
160,3,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
165,3,2,2,2,1,2,1,,,,x,,,,,,,,,,,x
170,3,2,2,2,2,2,1,,,,x,,,,,,,,,,,x
175,3,2,2,2,2,2,1,,,,x,,,,,,,,,,,x
180,3,5,1,2,3,2,1,,,,,x,,,,,,,,,,x
185,3,5,1,2,3,2,1,,,,,x,,,,,,,,,,x
190,4,5,1,2,3,2,1,,,,,x,,,,,,,,,,x
195,4,5,1,2,3,2,1,,,,,x,,,,,,,,,,x
200,4,5,1,2,3,2,1,,,,,x,,,,,,,,,,x
205,4,4,1,2,3,1,1,,,,,x,,,,,,,,,,x
210,4,4,1,2,3,1,1,,,,,x,,,,,,,,,,x
