results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,reult/alternative/0/word/0/tartTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime
0.91283858, yeah,0.91283858,114.4,114.0,yeah,1,en-us,115.350977
0.78123373, so overall I like against this accepting the refugees currently in Jeju largely because a lot of the population is not agreeing to it or accepting it already seven hundred thousand people signed a petition to the blue house against accepting the refugees and,0.91283858,117.0,116.1,so,1,en-us,139.395376
0.78123373,,0.91283858,119.2,118.6,overall,1,en-us,139.395376
0.78123373,,0.91283858,119.3,119.2,I,1,en-us,139.395376
0.78123373,,0.72102135,119.5,119.3,like,1,en-us,139.395376
0.78123373,,0.89273494,119.9,119.5,against,1,en-us,139.395376
0.78123373,,0.74345589,120.6,119.9,this,1,en-us,139.395376
0.78123373,,0.91283858,121.5,120.9,accepting,1,en-us,139.395376
0.78123373,,0.75963157,121.8,121.5,the,1,en-us,139.395376
0.78123373,,0.90842414,122.5,121.8,refugees,1,en-us,139.395376
0.78123373,,0.77438247,123.2,122.9,currently,1,en-us,139.395376
0.78123373,,0.91283858,123.3,123.2,in,1,en-us,139.395376
0.78123373,,0.72477967,123.8,123.3,Jeju,1,en-us,139.395376
0.78123373,,0.91283858,125.2,124.7,largely,1,en-us,139.395376
0.78123373,,0.7729246,125.9,125.2,because,1,en-us,139.395376
0.78123373,,0.91283858,126.6,126.5,a,1,en-us,139.395376
0.78123373,,0.90889072,126.9,126.6,lot,1,en-us,139.395376
0.78123373,,0.91283858,126.9,126.9,of,1,en-us,139.395376
0.78123373,,0.76808906,127.0,126.9,the,1,en-us,139.395376
0.78123373,,0.73191667,127.7,127.0,population,1,en-us,139.395376
0.78123373,,0.75937498,127.9,127.7,is,1,en-us,139.395376
0.78123373,,0.72480083,128.4,127.9,not,1,en-us,139.395376
0.78123373,,0.72000438,129.4,129.1,agreeing,1,en-us,139.395376
0.78123373,,0.72627509,129.7,129.4,to,1,en-us,139.395376
0.78123373,,0.90889055,129.9,129.7,it,1,en-us,139.395376
0.78123373,,0.76808894,130.1,129.9,or,1,en-us,139.395376
0.78123373,,0.91283858,130.6,130.1,accepting,1,en-us,139.395376
0.78123373,,0.75044,130.9,130.6,it,1,en-us,139.395376
0.78123373,,0.71466261,131.7,131.1,already,1,en-us,139.395376
0.78123373,,0.53366393,132.0,131.7,seven,1,en-us,139.395376
0.78123373,,0.5179469,132.3,132.0,hundred,1,en-us,139.395376
0.78123373,,0.76089334,132.7,132.3,thousand,1,en-us,139.395376
0.78123373,,0.71075195,133.1,132.7,people,1,en-us,139.395376
0.78123373,,0.70494962,133.4,133.1,signed,1,en-us,139.395376
0.78123373,,0.91283858,133.5,133.4,a,1,en-us,139.395376
0.78123373,,0.51376271,133.9,133.5,petition,1,en-us,139.395376
0.78123373,,0.72491968,134.0,133.9,to,1,en-us,139.395376
0.78123373,,0.72491968,134.1,134.0,the,1,en-us,139.395376
0.78123373,,0.78099144,134.4,134.1,blue,1,en-us,139.395376
0.78123373,,0.72285604,134.8,134.4,house,1,en-us,139.395376
0.78123373,,0.73235202,135.9,135.1,against,1,en-us,139.395376
0.78123373,,0.73685443,136.6,136.1,accepting,1,en-us,139.395376
0.78123373,,0.91283858,136.6,136.6,the,1,en-us,139.395376
0.78123373,,0.72833782,137.5,136.6,refugees,1,en-us,139.395376
0.78123373,,0.66106999,138.7,138.3,and,1,en-us,139.395376
0.75809062, so the overall against this accepting the refugees Furniture Jew largely because a lot of the population is not agreeing to it or accepting it already seven hundred thousand people signed a petition to the blue house against accepting the refugees and,0.91283858,117.0,116.1,so,1,en-us,139.465536
0.75809062,,0.66076905,118.3,118.2,the,1,en-us,139.465536
0.75809062,,0.74993521,119.2,118.6,overall,1,en-us,139.465536
0.75809062,,0.79366958,120.1,119.5,against,1,en-us,139.465536
0.75809062,,0.69928724,120.6,120.1,this,1,en-us,139.465536
0.75809062,,0.91283858,121.6,121.0,accepting,1,en-us,139.465536
0.75809062,,0.74337381,121.8,121.6,the,1,en-us,139.465536
0.75809062,,0.88628995,122.5,121.8,refugees,1,en-us,139.465536
0.75809062,,0.86476099,123.5,122.9,Furniture,1,en-us,139.465536
0.75809062,,0.72240961,123.9,123.5,Jew,1,en-us,139.465536
0.75809062,,0.87973338,125.2,124.8,largely,1,en-us,139.465536
0.75809062,,0.7971639,126.0,125.2,because,1,en-us,139.465536
0.75809062,,0.91283858,126.7,126.6,a,1,en-us,139.465536
0.75809062,,0.87214577,126.9,126.7,lot,1,en-us,139.465536
0.75809062,,0.91283858,127.0,126.9,of,1,en-us,139.465536
0.75809062,,0.73615396,127.1,127.0,the,1,en-us,139.465536
0.75809062,,0.72009766,127.8,127.1,population,1,en-us,139.465536
0.75809062,,0.85554761,128.0,127.8,is,1,en-us,139.465536
0.75809062,,0.71393436,128.4,128.0,not,1,en-us,139.465536
0.75809062,,0.69293106,129.5,129.1,agreeing,1,en-us,139.465536
0.75809062,,0.70898014,129.7,129.5,to,1,en-us,139.465536
