results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,reult/alternative/0/word/0/tartTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime
0.83487064,okay let's turn before start maybe you can understand my sentence or statement because and maybe in my slot I'm not very good at English and I'm that blunt so if we can understand that as me yes master I agree with the issue of Germany's Refugee acceptance,0.91283858,3.0,2.5,okay,31,en-us,30.970068
0.83487064,,0.91283858,3.4,3.1,let's,31,en-us,30.970068
0.83487064,,0.91283858,3.7,3.4,turn,31,en-us,30.970068
0.83487064,,0.91283858,4.6,4.3,before,31,en-us,30.970068
0.83487064,,0.91283858,5.3,4.6,start,31,en-us,30.970068
0.83487064,,0.91283858,6.8,6.5,maybe,31,en-us,30.970068
0.83487064,,0.91283858,6.9,6.8,you,31,en-us,30.970068
0.83487064,,0.91283858,7.3,6.9,can,31,en-us,30.970068
0.83487064,,0.91283858,8.0,7.3,understand,31,en-us,30.970068
0.83487064,,0.91283858,8.6,8.0,my,31,en-us,30.970068
0.83487064,,0.91283858,9.8,9.4,sentence,31,en-us,30.970068
0.83487064,,0.91283858,10.5,9.8,or,31,en-us,30.970068
0.83487064,,0.91283858,11.2,10.5,statement,31,en-us,30.970068
0.83487064,,0.91283858,12.0,11.3,because,31,en-us,30.970068
0.83487064,,0.91283858,13.2,12.7,and,31,en-us,30.970068
0.83487064,,0.91283858,14.1,13.6,maybe,31,en-us,30.970068
0.83487064,,0.91283858,14.2,14.1,in,31,en-us,30.970068
0.83487064,,0.91283858,14.4,14.2,my,31,en-us,30.970068
0.83487064,,0.91283858,14.9,14.4,slot,31,en-us,30.970068
0.83487064,,0.91283858,15.2,15.0,I'm,31,en-us,30.970068
0.83487064,,0.91283858,15.7,15.2,not,31,en-us,30.970068
0.83487064,,0.91283858,16.1,15.8,very,31,en-us,30.970068
0.83487064,,0.91283858,16.4,16.1,good,31,en-us,30.970068
0.83487064,,0.91283858,16.7,16.4,at,31,en-us,30.970068
0.83487064,,0.91283858,17.6,16.9,English,31,en-us,30.970068
0.83487064,,0.91283858,17.8,17.7,and,31,en-us,30.970068
0.83487064,,0.91283858,18.0,17.8,I'm,31,en-us,30.970068
0.83487064,,0.65572071,18.3,18.0,that,31,en-us,30.970068
0.83487064,,0.65577841,18.8,18.3,blunt,31,en-us,30.970068
0.83487064,,0.72410357,19.3,18.9,so,31,en-us,30.970068
0.83487064,,0.91283858,20.1,20.0,if,31,en-us,30.970068
0.83487064,,0.69488728,20.2,20.1,we,31,en-us,30.970068
0.83487064,,0.70849752,20.6,20.2,can,31,en-us,30.970068
0.83487064,,0.90333015,21.4,20.6,understand,31,en-us,30.970068
0.83487064,,0.68734175,22.0,21.4,that,31,en-us,30.970068
0.83487064,,0.64186954,22.6,22.4,as,31,en-us,30.970068
0.83487064,,0.70578825,22.9,22.6,me,31,en-us,30.970068
0.83487064,,0.72877079,24.0,23.6,yes,31,en-us,30.970068
0.83487064,,0.60545689,25.0,24.5,master,31,en-us,30.970068
0.83487064,,0.7079376,26.0,25.9,I,31,en-us,30.970068
0.83487064,,0.86613506,26.4,26.0,agree,31,en-us,30.970068
0.83487064,,0.71975291,26.8,26.4,with,31,en-us,30.970068
0.83487064,,0.83694953,27.3,27.1,the,31,en-us,30.970068
0.83487064,,0.88997126,27.8,27.3,issue,31,en-us,30.970068
0.83487064,,0.60371131,28.1,27.8,of,31,en-us,30.970068
0.83487064,,0.73985779,28.7,28.1,Germany's,31,en-us,30.970068
0.83487064,,0.7220245,29.6,28.7,Refugee,31,en-us,30.970068
0.83487064,,0.71643168,30.6,29.7,acceptance,31,en-us,30.970068
0.88496077,okay the first are maybe you cannot understand my sentence or statement because and maybe it myself I'm not very good at English and I'm the president so if we can understand that ask me yes I agree with the issue of Germany's Refugee acceptance,0.91283858,3.1,2.5,okay,31,en-us,30.980091
0.88496077,,0.91283858,4.4,4.3,the,31,en-us,30.980091
0.88496077,,0.91283858,4.8,4.4,first,31,en-us,30.980091
0.88496077,,0.91283858,5.1,4.8,are,31,en-us,30.980091
0.88496077,,0.91283858,6.8,6.5,maybe,31,en-us,30.980091
0.88496077,,0.91283858,7.0,6.8,you,31,en-us,30.980091
0.88496077,,0.89508325,7.3,7.0,cannot,31,en-us,30.980091
0.88496077,,0.91283858,8.0,7.3,understand,31,en-us,30.980091
0.88496077,,0.91283858,8.6,8.0,my,31,en-us,30.980091
0.88496077,,0.91283858,9.8,9.4,sentence,31,en-us,30.980091
0.88496077,,0.91283858,10.5,9.8,or,31,en-us,30.980091
0.88496077,,0.91081238,11.2,10.5,statement,31,en-us,30.980091
0.88496077,,0.91283858,12.0,11.3,because,31,en-us,30.980091
0.88496077,,0.91283858,13.1,12.7,and,31,en-us,30.980091
0.88496077,,0.91283858,14.0,13.6,maybe,31,en-us,30.980091
0.88496077,,0.91283858,14.2,14.0,it,31,en-us,30.980091
0.88496077,,0.91283858,14.9,14.2,myself,31,en-us,30.980091
0.88496077,,0.91283858,15.2,14.9,I'm,31,en-us,30.980091
0.88496077,,0.91283858,15.7,15.2,not,31,en-us,30.980091
0.88496077,,0.91283858,16.1,15.8,very,31,en-us,30.980091
0.88496077,,0.90550131,16.4,16.1,good,31,en-us,30.980091
0.88496077,,0.89832622,16.7,16.4,at,31,en-us,30.980091
0.88496077,,0.90305805,17.6,16.9,English,31,en-us,30.980091
0.88496077,,0.89144355,17.8,17.6,and,31,en-us,30.980091
0.88496077,,0.91283858,18.0,17.8,I'm,31,en-us,30.980091
0.88496077,,0.91283858,18.1,18.0,the,31,en-us,30.980091
0.88496077,,0.91283858,18.8,18.1,president,31,en-us,30.980091
0.88496077,,0.91283858,19.3,18.9,so,31,en-us,30.980091
0.88496077,,0.91283858,20.2,20.0,if,31,en-us,30.980091
0.88496077,,0.91283858,20.2,20.2,we,31,en-us,30.980091
0.88496077,,0.91283858,20.6,20.2,can,31,en-us,30.980091
0.88496077,,0.91283858,21.4,20.6,understand,31,en-us,30.980091
0.88496077,,0.88908195,22.0,21.4,that,31,en-us,30.980091
0.88496077,,0.91283858,22.6,22.4,ask,31,en-us,30.980091
0.88496077,,0.91283858,22.9,22.6,me,31,en-us,30.980091
0.88496077,,0.91283858,23.9,23.6,yes,31,en-us,30.980091
0.88496077,,0.6973787,25.0,24.7,I,31,en-us,30.980091
0.88496077,,0.88198286,26.4,26.0,agree,31,en-us,30.980091
0.88496077,,0.72883976,26.8,26.4,with,31,en-us,30.980091
0.88496077,,0.8828795,27.4,27.1,the,31,en-us,30.980091
0.88496077,,0.91193438,27.8,27.4,issue,31,en-us,30.980091
0.88496077,,0.68412274,28.1,27.8,of,31,en-us,30.980091
0.88496077,,0.7733987,28.7,28.1,Germany's,31,en-us,30.980091
0.88496077,,0.73845452,29.6,28.7,Refugee,31,en-us,30.980091
0.88496077,,0.75861889,30.5,29.7,acceptance,31,en-us,30.980091
0.77785546,with main three regions at the fir first I think there's no reason why we have to designate specific country people why a man is how about others or Chinese or Japanese or other East Asian Europeans Americans,0.91283858,32.4,31.8,with,31,en-us,54.663674
0.77785546,,0.91283858,33.1,32.7,main,31,en-us,54.663674
0.77785546,,0.91283858,33.3,33.1,three,31,en-us,54.663674
0.77785546,,0.91283858,33.9,33.3,regions,31,en-us,54.663674
0.77785546,,0.72826105,34.3,34.2,at,31,en-us,54.663674
0.77785546,,0.90093523,34.4,34.3,the,31,en-us,54.663674
0.77785546,,0.69287699,34.8,34.4,fir,31,en-us,54.663674
0.77785546,,0.74522901,35.6,34.9,first,31,en-us,54.663674
0.77785546,,0.72414887,37.9,37.7,I,31,en-us,54.663674
0.77785546,,0.71923214,38.6,37.9,think,31,en-us,54.663674
0.77785546,,0.75222921,39.2,38.6,there's,31,en-us,54.663674
0.77785546,,0.76094639,39.7,39.4,no,31,en-us,54.663674
0.77785546,,0.69636559,40.1,39.7,reason,31,en-us,54.663674
0.77785546,,0.7226364,40.7,40.1,why,31,en-us,54.663674
0.77785546,,0.71959615,41.2,40.9,we,31,en-us,54.663674
0.77785546,,0.70601946,41.5,41.2,have,31,en-us,54.663674
0.77785546,,0.69205016,42.0,41.5,to,31,en-us,54.663674
0.77785546,,0.70972496,42.7,42.0,designate,31,en-us,54.663674
0.77785546,,0.70257455,43.5,42.7,specific,31,en-us,54.663674
0.77785546,,0.91283858,43.9,43.5,country,31,en-us,54.663674
0.77785546,,0.72202992,44.3,43.9,people,31,en-us,54.663674
0.77785546,,0.76094639,45.0,44.7,why,31,en-us,54.663674
0.77785546,,0.91283858,45.1,45.0,a,31,en-us,54.663674
0.77785546,,0.85171026,45.3,45.1,man,31,en-us,54.663674
0.77785546,,0.71959615,45.5,45.3,is,31,en-us,54.663674
0.77785546,,0.91283858,46.9,46.7,how,31,en-us,54.663674
0.77785546,,0.74103689,47.2,46.9,about,31,en-us,54.663674
0.77785546,,0.77392572,47.6,47.2,others,31,en-us,54.663674
0.77785546,,0.75895357,48.1,47.7,or,31,en-us,54.663674
0.77785546,,0.91283858,49.1,48.4,Chinese,31,en-us,54.663674
0.77785546,,0.69205016,49.6,49.1,or,31,en-us,54.663674
0.77785546,,0.67230541,50.4,49.6,Japanese,31,en-us,54.663674
0.77785546,,0.69205016,50.9,50.4,or,31,en-us,54.663674
0.77785546,,0.74103689,51.7,51.2,other,31,en-us,54.663674
0.77785546,,0.90357876,52.1,51.8,East,31,en-us,54.663674
0.77785546,,0.6701293,52.5,52.1,Asian,31,en-us,54.663674
0.77785546,,0.88793296,53.2,52.5,Europeans,31,en-us,54.663674
0.77785546,,0.69568855,54.3,53.5,Americans,31,en-us,54.663674
0.85477328,with main three regions the fir first I think there's no reason why we have to designate specific country people why Yemen is how about others or Chinese or Japanese or other East Asian Europeans Americans,0.91283858,32.3,31.8,with,31,en-us,54.673697
0.85477328,,0.91283858,33.1,32.7,main,31,en-us,54.673697
0.85477328,,0.91283858,33.3,33.1,three,31,en-us,54.673697
0.85477328,,0.91283858,33.9,33.3,regions,31,en-us,54.673697
0.85477328,,0.91283858,34.4,34.3,the,31,en-us,54.673697
0.85477328,,0.80154186,34.8,34.4,fir,31,en-us,54.673697
0.85477328,,0.91283858,35.6,35.0,first,31,en-us,54.673697
0.85477328,,0.90918922,37.9,37.7,I,31,en-us,54.673697
0.85477328,,0.87953216,38.6,37.9,think,31,en-us,54.673697
0.85477328,,0.91283858,39.2,38.6,there's,31,en-us,54.673697
0.85477328,,0.91283858,39.7,39.4,no,31,en-us,54.673697
0.85477328,,0.84815192,40.1,39.7,reason,31,en-us,54.673697
0.85477328,,0.88538003,40.7,40.1,why,31,en-us,54.673697
0.85477328,,0.88538045,41.1,40.9,we,31,en-us,54.673697
0.85477328,,0.85919303,41.5,41.1,have,31,en-us,54.673697
0.85477328,,0.84063542,42.0,41.5,to,31,en-us,54.673697
0.85477328,,0.867625,42.8,42.0,designate,31,en-us,54.673697
0.85477328,,0.86051834,43.5,42.8,specific,31,en-us,54.673697
0.85477328,,0.91283858,43.9,43.5,country,31,en-us,54.673697
0.85477328,,0.88091981,44.3,43.9,people,31,en-us,54.673697
0.85477328,,0.91283858,45.0,44.7,why,31,en-us,54.673697
0.85477328,,0.72346354,45.2,45.0,Yemen,31,en-us,54.673697
0.85477328,,0.74077064,45.5,45.2,is,31,en-us,54.673697
0.85477328,,0.91283858,46.9,46.7,how,31,en-us,54.673697
0.85477328,,0.7651121,47.2,46.9,about,31,en-us,54.673697
0.85477328,,0.90230787,47.6,47.2,others,31,en-us,54.673697
0.85477328,,0.86457622,48.0,47.6,or,31,en-us,54.673697
0.85477328,,0.91283858,49.1,48.4,Chinese,31,en-us,54.673697
0.85477328,,0.72915196,49.6,49.1,or,31,en-us,54.673697
0.85477328,,0.72595209,50.4,49.6,Japanese,31,en-us,54.673697
0.85477328,,0.7277683,50.9,50.4,or,31,en-us,54.673697
0.85477328,,0.83521062,51.7,51.2,other,31,en-us,54.673697
0.85477328,,0.91283858,52.1,51.8,East,31,en-us,54.673697
0.85477328,,0.72548658,52.5,52.1,Asian,31,en-us,54.673697
0.85477328,,0.91283858,53.3,52.5,Europeans,31,en-us,54.673697
0.85477328,,0.7342332,54.2,53.6,Americans,31,en-us,54.673697
0.83229351, so I think there's no proper reason in that issue and second although public opinion is also important but yemenis Refugee Heaven cause critical issues people in Korea in myself,0.91283858,55.8,55.3,so,31,en-us,75.21016
0.83229351,,0.91283858,56.5,56.4,I,31,en-us,75.21016
0.83229351,,0.91283858,56.8,56.5,think,31,en-us,75.21016
0.83229351,,0.91283858,57.1,56.8,there's,31,en-us,75.21016
0.83229351,,0.91283858,57.4,57.1,no,31,en-us,75.21016
0.83229351,,0.91283858,57.8,57.4,proper,31,en-us,75.21016
0.83229351,,0.91283858,58.3,57.8,reason,31,en-us,75.21016
0.83229351,,0.91283858,59.5,59.4,in,31,en-us,75.21016
0.83229351,,0.91283858,59.7,59.5,that,31,en-us,75.21016
0.83229351,,0.91283858,60.2,59.7,issue,31,en-us,75.21016
0.83229351,,0.91283858,60.7,60.5,and,31,en-us,75.21016
0.83229351,,0.91283858,61.3,60.7,second,31,en-us,75.21016
0.83229351,,0.91283858,63.1,62.6,although,31,en-us,75.21016
0.83229351,,0.91283858,63.6,63.1,public,31,en-us,75.21016
0.83229351,,0.91283858,64.1,63.6,opinion,31,en-us,75.21016
0.83229351,,0.91283858,64.3,64.1,is,31,en-us,75.21016
0.83229351,,0.91283858,64.6,64.3,also,31,en-us,75.21016
0.83229351,,0.91283858,65.3,64.6,important,31,en-us,75.21016
0.83229351,,0.91283858,67.0,66.5,but,31,en-us,75.21016
0.83229351,,0.41705531,69.0,68.2,yemenis,31,en-us,75.21016
0.83229351,,0.72585559,69.8,69.0,Refugee,31,en-us,75.21016
0.83229351,,0.63872325,70.5,70.1,Heaven,31,en-us,75.21016
0.83229351,,0.72429943,70.9,70.5,cause,31,en-us,75.21016
0.83229351,,0.91283858,71.4,70.9,critical,31,en-us,75.21016
0.83229351,,0.7556352,71.9,71.4,issues,31,en-us,75.21016
0.83229351,,0.56247348,72.5,71.9,people,31,en-us,75.21016
0.83229351,,0.69462371,72.7,72.5,in,31,en-us,75.21016
0.83229351,,0.71350759,73.3,72.7,Korea,31,en-us,75.21016
0.83229351,,0.91283858,74.2,74.0,in,31,en-us,75.21016
0.83229351,,0.56702167,74.8,74.2,myself,31,en-us,75.21016
0.86344826, so I think there's no proper reason in that issue and second although public opinion is also important but Yemen is Refugee Heaven cause critical issues before you in Korea in myself,0.91283858,55.8,55.3,so,31,en-us,75.25025
0.86344826,,0.91283858,56.5,56.4,I,31,en-us,75.25025
0.86344826,,0.91283858,56.8,56.5,think,31,en-us,75.25025
0.86344826,,0.91283858,57.1,56.8,there's,31,en-us,75.25025
0.86344826,,0.91283858,57.4,57.1,no,31,en-us,75.25025
0.86344826,,0.91283858,57.8,57.4,proper,31,en-us,75.25025
0.86344826,,0.91283858,58.3,57.8,reason,31,en-us,75.25025
0.86344826,,0.91283858,59.5,59.4,in,31,en-us,75.25025
0.86344826,,0.91283858,59.7,59.5,that,31,en-us,75.25025
