new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2
all right first one the state for this accepting this refugees,5,1,2,1,0,0,0,5,2,2,0,0,1,0,-0.827,-0.512,-0.622,-0.504,-0.128,-0.1,-0.678,0.019,-1.032,-1.239,-1.182,-0.924,0.012,-0.479,-0.453,-0.837
arrived in this especially in many Arab Jesus arrived in,10,1,2,1,0,0,0,10,2,2,0,0,1,0,-0.239,-0.388,-0.818,-0.559,-0.543,-0.595,-0.274,-1.254,-1.208,-0.706,-1.127,-0.963,-0.575,-0.686,-0.58,-1.333
Jeju Allah first of all I want to mention that the current,15,1,2,0,0,0,0,15,2,2,0,0,1,0,-0.815,-0.863,-0.997,-0.761,-0.581,-0.428,0.334,-1.033,-1.468,-1.423,-1.399,-1.324,-0.606,-0.812,0.359,-1.819
movement in South Korea against against this year many refugees are,20,1,2,0,0,0,0,20,3,2,0,0,1,0,0.529,-0.416,-0.518,-0.344,-0.167,0.061,-0.092,0.368,-1.236,-1.286,-1.473,-1.128,-0.607,-0.933,0.97,-1.255
pretty much standard phobic activity because,25,1,2,0,0,0,0,25,2,2,0,0,1,0,-0.124,0.541,-0.794,-0.091,-0.079,0.292,-0.845,0.134,-0.796,-0.69,-1.083,-0.896,0.769,0.29,-0.46,-1.119
right now those refugees are arrived and those refugees arrived in Jeju,30,2,2,0,0,0,0,30,2,2,0,0,1,0,-1.011,-0.411,-0.562,-0.948,-0.572,-0.568,-0.83,0.395,-1.236,-0.935,-1.228,-1.176,0.05,-0.342,0.41,-1.456
Island and are under intense examination of whether they are really lawful refugees and their Korean law or not,35,2,2,0,0,0,0,35,2,2,0,0,1,0,-0.037,-0.911,-0.929,-0.817,-0.467,-0.689,0.71,-0.978,-1.244,-1.275,-1.406,-1.252,0.143,-0.745,-0.633,-1.274
and of course since they well at least,40,2,2,0,0,0,0,40,3,2,0,0,1,0,1.171,0.111,-0.531,-0.115,0.578,0.321,2.523,0.901,-1.235,-0.769,-1.203,-1.118,0.678,0.372,-0.11,-0.846
they're claiming that they are fleeing from those conflicts and persecution and we all know that Yemen has,45,1,2,0,0,1,0,45,2,2,0,0,1,0,1.371,1.453,1.996,1.312,0.972,1.068,-0.1,0.183,0.009,-0.399,-0.534,-0.401,1.741,1.529,1.985,0.902
currently undergoing this Civil War and we I know that if I call,50,2,1,0,0,1,0,50,2,2,0,0,1,0,-0.662,-0.715,-0.394,0.645,-0.168,0.165,0.596,0.201,-1.17,-1.354,-1.167,-0.99,1.033,7.198,-1.596,-0.873
it says they do have some threats in their own country,55,1,1,0,0,1,0,55,2,2,0,0,1,0,0.216,0.17,0.408,-0.305,1.524,0.459,0.533,0.292,-1.335,-0.76,-1.246,-1.252,1.169,0.612,-1.254,-1.623
and yeah we have to of course we have to examine the fact that whether they are,60,1,1,0,0,1,0,60,2,2,0,0,1,0,1.665,-1.036,-0.371,-0.154,0.316,-0.111,-0.941,0.512,-1.032,-0.537,-1.317,-1.224,0.203,-0.212,0.069,-0.893
really facing thus those threats by themselves in their Nation,65,2,1,0,0,1,0,65,2,2,0,0,1,0,1.346,1.782,-0.047,-0.361,-0.124,0.075,-0.35,-0.56,-1.249,-1.189,-1.056,-0.834,0.467,0.604,2.307,0.101
by person by person but it's all they guaranteed,70,2,1,0,0,1,0,70,2,2,0,0,1,0,-0.233,1.192,0.9,-0.743,0.068,0.298,2.279,1.251,-1.543,-1.358,-1.383,-1.186,-0.252,-0.656,-1.278,-1.907
or is their right to be examined fairly under those,75,1,2,0,0,1,0,75,2,2,0,0,1,0,-0.987,-1.112,-1.155,-1.287,-0.903,-0.891,-1.147,-1.428,-1.439,-1.465,-1.258,-1.33,-0.045,-0.331,-1.331,-1.423
under those posts asses and loss stand loss,80,1,2,0,0,1,0,80,3,2,0,0,1,0,-0.663,0.315,-0.774,-1.19,-0.667,-0.482,-1.176,-0.198,-1.034,-1.098,-0.86,-1.088,0.637,0.942,-0.724,-0.957
for for Korea being under the UN Refugee Convention,85,2,2,1,0,1,0,85,2,2,0,0,1,0,2.141,-0.01,1.443,3.348,0.722,1.087,-0.281,0.348,-1.442,-1.047,-1.321,-1.247,-0.133,-0.407,-1.096,-1.542
as they've just signed they like several tens of years ago they create,90,2,2,0,0,1,0,90,2,2,0,0,1,0,-0.584,-0.233,-0.036,-0.599,-0.283,-0.608,-0.679,-0.837,-1.039,-0.617,-0.738,-0.775,1.598,1.787,1.813,-0.966
do have an obligation to fairly examine and if they are lawful but if you have,95,2,2,0,0,1,0,95,2,2,0,0,1,0,-0.912,0.606,-0.242,-0.326,-0.355,-0.583,0.541,0.704,-0.881,-0.828,-1.221,-0.973,0.675,0.687,-1.451,-1.39
to accept it,100,2,2,1,0,0,0,100,2,2,0,0,1,0,0.46,2.481,3.927,0.705,2.114,1.92,0.735,3.051,-0.341,-0.703,-0.728,-0.672,1.707,1.063,-1.693,-0.567
yeah so,105,2,2,0,0,0,0,105,2,2,0,0,1,0,0.496,-0.49,0.896,0.025,1.308,0.788,0.646,-0.755,-1.475,-1.219,-1.482,-1.305,-0.541,-0.857,-2.146,-1.536
overall I like against this accepting the refugees,110,1,2,0,0,0,0,110,2,2,0,0,1,0,0.782,-0.199,-0.018,0.112,-0.008,-0.523,-0.184,-0.998,-1.356,-1.375,-1.552,-1.29,-0.819,-1.075,-2.553,-1.924
currently in Jeju largely because a lot of the population is not,115,2,2,0,0,0,0,115,2,2,0,0,1,0,0.659,-0.938,-0.014,0.728,-0.173,-0.159,2.437,-0.661,-1.59,-1.489,-1.573,-1.317,-0.965,-1.125,-2.651,-1.809
agreeing to it or accepting it already seven hundred thousand people signed a petition to the blue house,120,2,2,0,0,0,0,120,2,2,0,0,1,0,-0.307,-0.288,0.014,-0.511,-0.406,0.018,-0.292,0.097,-0.883,-1.471,-1.297,-1.165,-0.758,-0.814,-1.266,-1.647
against accepting the refugees and,125,2,2,0,0,0,0,125,2,2,0,0,1,0,-0.308,-0.988,-0.424,0.381,-0.273,-0.417,-0.033,-0.565,-1.274,-1.204,-1.298,-1.155,-0.42,-0.451,-2.813,-1.474
the difference I guess when you're talking about xenophobia is,130,2,2,0,0,0,0,130,2,2,0,0,1,0,-0.38,-0.795,-0.426,-0.212,-0.42,-0.199,-1.339,0.608,-1.674,-1.625,-1.613,-1.414,-0.906,-1.203,-2.945,-1.996
there already 2 million foreigners leave living illegally in Korea right now,135,2,2,0,0,0,0,135,2,2,0,0,1,0,0.469,1.588,0.48,0.674,-0.414,0.374,0.665,-0.765,-1.463,-1.561,-1.416,-1.37,-0.575,-0.599,-2.901,-2.057
the reason people are against it would be more because these people,140,2,2,0,0,0,0,140,2,2,0,0,1,0,0.57,-0.157,0.628,0.835,-0.185,0.283,0.603,0.351,-1.613,-1.54,-1.52,-1.412,-0.654,-1.111,-1.691,-1.692
without visas cannot be accounted for but their actions the country itself because it seems such,145,2,2,0,0,0,0,145,2,2,0,0,1,0,6.672,0.218,3.446,2.547,0.471,3.042,-0.975,-0.06,-1.314,-1.449,-1.164,-1.183,-0.728,0.115,-2.427,-1.868
turmoil it cannot take responsibility for these people therefore,150,2,2,0,0,1,0,150,2,2,1,0,1,0,1.132,0.002,0.685,0.567,0.407,-0.191,-0.528,0.641,-1.399,-1.467,-0.839,-1.255,0.295,-0.321,-2.295,-1.322
they're more reluctant to accepting these people so it's hard to say is,155,2,2,0,0,1,0,155,2,2,0,0,1,0,-0.097,-0.831,-0.743,-0.93,-0.428,-0.901,-1.395,-0.907,-1.545,-1.464,-1.224,-1.304,0.347,-0.359,-2.4,-1.926
racist or xenophobia data to and this,160,2,2,0,0,1,0,160,2,2,0,0,1,0,-0.863,-0.94,-0.549,0.066,-0.178,-0.472,0.397,0.351,-1.506,-1.359,-1.474,-1.173,-0.465,-0.87,-1.159,-1.726
there's this General lack of trust of the Korean government especially for the young,165,2,2,0,0,1,0,165,2,2,0,0,1,0,-0.634,-0.893,0.464,0.144,-0.49,-0.1,-0.976,-1.127,-0.89,-1.006,-1.138,-0.887,0.938,-0.08,-0.267,-1.049
adults that the Korean government is not particular of its own citizens,170,2,2,0,0,1,0,170,2,2,0,0,0,0,0.336,-0.411,0.934,-0.244,-0.146,-0.284,-0.693,-0.509,-1.532,-1.52,-1.358,-1.247,-0.785,-1.022,-2.048,-1.855
so it should pay more attention and make sure that it does not own citizens,175,2,2,0,0,1,0,175,2,2,0,0,0,0,0.089,-0.575,0.301,0.386,0.563,0.765,0.701,-0.316,-1.551,-1.37,-1.493,-1.007,-0.942,-1.047,-2.632,-1.912
don't feel that the treatment towards refugees are unfair compared to the people,180,2,2,0,0,1,0,180,2,2,0,0,0,0,1.166,-0.138,0.153,0.478,1.769,2.135,1.603,1.037,-1.428,-1.33,-1.518,-1.33,-0.501,-0.85,-2.868,-1.951
who have the nationality and will have citizenship of the country already,185,2,2,0,0,1,0,185,2,2,0,0,0,0,0.575,-0.612,0.128,0.022,8.883,5.975,-0.773,-0.143,-0.997,-1.54,-1.361,-1.08,-0.706,-0.733,-2.093,-1.501
first,190,2,2,0,0,1,0,190,2,2,0,0,0,0,-0.525,-0.757,-0.509,-0.419,-0.362,-0.412,-0.68,-0.973,-1.523,-1.075,-1.296,-1.165,0.296,-0.525,0.031,-1.507
of all you mentioned that,195,2,2,0,0,1,0,195,2,2,0,0,0,0,-1.068,-0.452,-1.184,-1.084,-0.684,-1.01,-0.803,-1.419,-0.364,-0.561,-0.95,-0.593,0.532,0.005,-0.117,-0.823
s okay so well you,200,2,2,0,0,1,0,200,2,2,0,0,0,0,-0.66,-0.483,-0.585,0.604,-0.02,0.687,-1.483,0.851,-0.503,-0.892,-0.705,-0.969,0.728,-0.214,-0.096,-0.938
mentioned that a lot of Korean citizens are against it and as a,205,2,2,0,0,1,0,205,2,2,0,0,0,0,-0.366,-0.747,-0.558,-0.318,-0.162,-0.523,2.489,0.526,-1.275,-1.22,-1.385,-1.297,-0.749,-0.841,-1.147,-1.628
as an Evidence you showed the petition that number of the petitioners in foreign,210,2,2,0,0,1,0,210,2,2,0,0,0,0,-1.131,-1.029,-1.174,-0.681,-0.476,-0.924,-1.253,-1.199,-1.324,-0.914,-1.3,-1.179,0.04,0.121,-0.034,-1.017
