timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid
1548725135487,3,10,2,2,3,2,26,9,1,10
1548725136485,1,0,3,0,2,2,7,0,1,10
1548725137474,51218,33585,9382,22270,6951,5974,510354,146183,1,10
1548725138574,954,1332,1233,378,675,571,39471,17390,1,10
1548725139474,10624,8745,3156,2802,3298,5865,17393,28412,1,10
1548725140464,7316,22325,16055,10562,2333,3766,437896,196106,1,10
1548725141479,43986,81824,11616,9378,8862,14973,1290169,299930,1,10
1548725142476,11002,52198,10573,15024,6755,6729,40393,103139,1,10
1548725143444,1708,9182,1782,2848,447,775,273668,30367,1,10
1548725144461,642,9005,3394,6830,2208,1319,207487,15828,1,10
1548725145463,56639,10337,17531,11166,10632,20918,973147,459302,1,10
1548725146550,4515,3444,1705,1583,263,565,76939,39903,1,10
1548725147446,5934,20265,1247,1073,1266,1881,733587,29218,1,10
1548725148430,14525,16807,4988,4397,336,560,592783,13817,1,10
1548725149420,5513,1229,18268,5783,2683,4999,224189,25797,1,10
1548725150434,40684,47325,5672,10779,10074,10817,633586,79439,1,10
1548725151438,21762,6763,7184,14798,1104,1209,481124,24035,1,10
1548725152399,15231,15577,6825,5865,1387,1308,1216857,183613,1,10
1548725153422,88906,55882,17574,4459,3974,4687,561644,135956,1,10
1548725154543,28012,41923,15486,17694,4297,4462,2651163,377315,1,10
1548725155405,6825,3560,14378,5348,4245,5347,189639,6326,1,10
1548725156387,15222,14450,9481,8311,1752,2240,432293,63335,1,10
1548725157370,841,1469,1423,676,678,614,78309,9178,1,10
1548725158395,1034,4302,2807,1934,522,419,75595,15811,1,10
1548725159374,7526,2239,1985,1888,1008,701,53282,23784,1,10
1548725160372,1264,826,422,439,659,811,5937,6434,1,10
1548725161358,1098,1332,682,939,41,294,111082,20896,1,10
1548725162416,1237,1128,552,638,230,465,10695,913,1,10
1548725163343,22086,8893,7511,24521,2485,980,44268,117189,1,10
1548725164344,1067,3661,375,1425,164,127,44929,20931,1,10
1548725165365,3654,15779,3723,2752,1598,2484,162826,183473,1,10
1548725166345,2368,13323,1841,4168,603,1589,130250,43876,1,10
1548725167354,4397,22553,1758,1179,2750,4646,22649,10358,1,10
1548725168331,5311,2235,2120,4345,1553,2585,4430,22396,1,10
1548725169331,1772,4958,1151,1206,196,353,147090,40857,1,10
1548725170315,6233,4817,4404,5459,2939,1690,17561,29384,1,10
1548725171333,17432,6567,2840,8122,1137,3205,22897,18208,1,10
1548725172317,2215,6275,1624,2997,280,516,62963,83400,1,10
1548725173318,11313,12576,3630,4174,2312,4753,16377,26075,1,10
1548725174300,5402,2460,5144,3218,917,2550,7779,20435,1,10
1548725175343,3498,3055,1676,4083,1295,2731,94741,70881,1,10
1548725176306,2058,14042,975,1814,226,316,99258,44890,1,10
1548725177287,3248,980,3849,4730,1493,909,6518,10720,1,10
1548725178288,7834,13627,1787,9176,2381,1809,29188,44871,1,10
1548725179272,1982,266,537,953,249,216,109088,13633,1,10
1548725180272,4323,9985,3803,1925,3573,1327,11721,19592,1,10
1548725181275,6374,1306,3822,1358,1299,1746,5255,2824,1,10
1548725182264,4173,7249,2962,2397,1222,2306,19852,8433,1,10
1548725183362,1730,6625,914,1655,425,351,15982,33971,1,10
1548725184259,799,739,678,479,312,525,2862,1203,1,10
1548725185263,3176,2766,321,1973,478,572,20330,6837,1,10
1548725186226,3844,376,4837,1369,926,3061,31187,14071,1,10
1548725187247,2058,7720,2324,2480,1860,960,11252,6664,1,10
1548725188260,8653,1586,962,860,276,1279,239463,86851,1,10
1548725189231,3341,1562,797,935,387,1192,20297,7532,1,10
1548725190215,6580,4573,1596,2550,1544,1772,13604,11554,1,10
1548725191334,4055,7504,2227,1763,412,513,20920,24231,1,10
1548725192215,1082,3299,703,937,295,747,76621,11161,1,10
1548725193202,310,1912,713,924,359,369,8212,799,1,10
1548725194199,3179,2213,1973,862,1235,1503,21913,6036,1,10
1548725195185,6286,4751,3742,2168,872,1150,9020,13523,1,10
1548725196184,2375,1938,1951,2955,1992,1565,9839,9826,1,10
1548725197169,3121,2092,4248,1713,1556,2389,4736,7387,1,10
1548725198190,1617,9230,660,1745,920,326,41926,11806,1,10
1548725199278,6497,9638,1712,3312,835,1520,13600,14298,1,10
1548725200171,6638,3952,2940,1730,1416,1744,11303,8877,1,10
1548725201174,2263,6511,588,3063,313,860,42998,10563,1,10
1548725202164,882,5814,1083,1837,671,877,213107,11508,1,10
1548725203140,1265,4720,5014,4153,653,1223,300221,74403,1,10
1548725204155,2077,4954,508,927,174,335,209431,10825,1,10
1548725205160,508,3084,1258,868,362,394,247436,42226,1,10
