timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid
1552029756236,2,1,1,1,1,1,6,1,1,18
1552029757245,0,0,1,0,1,0,3,0,1,18
1552029758230,26174,74469,11441,23285,7454,11176,147757,162441,1,18
1552029759251,39214,41868,31553,38375,27164,25418,805782,73241,1,18
1552029760460,4253,1557,2563,2297,3018,690,25914,5835,1,18
1552029761239,6448,12244,4190,6217,1523,4077,31258,15989,1,18
1552029762229,8689,3377,16342,5155,6002,7178,18409,18990,1,18
1552029763235,1265,8812,1267,3355,242,381,80343,6738,1,18
1552029764214,10620,24887,11239,17117,17377,9192,23220,47327,1,18
1552029765202,20850,4645,23987,14452,5476,11989,360640,57085,1,18
1552029766206,1966,1995,8200,2775,5856,5812,5155,7164,1,18
1552029767193,18558,11887,6018,10454,4709,6219,52452,9801,1,18
1552029768338,13368,11302,9247,2257,1390,2822,13718,5641,1,18
1552029769192,6674,1622,4537,2081,785,765,40121,18438,1,18
1552029770179,8632,816,10248,6580,4337,3484,11411,20056,1,18
1552029771181,5132,3179,10681,4793,2171,4484,10062,10532,1,18
1552029772192,16690,5202,7037,11443,2360,2339,5195,15773,1,18
1552029773194,20317,16342,4731,5190,2075,2774,2669,4855,1,18
1552029774190,8703,27197,3850,5363,3180,2097,11601,7580,1,18
1552029775173,23702,2589,13175,8711,1700,2398,5569,7831,1,18
1552029776269,1667,1578,6562,4265,521,1002,54730,4899,1,18
1552029777179,10262,6534,8800,5141,3891,7135,267903,56878,1,18
1552029778161,11941,10071,12808,13127,3936,1713,20182,31763,1,18
1552029779155,7157,7431,10669,5648,5636,3956,8823,11739,1,18
1552029780159,3728,12623,11542,12821,3472,2366,23594,8523,1,18
1552029781193,1895,16399,1593,16837,943,454,68554,80532,1,18
1552029782160,20975,28873,6995,8851,3169,3641,156861,36880,1,18
1552029783154,4037,4689,16569,6769,4146,3150,14226,11900,1,18
1552029784123,18275,34523,7044,22223,2854,1899,17581,34943,1,18
1552029785140,22175,6473,6702,7060,3652,2250,17450,1993,1,18
1552029786145,14595,7227,4193,8586,2405,2332,169377,32165,1,18
1552029787114,9818,9342,6289,8134,1776,1896,182695,59455,1,18
1552029788120,47587,31256,13949,46191,2442,7548,15139,7475,1,18
1552029789208,6763,2389,12365,14764,3555,4448,4788,13028,1,18
1552029790121,14529,11578,9099,8588,2206,8017,40520,8948,1,18
1552029791122,18091,12139,7881,12648,5713,6116,1176743,92252,1,18
1552029792127,9289,11774,2778,6439,1224,719,35162,22972,1,18
1552029793108,4013,3751,14913,3143,2066,3568,53401,26451,1,18
1552029794091,9052,5805,5065,7223,2961,3826,10283,5918,1,18
1552029795079,14444,6910,7693,2247,2091,2285,3871,5575,1,18
1552029796094,8398,3169,6873,4686,1873,2558,8668,7568,1,18
1552029797158,9929,11329,4378,4510,4396,2352,1956,8249,1,18
1552029798067,18578,19253,3702,12258,1089,3450,29804,21178,1,18
1552029799091,19147,4813,10211,7454,3387,2395,13246,10685,1,18
1552029800092,2886,1204,2928,4158,397,1408,75394,4210,1,18
1552029801072,3079,5992,3673,2514,981,1550,73924,12257,1,18
1552029802069,10567,651,7746,7320,3564,5051,24630,2288,1,18
1552029803074,23630,38257,9012,7479,2376,3953,698943,249877,1,18
1552029804049,3781,3204,7579,10899,794,1568,50254,36552,1,18
1552029805178,1722,4116,856,288,260,217,1241953,18426,1,18
1552029806064,11821,8399,2646,2298,972,2544,68877,19205,1,18
1552029807033,16125,39583,11897,14732,7725,4546,129087,61511,1,18
1552029808039,16746,11618,7751,8596,3836,4266,7213,62194,1,18
1552029809038,32075,9450,13536,28145,1597,4341,437805,367325,1,18
1552029810031,10871,49585,8283,15602,1940,4333,2586418,175290,1,18
1552029811048,19925,5105,15000,7747,1721,1400,37152,5328,1,18
1552029812043,7367,11972,6743,3327,989,654,88150,79450,1,18
1552029813155,12947,20401,12794,23996,1161,7335,1170476,129852,1,18
1552029814015,22981,5399,8299,3411,522,1278,1237668,49735,1,18
1552029815020,1038,1047,559,850,301,185,124282,5846,1,18
1552029816002,222867,127529,52724,61333,3919,10867,1464014,694357,1,18
1552029817023,5297,7342,1406,3410,270,383,629342,29462,1,18
1552029818027,1834,276,1936,1733,575,728,2399,5420,1,18
1552029819013,29685,2881,10719,18386,5884,3971,8087,3017,1,18
1552029820015,63293,25051,10100,37123,3725,4008,16605,10458,1,18
1552029821133,6093,4092,3902,12613,1639,2839,9970,42291,1,18
1552029821980,14054,5641,4463,10967,1965,3662,25531,8426,1,18
1552029822987,23582,5730,7374,7676,1816,2465,8915,13866,1,18
1552029823982,6123,1783,10633,7203,1718,5468,8701,8621,1,18
1552029824973,5504,16980,8686,6805,2178,3378,14197,11592,1,18
1552029825970,5322,2066,1312,4197,603,674,176890,36247,1,18
1552029826960,6107,3300,6618,2510,488,883,117870,30118,1,18
1552029827959,1256,2103,2433,2560,1149,1379,7429,9434,1,18
1552029829117,4674,16358,2440,2047,399,555,1502916,46283,1,18
1552029829943,1282,1355,1352,1797,120,126,1232913,16491,1,18
1552029830949,1857,1024,597,564,207,106,18348,8161,1,18
1552029831952,11447,4920,1809,1719,483,1231,17425,1238,1,18
1552029832935,39362,9283,3708,4221,2338,3166,26344,13138,1,18
1552029833989,9515,7268,16837,5250,5315,2799,28111,12917,1,18
1552029834940,2401,4254,2525,3274,1202,927,9851,3140,1,18
1552029835925,5546,13143,6302,4027,3001,3872,174832,18531,1,18
1552029836926,17919,34002,8034,6917,8980,5760,76952,162780,1,18
1552029837923,154,1918,669,1471,98,342,59744,10012,1,18
1552029838930,380,3752,1416,9025,397,1108,99221,21901,1,18
1552029839910,12564,7046,5848,32242,1344,1984,887962,95201,1,18
1552029840897,10977,10889,6579,8907,5163,4124,100629,53757,1,18
1552029841969,6149,12481,4812,6634,3273,7113,35603,19800,1,18
1552029842918,1356,9261,1369,4013,548,1147,55439,64302,1,18
1552029843887,13481,8272,10258,8685,1622,3591,11830,9259,1,18
1552029844911,6000,8204,8429,6928,689,1248,48909,26780,1,18
1552029845901,5079,7471,7633,11271,3267,3137,72460,26664,1,18
1552029846878,25651,19341,4429,10225,1703,5077,54130,13659,1,18
1552029847898,2286,1431,2072,8576,636,1746,74784,30511,1,18
1552029848877,3919,809,1297,1841,901,1869,10758,6553,1,18
1552029849974,791,3472,1060,2538,715,455,2491,6372,1,18
1552029850885,1567,6275,2471,5752,479,711,126160,70591,1,18
1552029851890,827,2114,1434,602,142,261,800568,22006,1,18
1552029852873,1430,1961,707,717,397,742,52568,4336,1,18
1552029853876,5375,1790,3847,3108,1055,1066,32329,20407,1,18
1552029854861,11228,11637,13509,4675,8501,5394,50395,12865,1,18
1552029855839,10789,19518,10367,29428,7832,11010,42365,69210,1,18
1552029856851,34178,8325,25407,15005,2719,10074,772916,130092,1,18
1552029857952,2507,8445,3117,4225,1140,2733,224809,5688,1,18
1552029858840,26437,87739,25929,37442,5703,8452,785656,340299,1,18
1552029859855,7351,7645,2089,4048,394,1004,936116,31945,1,18
1552029860834,2107,2658,2004,2175,1394,974,19092,8737,1,18
