timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time
1548206247649,1,0,0,1,0,1,3,2,1,6,0.0,0.0,0.0
1548206248662,0,0,0,1,1,1,2,0,1,6,1548206247649.0,1.013,1.013
1548206249654,3039,11458,1995,2352,496,623,760006,15647,1,6,1548206248662.0,0.992,2.005
1548206250777,1061,3431,3439,2192,1579,1213,93629,2514,1,6,1548206249654.0,1.123,3.128
1548206251632,1359,1234,1183,368,1016,367,13709,3772,1,6,1548206250777.0,0.855,3.983
1548206252615,14419,26644,3916,9898,2605,1855,27724,31900,1,6,1548206251632.0,0.983,4.966
1548206253641,14653,7834,3533,4155,1774,3534,163099,58418,1,6,1548206252615.0,1.026,5.992
1548206254633,8531,9213,6046,6868,2349,5240,10727,9882,1,6,1548206253641.0,0.992,6.984
1548206255609,132779,190386,149442,68447,56682,126569,274115,239722,1,6,1548206254633.0,0.976,7.96
1548206256607,19368,14693,3878,15976,3229,4399,506704,265034,1,6,1548206255609.0,0.998,8.958
1548206257605,34550,66367,22219,31544,28496,23583,1637514,463882,1,6,1548206256607.0,0.998,9.956
1548206258644,57460,13347,13675,17578,3095,8718,916505,144596,1,6,1548206257605.0,1.039,10.995
1548206259608,43655,17092,40376,18174,4208,11504,407908,163839,1,6,1548206258644.0,0.964,11.959
1548206260606,3773,11576,8718,3712,4683,4203,258070,16190,1,6,1548206259608.0,0.998,12.957
1548206261590,19172,1414,3341,11500,1012,3054,264023,28624,1,6,1548206260606.0,0.984,13.941
1548206262578,32663,17937,6000,3992,1025,2603,749114,21167,1,6,1548206261590.0,0.988,14.929
1548206263600,35729,22212,22984,42920,5436,5328,621060,81006,1,6,1548206262578.0,1.022,15.951
1548206264568,8927,9348,4914,5204,5127,6330,85127,69225,1,6,1548206263600.0,0.968,16.919
1548206265575,7069,13318,8380,4231,2625,9217,27462,47908,1,6,1548206264568.0,1.007,17.926
1548206266560,14894,7015,5304,4272,2396,4071,12062,14536,1,6,1548206265575.0,0.985,18.911
1548206267545,4387,3224,1884,2469,1051,2421,119734,33609,1,6,1548206266560.0,0.985,19.896
1548206268545,6335,2582,3089,7855,2183,1970,79305,49397,1,6,1548206267545.0,1.0,20.896
1548206269544,5597,22407,9321,5603,2720,10044,32857,9547,1,6,1548206268545.0,0.999,21.895
1548206270549,3362,5096,1396,3615,725,1791,51786,21962,1,6,1548206269544.0,1.005,22.9
1548206271615,12064,37686,3143,5210,5383,3981,156802,40398,1,6,1548206270549.0,1.066,23.966
1548206272534,4026,24682,8988,19014,8102,10869,207587,39490,1,6,1548206271615.0,0.919,24.885
1548206273519,36031,13149,15592,27680,10071,8078,171118,51904,1,6,1548206272534.0,0.985,25.87
1548206274525,2131,8664,7102,5311,5170,9111,17531,16182,1,6,1548206273519.0,1.006,26.876
1548206275587,13507,19129,50065,10848,3150,12968,62350,45563,1,6,1548206274525.0,1.062,27.938
1548206276534,24406,16564,9817,13754,9480,7714,48208,42973,1,6,1548206275587.0,0.947,28.885
1548206277504,4954,8470,2241,4998,2165,1938,9172,55573,1,6,1548206276534.0,0.97,29.855
1548206278520,5956,11806,2236,3841,1225,1917,12883,35744,1,6,1548206277504.0,1.016,30.871
1548206279620,1996,2384,996,1632,1078,1658,33324,2518,1,6,1548206278520.0,1.1,31.971
1548206280494,6654,5867,11517,5574,4934,5597,29163,34567,1,6,1548206279620.0,0.874,32.845
1548206281489,4822,2494,9923,9428,2441,5430,6339,10823,1,6,1548206280494.0,0.995,33.84
1548206282474,7108,1168,10132,8016,3560,5455,107643,54845,1,6,1548206281489.0,0.985,34.825
1548206283478,513,3657,4197,5655,8887,6863,17055,28482,1,6,1548206282474.0,1.004,35.829
1548206284469,3920,6421,18356,5370,4208,2351,16862,13206,1,6,1548206283478.0,0.991,36.82
1548206285494,9737,7721,5406,8576,3561,3863,28509,5801,1,6,1548206284469.0,1.025,37.845
1548206286449,4893,3610,8539,4567,2886,3591,38576,56801,1,6,1548206285494.0,0.955,38.8
1548206287466,2858,3417,2931,2832,1897,1263,91265,6562,1,6,1548206286449.0,1.017,39.817
1548206288445,5346,3643,11852,8074,1726,6886,8445,8912,1,6,1548206287466.0,0.979,40.796
