delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,seconds,arousal,valence,happy,angry,nervous,sad
-1.352,-1.538,-1.263,-1.17,0.732,0.093,-0.649,-1.523,5.0,3.0,2.667,1.333,1.0,1.667,1.0
-1.408,-0.12,-1.366,-1.119,0.624,0.077,-1.848,-1.624,10.0,3.333,2.667,1.333,1.0,1.333,1.0
-1.527,-1.513,-1.429,-1.395,0.468,-0.463,-2.206,-1.958,15.0,3.333,2.667,1.333,1.0,1.333,1.0
-1.473,-1.395,-1.353,-1.302,0.145,-0.699,-0.038,-1.537,20.0,3.333,2.667,1.333,1.0,1.333,1.0
-1.528,-1.322,-1.486,-1.323,-0.239,-0.714,-2.639,-1.542,25.0,2.667,2.667,1.333,1.0,1.333,1.0
-1.501,-1.411,-1.5,-1.286,-0.149,-0.693,-2.697,-1.91,30.0,2.667,2.667,1.333,1.0,1.333,1.0
-1.488,-1.484,-1.448,-1.277,-0.274,-0.712,-2.675,-1.864,35.0,3.0,2.667,1.333,1.0,1.333,1.0
-1.067,-0.487,-1.054,-0.946,1.617,0.338,-0.593,-0.986,40.0,3.0,3.0,1.333,1.0,1.333,1.0
-1.517,-1.483,-1.445,-1.372,0.574,-0.517,-1.285,-1.608,45.0,3.0,3.0,1.333,1.0,1.333,1.0
-1.496,-1.556,-1.455,-1.315,-0.17,-0.697,-2.454,-1.959,50.0,3.0,3.0,1.333,1.0,1.333,1.0
-1.575,-0.68,-1.486,-1.294,-0.384,-0.42,-1.128,-1.529,55.0,3.0,3.0,1.333,1.0,1.333,1.0
-1.229,-0.841,-1.319,-1.165,0.698,0.243,-1.796,-1.416,60.0,3.0,3.0,1.333,1.0,1.333,1.0
-1.37,-0.754,-1.137,-0.847,0.175,0.306,0.651,-1.155,65.0,2.667,3.0,1.333,1.0,1.333,1.0
-1.326,-1.122,-1.355,-1.215,0.773,-0.358,-1.832,-0.983,70.0,3.0,2.667,1.333,1.0,1.333,1.0
-1.283,-0.667,-1.436,-1.267,0.064,-0.355,-1.089,-1.27,75.0,3.0,2.667,1.333,1.0,1.333,1.0
-1.228,-1.321,-1.286,-1.331,-0.185,0.156,-2.273,-1.789,80.0,3.0,2.667,1.333,1.0,1.333,1.0
-1.363,-1.301,-1.442,-1.289,0.676,-0.394,-1.768,-1.019,85.0,2.667,2.667,1.333,1.0,1.333,1.0
-1.284,-1.458,-1.214,-1.271,-0.291,-0.047,-0.942,-1.64,90.0,2.667,2.667,1.333,1.0,1.333,1.0
-1.601,-1.214,-1.434,-1.228,-0.031,-0.859,-1.414,-1.679,95.0,3.0,2.667,1.333,1.0,1.333,1.0
-1.485,-1.357,-1.433,-1.232,0.011,-0.411,-1.861,-1.651,100.0,2.667,2.667,1.333,1.0,1.333,1.0
-1.445,-1.53,-1.46,-1.218,-0.062,-0.55,-1.98,-1.827,105.0,3.333,3.0,2.0,1.0,1.333,1.0
-1.286,-1.259,-1.381,-1.247,0.417,0.03,-1.349,-1.547,110.0,3.333,3.0,1.667,1.0,1.333,1.0
-1.45,-1.372,-1.432,-1.308,0.546,-0.373,-1.645,-1.843,115.0,3.333,3.333,1.667,1.0,2.0,1.0
-1.674,-1.572,-1.542,-1.422,-0.752,-1.076,-2.813,-2.013,120.0,3.333,3.333,2.0,1.0,2.0,1.0
-1.69,-1.317,-1.58,-1.421,-0.849,-1.147,-2.545,-1.763,125.0,3.0,3.333,1.667,1.0,2.0,1.0
-1.571,-1.529,-1.562,-1.358,-0.775,-1.106,-2.874,-1.87,130.0,3.333,3.333,1.667,1.0,2.0,1.0
-1.539,-1.617,-1.567,-1.412,-0.928,-1.114,-3.032,-2.092,135.0,3.333,3.333,1.667,1.0,2.0,1.0
-1.722,-1.646,-1.556,-1.462,-0.936,-1.206,-3.043,-2.077,140.0,3.333,3.333,1.667,1.0,2.0,1.0
-1.543,-1.279,-1.531,-1.343,-0.614,-0.874,-2.061,-1.935,145.0,2.667,3.333,1.333,1.0,2.0,1.333
-1.597,-1.448,-1.528,-1.41,-0.722,-1.051,-2.657,-1.643,150.0,2.667,3.333,1.333,1.0,2.0,1.333
-1.655,-1.622,-1.506,-1.424,-0.54,-1.113,-3.034,-2.026,155.0,2.667,2.667,1.333,1.0,2.0,1.0
-1.656,-1.631,-1.596,-1.392,-0.861,-1.089,-3.063,-2.092,160.0,2.667,2.667,1.333,1.333,2.0,1.0
-1.701,-1.59,-1.544,-1.428,-0.747,-0.993,-2.469,-2.026,165.0,2.667,2.667,1.333,1.333,2.0,1.0
-1.517,-1.467,-1.566,-1.43,-0.732,-1.045,-2.924,-1.935,170.0,2.667,2.667,1.333,1.333,2.0,1.0
-1.665,-1.563,-1.591,-1.433,-0.963,-1.173,-2.827,-1.994,175.0,2.667,2.667,1.333,1.333,2.0,1.0
-1.482,-1.574,-1.475,-1.363,-0.541,-0.67,-1.922,-1.692,180.0,2.667,2.667,1.333,1.333,2.0,1.0
-1.634,-1.512,-1.529,-1.42,-0.736,-1.011,-2.771,-1.968,185.0,2.667,2.667,1.333,1.333,2.0,1.0
-1.661,-1.553,-1.503,-1.358,-0.588,-0.888,-2.733,-1.906,190.0,2.667,2.667,1.333,1.333,2.0,1.0
-1.607,-1.385,-1.555,-1.405,-0.663,-0.866,-2.381,-1.818,195.0,2.667,2.667,1.333,1.333,2.0,1.0
-1.561,-1.341,-1.511,-1.4,-0.745,-1.121,-1.712,-1.632,200.0,2.0,2.667,1.333,1.0,2.0,1.0
-1.469,-1.07,-1.375,-1.26,0.007,-0.448,-2.167,-1.571,205.0,2.667,2.667,1.333,1.0,2.0,1.0
-1.406,-1.271,-1.35,-1.157,0.225,0.748,-1.135,-1.278,210.0,3.0,3.333,1.667,1.0,2.0,1.0
-1.539,-1.478,-1.374,-1.29,-0.056,-0.744,-1.491,-1.547,215.0,3.0,3.333,1.667,1.0,2.0,1.0
-1.478,-1.47,-1.346,-1.296,-0.526,-0.81,-0.608,-1.566,220.0,3.0,3.333,2.0,1.0,2.0,1.0
-1.542,-1.388,-1.334,-0.92,-0.061,-0.412,-1.781,-1.25,225.0,3.0,3.667,2.667,1.0,1.333,1.0
-1.349,-0.91,-1.289,-0.911,0.596,-0.241,0.008,-1.465,230.0,3.333,3.667,2.667,1.0,1.333,1.0
-1.548,-1.361,-1.269,-1.161,-0.424,-0.56,-1.406,-1.701,235.0,3.333,4.0,2.667,1.0,1.333,1.0
-1.17,-0.58,-1.195,-1.107,0.407,-0.082,-0.501,-1.213,240.0,3.333,3.667,2.667,1.0,1.333,1.0
-1.416,-1.489,-1.406,-0.82,-0.096,-0.061,-1.669,-1.546,245.0,3.0,3.667,2.667,1.0,1.333,1.0
-1.364,-1.231,-1.345,-1.152,0.162,-0.371,-2.209,-1.551,250.0,3.333,3.333,2.333,1.0,1.333,1.0
-1.565,-1.509,-1.387,-1.071,-0.214,-0.286,-2.436,-1.791,255.0,3.333,3.667,2.333,1.0,1.333,1.0
-1.586,-1.339,-1.455,-1.099,-0.518,-0.327,-0.36,-1.821,260.0,3.667,4.0,2.0,1.0,2.0,1.0
-1.217,-0.921,-1.32,-1.009,0.025,-0.191,-0.5,-1.438,265.0,3.333,3.333,2.0,1.0,2.0,1.0
-1.383,-1.324,-1.19,-0.979,1.065,0.326,-2.67,-1.711,270.0,3.333,3.333,2.0,1.0,2.0,1.0
-1.122,-1.258,-1.101,-1.102,0.384,0.577,-2.586,-1.665,275.0,3.333,3.333,2.0,1.0,2.0,1.0
-1.162,-1.096,-1.099,-0.862,0.345,-0.112,-0.996,-1.295,280.0,3.333,3.0,2.0,1.0,2.0,1.0
-1.316,-0.88,-1.061,-0.758,2.826,0.107,-0.373,-0.683,285.0,3.333,3.0,2.0,1.0,2.0,1.0
-1.302,-0.506,-1.036,-1.177,1.864,0.436,-0.334,-0.572,290.0,3.0,3.0,2.0,1.0,2.0,1.0
-1.489,-1.269,-1.149,-0.919,0.592,0.075,-1.869,-1.519,295.0,2.667,3.0,2.0,1.0,1.333,1.0
-1.189,-1.243,-1.142,-0.879,0.442,-0.161,-1.603,-1.757,300.0,2.333,2.667,2.0,1.0,1.333,1.0
-1.17,-1.268,-1.264,-1.121,-0.385,-0.421,-1.124,-1.374,305.0,2.333,2.667,2.0,1.0,1.333,1.0
-0.881,-1.002,-1.282,-1.073,-0.135,-0.691,-0.47,-1.529,310.0,2.667,2.667,2.0,1.0,1.333,1.0
-1.257,-0.751,-1.262,-1.178,-0.349,-0.62,-2.608,-1.796,315.0,2.333,2.667,2.0,1.0,1.333,1.0
-1.359,-1.27,-1.443,-1.196,-0.274,-0.742,-1.97,-1.764,320.0,2.667,2.667,2.0,1.0,1.333,1.0
-1.455,-1.407,-1.482,-1.247,-0.674,-1.059,-0.458,-1.782,325.0,2.667,2.667,2.0,1.0,1.333,1.0
-1.643,-1.568,-1.549,-1.428,-0.809,-1.013,-2.842,-1.914,330.0,2.667,2.667,1.667,1.0,2.0,1.0
-1.618,-1.589,-1.537,-1.389,-0.662,-0.872,-2.829,-2.033,335.0,3.0,3.0,1.667,1.0,2.0,1.0
-0.229,-0.545,-1.174,-0.784,2.921,0.276,0.912,0.702,340.0,3.333,2.667,1.667,1.0,1.667,1.0
-1.609,-1.622,-1.52,-1.414,-0.583,-1.032,-2.991,-2.067,345.0,3.667,2.667,1.667,1.0,1.667,1.0
-1.45,-1.586,-1.509,-1.392,0.025,-0.644,-2.675,-1.931,350.0,3.667,2.667,2.667,1.0,1.333,1.0
-1.524,-1.537,-1.449,-1.39,-0.201,-0.519,-1.835,-2.048,355.0,3.333,2.667,2.667,1.0,1.333,1.0
-1.461,-1.568,-1.411,-1.37,-0.326,-0.598,-2.139,-1.559,360.0,3.333,2.667,2.667,1.0,1.333,1.0
-1.563,-1.389,-1.537,-1.347,-0.539,-0.955,-2.378,-1.821,365.0,3.333,2.667,2.667,1.0,1.333,1.0
-1.352,-1.402,-1.359,-1.236,0.093,-0.766,-2.04,-1.98,370.0,3.333,2.667,2.667,1.0,1.333,1.0
-1.535,-1.442,-1.511,-1.352,-0.308,-0.721,-2.264,-1.638,375.0,3.0,2.333,2.0,1.0,1.333,1.0
-1.509,-1.627,-1.47,-1.418,-0.589,-0.909,-2.916,-2.082,380.0,3.333,2.333,2.0,1.0,1.333,1.0
-1.661,-1.514,-1.366,-1.38,-0.1,-0.623,-2.921,-2.008,385.0,3.333,2.333,2.0,1.0,1.333,1.0
-1.537,-1.406,-1.44,-1.389,-0.204,-0.672,-2.748,-1.862,390.0,3.333,2.333,2.0,1.0,1.333,1.0
-1.653,-1.635,-1.552,-1.423,-0.862,-1.205,-2.595,-2.012,395.0,3.0,2.333,2.0,1.0,1.333,1.0
-1.438,-1.519,-1.4,-1.262,-0.264,-0.619,-1.794,-1.941,400.0,3.0,2.333,2.0,1.0,1.333,1.0
-1.585,-1.459,-1.394,-1.381,-0.218,-0.907,-2.306,-1.89,405.0,3.333,2.333,2.0,1.0,1.333,1.0
-1.115,-1.378,-1.455,-1.247,0.431,-0.375,-1.506,-1.399,410.0,3.333,2.667,2.0,1.0,1.333,1.0
-1.561,-1.402,-1.321,-1.337,0.113,-0.423,-2.391,-1.479,415.0,3.333,2.667,2.333,1.0,1.333,1.0
-1.545,-1.49,-1.433,-1.332,0.044,-0.389,-2.942,-2.029,420.0,3.0,2.667,2.333,1.0,1.333,1.0
-1.497,-1.369,-1.433,-1.304,-0.298,-0.563,-2.339,-1.727,425.0,3.333,3.0,1.667,1.0,1.333,1.0
-1.637,-1.261,-1.438,-1.285,-0.676,-0.324,-2.052,-1.958,430.0,3.0,2.667,1.667,1.0,1.333,1.0
-1.699,-1.525,-1.528,-1.395,-0.639,-0.633,-2.05,-1.956,435.0,3.0,2.667,1.667,1.0,1.333,1.0
-1.189,-1.331,-1.387,-1.214,0.18,-0.294,-2.308,-1.762,440.0,3.333,2.667,1.667,1.0,1.333,1.0
-1.497,-1.365,-1.378,-1.247,0.8,-0.443,-2.836,-1.933,445.0,3.0,2.667,1.667,1.333,1.333,1.0
-1.359,-1.339,-1.139,-1.089,0.34,0.052,-0.208,-1.331,450.0,3.0,2.333,1.333,1.333,1.333,1.0
