seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,5,4,2,1,1,1,3,1,,,,x,,,,,,,,,,,x
10.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,10,4,2,1,1,1,3,1,,,,x,,,,,,,,,,,x
15.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,15,4,4,2,1,1,2,1,,,,x,,,,,,,,,,,x
20.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,20,4,4,3,1,1,2,1,,,,,,x,,,,,,,,,x
25.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,25,4,4,3,2,1,2,1,,,x,,,,,,,,,,,,x
30.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,30,4,4,3,2,1,2,1,,,x,,,,,,,,,,,,x
35.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,35,4,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
40.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,40,4,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
45.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,45,4,3,1,1,1,2,1,,,,x,,,,,,,,,,,x
50.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,50,4,3,1,1,1,2,1,,x,,,,,,,,,,,,,x
55.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,55,4,3,1,1,1,1,1,,x,,,,,,,,,,,,,x
60.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,60,4,3,1,1,1,1,1,,x,,,,,,,,,,,,,x
65.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,65,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
70.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,70,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
75.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,75,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
80.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,80,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
85.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,85,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
90.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,90,3,3,1,1,1,1,1,,x,,,,,,,,,,,,,x
95.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,95,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
