seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,1,3,1,1,1,1,1,,,,,,,x,,,,,,,,x,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
10,1,3,1,1,1,1,1,,,,,,,x,,,,,,,,x,10.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
15,1,3,1,1,1,4,1,,,,,,,x,,,,,,,,x,15.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
20,1,3,1,1,1,4,1,,,,,,,x,,,,,,,,x,20.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
25,1,3,1,1,1,1,1,,,,,,,x,,,,,,,,x,25.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
30,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,30.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
35,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,35.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
40,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,40.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
45,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,45.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
50,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,50.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
55,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,55.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
60,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,60.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
65,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,65.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
70,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,70.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
75,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,75.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
80,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,80.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
85,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x,85.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
90,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x,90.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,x,,,,,,,,x
95,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x,95.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
100,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x,100.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,,,,,,,x,,,,,,,,x
105,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x,105.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,,,,,,x,,,,,,x,,,
110,5,3,4,1,1,1,1,,,x,,,,,,,,,,x,,,110.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,,,,,,x,,,,,,x,,,
115,5,3,4,1,1,1,1,,,x,,,,,,,,,,x,,,115.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,,,,,,x,,,,,,x,,,
120,5,3,4,1,1,1,1,,,x,,,,,,,,,,x,,,120.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,,,,,,x,,,,,,x,,,
125,5,3,4,1,1,1,1,,,x,,,,,,,,,,x,,,125.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,,,,x,,,,x,,,,,,,
130,5,3,4,1,1,1,1,,,x,,,,,,,,,,x,,,130.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,,,,x,,,,x,,,,,,,
