timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surpise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
1552895231739,1704,999,813,197,326,227,78758,22054,1,27,1552895230777.0,0.962,246.732,5.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895232740,6204,4074,10619,6057,2593,1895,67053,57664,1,27,1552895231739.0,1.001,247.733,5.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895233764,34846,10511,9823,9831,3528,3160,717134,54400,1,27,1552895232740.0,1.024,248.757,5.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895234748,3641,2709,2931,1667,1371,1605,76068,11833,1,27,1552895233764.0,0.984,249.741,5.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895235732,4196,6432,5464,3511,2217,4469,56406,40724,1,27,1552895234748.0,0.984,250.725,5.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895236829,16504,4184,9436,33817,13825,9835,158468,89017,1,27,1552895235732.0,1.097,251.822,10.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895237717,24054,8335,3924,2943,2967,3473,203216,123121,1,27,1552895236829.0,0.888,252.71,10.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895238714,4505,5964,6222,5639,1303,2951,26625,54879,1,27,1552895237717.0,0.997,253.707,10.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895239737,3843,2383,1645,1670,1180,1609,129747,7510,1,27,1552895238714.0,1.023,254.73,10.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895240704,31895,33637,10465,38329,5786,9146,76224,27924,1,27,1552895239737.0,0.967,255.697,10.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895241705,10757,13858,3549,6770,2683,2543,495230,11775,1,27,1552895240704.0,1.001,256.698,10.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895242686,12414,37232,14308,13119,12538,19365,696335,260328,1,27,1552895241705.0,0.981,257.679,10.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895243682,9857,2743,4438,2788,1543,5334,108494,32651,1,27,1552895242686.0,0.996,258.675,15.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895244824,3445,7654,1306,5545,491,964,103916,13328,1,27,1552895243682.0,1.142,259.817,15.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895245685,15000,8015,5286,8007,2789,5920,344357,40225,1,27,1552895244824.0,0.861,260.678,15.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895246694,4654,5729,3819,5316,1777,2380,127513,34412,1,27,1552895245685.0,1.009,261.687,15.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895247672,208,1179,648,750,217,186,80824,9829,1,27,1552895246694.0,0.978,262.665,15.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895248654,5320,5287,15441,11276,5523,10807,2020338,60382,1,27,1552895247672.0,0.982,263.647,15.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895249672,5660,1190,6817,4922,1158,3118,148095,65576,1,27,1552895248654.0,1.018,264.665,20.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895250658,31333,7462,9067,7176,3952,8044,251435,237146,1,27,1552895249672.0,0.986,265.651,20.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895251665,25240,55125,30290,15386,24750,19128,3343262,245147,1,27,1552895250658.0,1.007,266.658,20.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895252744,63297,123854,26182,20282,10986,7719,851348,700729,1,27,1552895251665.0,1.079,267.737,20.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895253652,5609,40135,7537,5182,14086,5787,57642,42964,1,27,1552895252744.0,0.908,268.645,20.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895254643,1993,6271,3125,3028,2594,1278,81716,15925,1,27,1552895253652.0,0.991,269.636,20.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895255626,1506,6774,2199,979,1281,2752,231617,13511,1,27,1552895254643.0,0.983,270.619,25.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895256629,2026,10314,7787,4781,4734,5704,6704,17549,1,27,1552895255626.0,1.003,271.622,25.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895257682,2614,5798,1866,932,657,1619,13993,3772,1,27,1552895256629.0,1.053,272.675,25.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895258625,2724,1939,916,2110,1077,1283,34492,11425,1,27,1552895257682.0,0.943,273.618,25.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
1552895259617,1339,4082,1494,1316,412,943,63694,48121,1,27,1552895258625.0,0.992,274.61,25.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,,,x,,,,,
