delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta
20635.333,9865.667,20013.333,22209.667,12528.167,16215.833,735418.5,109057.5
17996.667,89379.0,15069.833,25647.0,11865.333,16049.667,375365.333,91649.5
12304.0,11275.833,12070.667,7051.333,10908.833,10329.333,268015.167,34268.833
14862.0,17901.0,15713.667,13328.833,8917.5,7831.0,918693.5,106561.167
12257.167,22009.167,9361.0,11870.167,6556.833,7678.333,138092.333,105795.0
13521.333,17031.833,8702.0,14403.5,7114.5,7897.0,120496.667,42468.667
14154.833,12890.5,11158.0,14994.5,6345.667,7700.333,127294.0,50353.167
34295.667,68838.333,29982.833,37346.5,17971.167,18814.0,752249.0,201172.167
12763.333,12974.5,11318.0,8571.333,11556.667,9758.167,544279.0,94357.333
13764.0,8884.5,10817.5,12428.5,6984.0,7857.167,193512.167,34100.0
10013.0,58019.667,9348.833,13824.167,5668.0,10787.0,591447.5,107989.0
26523.0,48986.667,17310.167,22553.0,12320.667,17808.5,391012.167,127327.167
19778.333,53874.5,26008.5,44024.667,9105.167,18473.167,1125332.333,172156.5
21886.667,33229.333,15614.833,19178.0,12783.833,11443.5,380121.667,201652.0
23975.333,58742.0,11753.833,15678.167,8422.833,11476.0,603340.5,152402.667
26576.167,22053.833,18874.333,11386.0,6890.0,16884.833,247842.167,63228.167
20105.833,23205.167,11460.833,14165.667,12186.833,11069.0,399440.833,195518.0
23905.0,14366.5,22320.167,15383.167,6239.167,14734.333,647235.667,88977.333
8768.5,28047.0,11818.167,18328.167,7835.667,6143.0,505727.167,82276.833
14290.333,20016.167,11883.333,18013.833,8096.333,10880.333,371411.167,86942.0
16224.833,10328.667,10588.333,19007.667,7647.167,9407.667,335846.333,56789.333
23795.333,25535.667,14342.0,16987.667,10594.5,15549.5,525286.167,104919.333
15976.0,19206.0,11939.667,12933.667,11384.333,11287.333,436304.667,54106.167
5256.833,7974.667,6655.167,5221.0,3406.833,3843.667,85930.0,24767.5
4476.0,22259.5,4864.833,5268.333,2810.0,3092.833,166190.5,67703.167
