timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surpise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
1552117026241,454,483,185,390,34,19,198,406,1,19,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1552117027228,5831,5644,3307,2332,435,341,321981,9395,1,19,1552117026241.0,0.987,0.987,,,,,,,,,,,,,,,,,,,,,,,
1552117028235,30,32,29,33,9,12,184,121,1,19,1552117027228.0,1.007,1.994,,,,,,,,,,,,,,,,,,,,,,,
1552117029237,0,0,2,1,1,0,3,4,1,19,1552117028235.0,1.002,2.996,,,,,,,,,,,,,,,,,,,,,,,
1552117030261,24379,20676,9561,22203,377,359,12817,19444,1,19,1552117029237.0,1.024,4.02,,,,,,,,,,,,,,,,,,,,,,,
1552117031215,407109,225052,172951,479555,27048,62432,737943,249966,1,19,1552117030261.0,0.954,4.974,,,,,,,,,,,,,,,,,,,,,,,
1552117032234,2,0,0,1,0,0,0,4,1,19,1552117031215.0,1.019,5.993,,,,,,,,,,,,,,,,,,,,,,,
1552117033203,1688,2290,3247,3500,576,145,7033,8475,1,19,1552117032234.0,0.969,6.962,,,,,,,,,,,,,,,,,,,,,,,
1552117034202,25645,46043,17005,19954,4052,7618,197816,26312,1,19,1552117033203.0,0.999,7.961,,,,,,,,,,,,,,,,,,,,,,,
1552117035206,40346,10699,14462,11642,1893,6241,149665,65465,1,19,1552117034202.0,1.004,8.965,,,,,,,,,,,,,,,,,,,,,,,
1552117036190,176828,49817,87526,259037,10355,15804,1587946,487732,1,19,1552117035206.0,0.984,9.949,,,,,,,,,,,,,,,,,,,,,,,
1552117037178,18212,5237,13780,14481,3258,7776,211657,84980,1,19,1552117036190.0,0.988,10.937,,,,,,,,,,,,,,,,,,,,,,,
1552117038210,163401,270840,194558,172910,67482,121425,2018616,756455,1,19,1552117037178.0,1.032,11.969,,,,,,,,,,,,,,,,,,,,,,,
1552117039179,15877,5272,14086,19617,2280,5687,167437,18926,1,19,1552117038210.0,0.969,12.938,,,,,,,,,,,,,,,,,,,,,,,
1552117040183,214426,69326,304357,259366,13478,18723,1037024,94071,1,19,1552117039179.0,1.004,13.942,,,,,,,,,,,,,,,,,,,,,,,
1552117041184,51004,2773,16799,6133,3088,7844,310681,50508,1,19,1552117040183.0,1.001,14.943,,,,,,,,,,,,,,,,,,,,,,,
1552117042553,30247,73677,33182,58045,4696,6275,1279307,25280,1,19,1552117041184.0,1.369,16.312,,,,,,,,,,,,,,,,,,,,,,,
1552117043218,292299,101657,128225,118035,7290,26705,1577246,122071,1,19,1552117042553.0,0.665,16.977,,,,,,,,,,,,,,,,,,,,,,,
1552117044151,6240,10244,8812,11286,2162,1676,130443,56702,1,19,1552117043218.0,0.933,17.91,,,,,,,,,,,,,,,,,,,,,,,
1552117045165,38329,11720,22669,43528,2386,3744,595652,84823,1,19,1552117044151.0,1.014,18.924,,,,,,,,,,,,,,,,,,,,,,,
1552117046142,55139,67148,47021,22669,5851,6704,885006,281300,1,19,1552117045165.0,0.977,19.901,,,,,,,,,,,,,,,,,,,,,,,
1552117047159,31050,43973,33416,21664,1285,2074,1029141,141087,1,19,1552117046142.0,1.017,20.918,,,,,,,,,,,,,,,,,,,,,,,
1552117048145,44180,9446,18403,10855,1427,3426,990184,164774,1,19,1552117047159.0,0.986,21.904,,,,,,,,,,,,,,,,,,,,,,,
1552117049129,2549,9832,40144,22897,1300,4559,528764,138146,1,19,1552117048145.0,0.984,22.888,,,,,,,,,,,,,,,,,,,,,,,
1552117050135,122799,212653,105139,145145,16393,80767,1311868,469377,1,19,1552117049129.0,1.006,23.894,,,,,,,,,,,,,,,,,,,,,,,
1552117051116,80218,50101,50878,103898,6213,6596,1180212,96224,1,19,1552117050135.0,0.981,24.875,,,,,,,,,,,,,,,,,,,,,,,
1552117052141,15564,17193,15200,7579,1733,1123,299357,84157,1,19,1552117051116.0,1.025,25.9,,,,,,,,,,,,,,,,,,,,,,,
1552117053172,48096,65746,23560,69219,5896,11000,2941196,197182,1,19,1552117052141.0,1.031,26.931,,,,,,,,,,,,,,,,,,,,,,,
1552117054124,10085,24989,23240,25022,4129,8130,1055712,124100,1,19,1552117053172.0,0.952,27.883,,,,,,,,,,,,,,,,,,,,,,,
1552117055110,177230,388717,333622,275887,72206,56243,2137720,750952,1,19,1552117054124.0,0.986,28.869,,,,,,,,,,,,,,,,,,,,,,,
1552117056113,16229,8626,17392,35525,2858,5040,705486,79091,1,19,1552117055110.0,1.003,29.872,,,,,,,,,,,,,,,,,,,,,,,
1552117057117,14313,25693,12310,14542,2515,5467,2268097,340680,1,19,1552117056113.0,1.004,30.876,,,,,,,,,,,,,,,,,,,,,,,
1552117058096,133866,64890,89300,164187,20577,28091,2469058,874804,1,19,1552117057117.0,0.979,31.855,,,,,,,,,,,,,,,,,,,,,,,
1552117059100,112155,33483,47209,99203,13219,39697,240711,49240,1,19,1552117058096.0,1.004,32.859,,,,,,,,,,,,,,,,,,,,,,,
1552117060101,155412,253984,324195,129832,56344,124014,1113168,681867,1,19,1552117059100.0,1.001,33.86,,,,,,,,,,,,,,,,,,,,,,,
1552117061101,174798,24052,40742,157316,37696,50994,659007,55446,1,19,1552117060101.0,1.0,34.86,,,,,,,,,,,,,,,,,,,,,,,
1552117062090,5199,5881,10501,10236,3977,6160,162452,28437,1,19,1552117061101.0,0.989,35.849,,,,,,,,,,,,,,,,,,,,,,,
1552117063090,164208,215976,94587,50551,79851,87833,1068821,133801,1,19,1552117062090.0,1.0,36.849,,,,,,,,,,,,,,,,,,,,,,,
1552117064090,550311,559149,83415,46150,59433,75323,1374751,619383,1,19,1552117063090.0,1.0,37.849,,,,,,,,,,,,,,,,,,,,,,,
1552117065082,5064,8377,2002,2180,400,1003,598732,18856,1,19,1552117064090.0,0.992,38.841,,,,,,,,,,,,,,,,,,,,,,,
1552117066121,5456,3871,1246,3268,95,37,41159,17101,1,19,1552117065082.0,1.039,39.88,,,,,,,,,,,,,,,,,,,,,,,
1552117067066,60989,152629,103437,91874,19445,76984,863524,841039,1,19,1552117066121.0,0.945,40.825,,,,,,,,,,,,,,,,,,,,,,,
1552117068048,40845,14607,158344,50232,41704,136332,213084,86756,1,19,1552117067066.0,0.982,41.807,,,,,,,,,,,,,,,,,,,,,,,
1552117069049,40942,58723,69246,17861,4680,5384,1516484,396435,1,19,1552117068048.0,1.001,42.808,,,,,,,,,,,,,,,,,,,,,,,
1552117070070,128582,50040,55875,72216,41085,112489,815416,189640,1,19,1552117069049.0,1.021,43.829,,,,,,,,,,,,,,,,,,,,,,,
1552117071041,236623,37077,147766,166627,20672,9672,1343113,193327,1,19,1552117070070.0,0.971,44.8,,,,,,,,,,,,,,,,,,,,,,,
1552117072060,35286,7864,39681,17619,2449,1688,140987,159325,1,19,1552117071041.0,1.019,45.819,,,,,,,,,,,,,,,,,,,,,,,
1552117073060,249194,59297,178943,229231,59354,119128,942965,410832,1,19,1552117072060.0,1.0,46.819,,,,,,,,,,,,,,,,,,,,,,,
1552117074040,74000,170308,115632,15251,33310,88700,916846,286778,1,19,1552117073060.0,0.98,47.799,,,,,,,,,,,,,,,,,,,,,,,
1552117075031,88327,55085,119294,137218,42384,71308,963687,58307,1,19,1552117074040.0,0.991,48.79,,,,,,,,,,,,,,,,,,,,,,,
1552117076046,249829,548305,132160,213234,8617,111431,688997,1052463,1,19,1552117075031.0,1.015,49.805,,,,,,,,,,,,,,,,,,,,,,,
1552117077019,159897,62419,143848,148391,4395,9624,3309135,483499,1,19,1552117076046.0,0.973,50.778,,,,,,,,,,,,,,,,,,,,,,,
1552117078038,360362,43629,265015,126136,20645,29826,2010355,572026,1,19,1552117077019.0,1.019,51.797,,,,,,,,,,,,,,,,,,,,,,,
1552117079029,53863,54200,47542,126146,10392,13437,543991,184799,1,19,1552117078038.0,0.991,52.788,,,,,,,,,,,,,,,,,,,,,,,
1552117080005,186752,106282,47098,65897,14179,24801,1908184,192305,1,19,1552117079029.0,0.976,53.764,,,,,,,,,,,,,,,,,,,,,,,
1552117081005,60920,78331,41462,59399,6077,23618,1449599,97954,1,19,1552117080005.0,1.0,54.764,,,,,,,,,,,,,,,,,,,,,,,
1552117082013,248465,80515,90644,171467,10420,37832,355507,477392,1,19,1552117081005.0,1.008,55.772,,,,,,,,,,,,,,,,,,,,,,,
1552117082997,39745,678375,192122,244981,9422,38088,2162833,412214,1,19,1552117082013.0,0.984,56.756,,,,,,,,,,,,,,,,,,,,,,,
1552117084001,49546,18942,37426,21467,2578,6178,764455,98425,1,19,1552117082997.0,1.004,57.76,,,,,,,,,,,,,,,,,,,,,,,
1552117085004,72574,9612,36752,27503,10222,8218,186388,193160,1,19,1552117084001.0,1.003,58.763,,,,,,,,,,,,,,,,,,,,,,,
1552117085986,45149,70867,31126,126302,31744,25600,3438113,837056,1,19,1552117085004.0,0.982,59.745,,,,,,,,,,,,,,,,,,,,,,,
1552117086993,86024,93042,61619,70163,17431,14319,1372874,202774,1,19,1552117085986.0,1.007,60.752,,,,,,,,,,,,,,,,,,,,,,,
