seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,1,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
10,1,3,3,2,1,1,1,,,,x,,,,,,,,,,,x
15,1,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
20,1,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
25,1,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
30,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
35,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
40,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
45,1,3,1,1,1,1,1,x,,,,,,,,,,,,,,x
50,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
55,1,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
60,1,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
65,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
70,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
75,1,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
80,1,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
85,3,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
90,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
95,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
100,3,3,1,2,1,1,1,,,,x,,,,,,,,,,,x
105,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
110,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
115,3,4,2,1,1,1,1,,,,x,,,,,,,,,,,x
120,4,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
125,4,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
130,4,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
135,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
140,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
145,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
150,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
155,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
160,4,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
165,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
170,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
175,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
180,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
185,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
190,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
195,3,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
200,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
205,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
210,3,3,2,1,1,1,1,,,,,,,x,,,,,,,,x
215,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
220,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
225,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
230,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
235,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
240,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
245,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
250,3,4,2,1,1,1,1,,,,x,,,,,,,,,,,x
255,2,4,2,1,1,1,1,,,,x,,,,,,,,,,,x
260,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
265,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
