seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
10,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
15,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
20,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
25,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
30,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
35,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
40,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
45,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
50,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
55,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
60,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
65,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
70,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
75,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
80,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
85,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
90,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
95,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
100,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
105,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
110,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
115,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
120,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
125,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
130,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
135,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
140,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
145,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
150,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
155,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
160,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
165,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
170,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
175,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
180,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
185,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
190,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
195,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
200,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
205,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
210,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
215,1,4,1,1,1,1,1,,x,,,,,,,,,,,,,x
220,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
225,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
230,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
235,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
240,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
245,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
250,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
255,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
260,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
265,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
270,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
275,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
280,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
285,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
290,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
295,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
300,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
305,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
310,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
315,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
320,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
325,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
330,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
335,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
340,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
345,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
350,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
355,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
360,1,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
365,1,4,1,1,1,1,1,,,,,,x,,,,,,,,,x
370,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
375,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
380,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x
