seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,4,5,4,4,1,1,1,,,,x,,,,,,,,,,,x
10,4,5,4,4,1,1,1,,,,x,,,,,,,,,,,x
15,4,5,4,4,1,1,1,,,,x,,,,,,,,,,,x
20,4,5,4,4,1,1,1,,,,x,,,,,,,,,,,x
25,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
30,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
35,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
40,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
45,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
50,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
55,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
60,2,4,2,2,2,2,1,,,,x,,,,,,,,,,,x
65,2,4,2,2,2,2,1,,,,x,,,,,,,,,,,x
70,2,4,2,2,2,2,1,,,,x,,,,,,,,,,,x
75,2,4,2,2,2,2,1,,,,x,,,,,,,,,,,x
80,2,4,2,2,2,2,1,,,,x,,,,,,,,,,,x
85,2,4,2,2,2,2,1,,,,x,,,,,,,,,,,x
90,2,4,2,2,2,2,1,,,,x,,,,,,,,,,,x
95,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
100,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
105,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
110,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
115,2,2,2,2,2,2,1,,x,,,,,,,,,,,,,x
120,4,3,3,2,1,2,1,,,,x,,,,,,,,,,,x
125,4,3,3,2,1,2,1,,,,x,,,,,,,,,,,x
130,4,3,3,2,1,2,1,,,,x,,,,,,,,,,,x
135,4,3,3,2,1,2,1,,,,x,,,,,,,,,,,x
140,4,3,3,2,1,2,1,,,,x,,,,,,,,,,,x
145,4,3,3,2,1,2,1,,,,x,,,,,,,,,,,x
