seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
10,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
15,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
20,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
25,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
30,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
35,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
40,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
45,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
50,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
55,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
60,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
65,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
70,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
75,2,3,2,1,1,1,1,,,,x,,,,,,,,,,,x
80,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
85,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
90,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
95,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
100,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
105,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
110,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
115,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
120,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
125,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
130,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
135,3,3,1,1,1,1,1,,,,,,,x,,,,,,,,x
140,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
145,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
150,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
155,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
160,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
165,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
170,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
175,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
180,4,3,1,1,1,1,1,,,,x,,,,x,,,,,,,
185,4,3,1,1,1,1,1,,,,x,,,,x,,,,,,,
190,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
195,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
200,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
205,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
210,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
215,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
220,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
225,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
230,2,3,1,1,1,1,1,,,,x,,,,x,,,,,,,
235,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
240,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
245,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
250,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
255,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
260,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
265,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
270,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
275,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
280,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
285,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
290,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
295,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
300,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
305,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
310,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
315,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
320,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
325,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
330,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
335,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
340,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
345,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
350,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
355,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
360,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
365,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
370,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
375,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
380,4,3,2,2,1,1,1,,,,x,,,,,,,,,,,x
385,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
390,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
395,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
400,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
405,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
410,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
415,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
420,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
425,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
430,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
435,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
440,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
445,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
450,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
455,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
460,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
465,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
470,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
475,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
480,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
485,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
490,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
495,4,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
500,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
505,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
510,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
515,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
520,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
525,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
530,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
535,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
540,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
545,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
550,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
555,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
560,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
565,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
570,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
575,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
580,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
585,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
590,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
595,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
600,3,3,1,1,1,1,1,,,,x,,,,,,,,,,,x
