timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid
1552117009773,0,0,0,1,1,1,3,3,1,20
1552117010793,1,1,2,2,0,0,4,2,1,20
1552117011914,0,0,0,0,0,0,9,2,1,20
1552117012763,0,0,1,0,0,0,3,1,1,20
1552117013777,1165,4388,872,693,586,533,20862,22177,1,20
1552117014769,95533,419515,148312,201449,67565,77809,1454027,605538,1,20
1552117015763,7149,6387,2148,1930,743,2423,118349,40263,1,20
1552117016743,31717,46885,9045,16140,3319,8503,913777,125905,1,20
1552117017749,258881,117812,176573,100253,9454,44675,1551416,1415358,1,20
1552117018741,60305,32173,26052,46902,3107,9156,2110688,242247,1,20
1552117019796,8841,12696,6525,5336,1287,5156,85371,107372,1,20
1552117020737,5034,40072,1976,3085,1629,1511,535786,71335,1,20
1552117021727,121172,33783,23904,43375,4994,6866,927165,164026,1,20
1552117022736,28696,7049,57608,21878,5036,17010,640401,698448,1,20
1552117023708,3800,32740,9100,8506,2881,5533,1030423,40787,1,20
1552117024708,269279,164339,154286,206846,22681,46538,1242640,570725,1,20
1552117025701,92356,62321,205587,231192,74258,388315,362725,151877,1,20
1552117026706,48323,28286,29937,28273,13552,18116,588303,108706,1,20
1552117027780,27700,34104,36945,45268,10671,41766,998339,486974,1,20
1552117028710,406394,543111,274120,340196,40730,66192,667130,795183,1,20
1552117029676,11918,27219,5691,19452,1115,3381,475135,188132,1,20
1552117030673,60969,151722,82138,147085,45685,34353,1257276,223560,1,20
1552117031681,5534,6466,7791,6059,5160,8768,50805,33131,1,20
1552117032659,64692,202688,29854,33912,7775,24571,1497258,254306,1,20
1552117033658,91413,333110,85435,41802,17151,26661,719492,476553,1,20
1552117034647,15259,14061,16938,7382,6140,14779,858645,64533,1,20
1552117035643,149704,382101,63119,56241,59836,67486,1282923,676625,1,20
1552117036654,1187,3915,579,454,191,276,3156,4068,1,20
1552117037686,458,329,285,286,69,450,3751,1431,1,20
1552117038660,6046,9441,4801,4946,1309,3575,486630,31970,1,20
1552117039637,49540,136646,123428,267236,63888,107020,380486,359905,1,20
1552117040632,78408,52678,81429,14323,39733,60730,143852,45646,1,20
1552117041633,185005,206236,45294,41219,40321,52193,1137763,246699,1,20
1552117042636,62519,259114,50625,21885,14970,19466,1166990,385362,1,20
1552117043623,10499,31092,9810,8284,3108,3049,115248,69202,1,20
1552117044603,73953,167969,173238,133814,88372,178951,1864180,1095742,1,20
1552117045608,56022,216156,104608,40108,60725,80318,1252444,152037,1,20
1552117046586,68037,43116,24005,17039,7747,15495,443822,285618,1,20
1552117047604,25985,183475,47750,30084,15294,14074,1044783,471908,1,20
1552117048594,63780,17745,38956,88729,6295,6330,3098143,229733,1,20
1552117049574,27430,63560,21215,25253,5299,4372,751507,109503,1,20
1552117050586,87703,39350,173346,164423,13966,58952,1988925,827747,1,20
1552117051579,13165,25394,2082,3530,821,370,268046,52351,1,20
1552117052571,8133,8360,8574,11312,5368,2493,295044,78988,1,20
1552117053565,12666,34951,8526,16478,1315,2796,504615,53649,1,20
1552117054565,168296,423470,216661,223163,42282,34802,920629,1820835,1,20
1552117055546,25082,117507,32166,68189,6791,8848,1148892,79035,1,20
1552117056561,22475,19574,5708,9815,2524,3674,354898,123924,1,20
1552117057546,3497,20815,8710,5005,1610,1181,185371,16015,1,20
1552117058534,62529,30831,26231,24252,6027,16834,517177,82634,1,20
1552117059548,63311,110927,92087,158016,23141,14983,1442397,1217916,1,20
1552117060531,20362,116164,16835,17452,9284,6917,1375788,383463,1,20
1552117061540,69538,101214,18460,36064,6068,11009,1864592,437825,1,20
1552117062524,63111,123723,26306,15556,6515,3178,1444457,248216,1,20
1552117063499,38829,73783,17542,50364,7380,7461,203818,114241,1,20
1552117064523,14973,3712,9155,23631,1757,3802,841505,223605,1,20
1552117065519,15554,30120,7126,14457,796,998,640260,43128,1,20
1552117066490,4553,19188,1492,4450,2150,1067,249421,69918,1,20
1552117067486,50847,15421,13446,31984,2557,8210,568675,456046,1,20
1552117068470,1052,14007,6114,19827,956,2101,291763,130949,1,20
1552117069489,62105,70210,13127,16940,13795,10124,604168,425589,1,20
1552117070489,46025,284610,19958,27699,5976,6598,706651,188248,1,20
1552117071456,24052,121586,25609,8416,8637,10642,1145058,169222,1,20
1552117072461,19643,47722,8637,7760,890,3071,164525,54723,1,20
1552117073457,9871,4006,4820,11440,1685,1691,73459,76270,1,20
1552117074441,5269,24003,7037,9415,1069,2925,1959471,22093,1,20
1552117075444,35963,101057,20513,58168,5329,3374,378891,283949,1,20
1552117076447,266278,234821,147214,31804,39788,65030,895689,583843,1,20
1552117077453,23205,108326,29702,42717,6979,5550,704029,308903,1,20
1552117078446,28352,116390,21834,33647,3956,8060,1055602,188459,1,20
1552117079446,351886,243564,97361,35304,13756,71670,1229089,1000049,1,20
1552117080430,34474,206413,31764,28707,8114,9776,1829342,107194,1,20
1552117081416,17386,48657,16035,38654,2747,3119,628079,291271,1,20
1552117082416,13477,18273,7687,9994,1644,1674,850982,24646,1,20
1552117083401,44824,104895,7569,21742,7091,3064,584890,183661,1,20
1552117084403,160629,232431,179973,54512,24905,34920,1652370,542322,1,20
1552117085406,1823,41535,4743,5562,1579,1413,81933,39901,1,20
1552117086385,44718,32061,24931,11983,4915,13720,833688,565366,1,20
1552117087396,5571,6621,5115,5363,1068,2691,107300,56404,1,20
1552117088372,52436,41040,20616,17359,5871,7681,941711,209512,1,20
1552117089372,313608,490546,126538,101850,21332,20075,1526722,493239,1,20
1552117090390,53084,76385,22047,33976,8877,9200,1342196,384277,1,20
1552117091370,3317,15909,4507,11889,2603,2099,284743,42710,1,20
1552117092365,28781,127156,17510,58138,3387,11760,1439145,245367,1,20
1552117093359,29403,50226,25222,35761,3918,3918,651630,161613,1,20
1552117094361,7452,65019,13617,40895,6037,6887,1416943,108165,1,20
1552117095343,26459,65910,40548,35102,5580,6635,1021513,637770,1,20
1552117096362,92381,69301,41627,22986,5300,6168,1251694,169677,1,20
1552117097334,16935,3240,3371,21843,2755,1516,1021701,94666,1,20
1552117098344,10729,15753,5577,3954,1319,1988,495018,133041,1,20
1552117099332,35043,140561,20719,28531,2946,9705,574939,51082,1,20
1552117100322,12892,20578,3800,13298,1306,973,150417,48205,1,20
1552117101312,65331,52184,26318,34711,6175,8522,489582,171574,1,20
1552117102318,10974,46731,25701,39903,4274,8031,1017554,101823,1,20
1552117103298,6623,37204,3964,13394,2271,1336,75900,99586,1,20
1552117104301,274453,224018,40170,340597,15538,72373,1892028,657121,1,20
1552117105300,10660,29103,3554,4818,608,1588,80857,45799,1,20
1552117106287,41567,16984,3869,9134,543,2710,477995,74376,1,20
1552117107290,4336,28490,4105,2759,440,1030,413493,69242,1,20
1552117108274,19782,6959,3024,4875,1570,1847,103146,100040,1,20
1552117109287,3031,17227,5708,16288,972,2041,102950,111694,1,20
