results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime,p27,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surpise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,p28,seconds2,arousal2,valence2,cheerful2,happy2,angry2,nervous2,sad2,boredom2,confusion2,delight2,concentration2,frustration2,surpise2,none_1_2,confrustion2,contempt2,dejection2,disgust2,eureka2,pride2,sorrow2,none_2_2
0.80214989, taking refuses can occur the like like a jobs in Jeju Island that is not because some because Yemen refuse it can supply labor domestic interest in the streets like there is a lack of Labor in some industry in Jeju Island by for some dangerous job or some taking risk risk were at the concert,0.91283858,49.7,49.3,taking,27,en-us,76.202404,,5,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.91283858,50.3,49.7,refuses,27,en-us,76.202404,,5,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.91283858,50.8,50.3,can,27,en-us,76.202404,,5,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.91283858,51.8,51.3,occur,27,en-us,76.202404,,5,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.91283858,52.4,51.8,the,27,en-us,76.202404,,5,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.91283858,53.4,53.0,like,27,en-us,76.202404,,5,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.91283858,53.8,53.4,like,27,en-us,76.202404,,5,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.91283858,54.3,53.8,a,27,en-us,76.202404,,5,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.91283858,54.9,54.3,jobs,27,en-us,76.202404,,10,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,10,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.91283858,55.4,55.1,in,27,en-us,76.202404,,10,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,10,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.63240832,55.7,55.4,Jeju,27,en-us,76.202404,,10,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,10,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.63240838,56.1,55.7,Island,27,en-us,76.202404,,10,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,10,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.71170932,56.5,56.1,that,27,en-us,76.202404,,10,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,10,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.72142464,56.7,56.5,is,27,en-us,76.202404,,10,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,10,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.89718527,57.0,56.7,not,27,en-us,76.202404,,10,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,10,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.69993216,57.6,57.0,because,27,en-us,76.202404,,10,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,10,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.75433499,58.1,57.6,some,27,en-us,76.202404,,10,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,10,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
,,0.91283858,58.8,58.4,because,27,en-us,76.202404,,10,5,2,1,1,1,3,1,,x,,,,,,,,x,,,,,,,10,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x
