,results/alternatives/0/transcript,results/resultEndTime
0,now you may begin okay so I think I will start with the fact that Korea is a developed country and the members of you and community members of United Nations and it's also one of the countries who which signed Refugee studies International Convention I think Korea has a duty to take part in the global effort to deal with this yam and civil Civil War which has been saved as a one of the most,29.977823s
1,no you may begin okay so I think I will start with the fact that Korea is a developed country and the members of you and community members of United Nations and it's also one of the countries who which sign Refugee studies International Convention I think Korea has a duty to take part in the global effort to deal with this yam and civil Civil War which has been saved as a one of the most,29.977823s
2," one of the worst human who met humanitarian crisis ever experienced in the 20th 21st century and I think Korea so far participate on a little compared to other countries such as Malaysia about 20,000 refugees stayed four 99-year in Malaysia and also in Germany there about hundreds thousands of refugees so I'll start with that and",59.995738s
3," one of the worst human human humanitarian crisis ever experienced in the twenty eighth twenty first century and I think Korea so far participate on a little compared to other countries such as Malaysia about 20,000 refugees State four 99-year in Malaysia and also in Germany there about hundreds of thousands of refugees so I'll start with that and",59.995738s
4, I also believe that public people of Korea mostly use fear and intuition in judging the issue and government have a responsibility to stick with the objective of that and deal with it more responsibly I think I'll stop them,80.101226s
5, I also believe that public people of Korea mostly use fear and intuition in judging the issue and government have a responsibility to stick with their objective data and deal with it more responsibly I think I'll stop there,80.351792s
6, here I partly agree with your idea and it's not like I'm saying I'm totally against accepting people from you man and he took an example of Malaysia and Germany but you have to consider that like cultural and the sentiment is really kind of different because you know Korea is like in your slowly opening up to mulch Multicultural Concepts and all that so people here are very slow conservative about all these issues so I'm not saying that we,112.143721s
7, yeah I partly agree with your idea and it's not like I'm saying I'm totally against accepting people from you man and you took an example of Malaysia and Germany but you have to consider that like cultural and the sentiment is really kind of different because you know Korea is like you know slowly opening up to mulch Multicultural Concepts and all that so people here are very slow conservative about all these issues so I'm not saying that we,112.143721s
8, of this whole like humanitarian approach to accepting people but aside from that we should have like legal institutions and systematic approach to how to stack people and sort of like integrate these people into the community so that should be the first assignment in Korean government and I'm not saying that we should just stop accepting all those people because of fear and intuition and xenophobic phobic is definitely not tolerated but there are aside from that there are many problems,142.121544s
9, of this whole like humanitarian approach to accepting people but aside from that we should have like legal institutions a systematic approach to how to stack people and sort of like integrate these people into the community so that should be the first assignment in Korean government and I'm not saying that we should just stop accepting all those people because of fear and intuition and xenophobic phobic is definitely not tolerated but there are aside from that there are many problems,142.121544s
10, in Korea as well which are happening in this country and you know the priority of Korea should be Korean people first so we should put Korean people first and there are diminished I heard that there are diminishing rate of Tours because there are many young men people there so people kind of feel like well this is not Korea so yes so I think we should consider accepting them,171.267486s
11, in Korea as well which are happening in this country and you know the priority of Korea should be Korean people first so we should put Green People First and there are diminished I heard that there are diminishing rate of Tours because there are many young men people there so people kind of feel like well this is not Korea so yeah so I think we should consider accepting them,171.267486s
12, in systematic manner not just accepting them and humanitarian,177.301136s
13, in systematic manner not just accepting them and humanitarian,177.321182s
14, okay so I think many of the problems like economic problems Etc when related to the Yemen issue I think it's blown out of proportion because right now the Yemen refugees are only about 500 and it's not going to affect too much into the Korean economy and I think increasing it is it's not going to affect too much into the big scale of the Korean economy and also I have doubt that,209.203314s
15, okay so I think many of the problems like economic problems Etc when related to the Yemen issue I think it's blown out of proportion because right now the Yemen Refugee is only about 500 and it's not going to affect too much into the Korean economy and I think increasing it it's not going to affect too much into the big scale of the Korean economy and also I have doubt that,209.233382s
16, the tourists is affected like tourists Jeju Island to is going to judge you island is affected because there are more young people because again the numbers only 500 and also,221.831885s
17, the tourists is affected like tyr's Jeju Island to is going to judge your island is affected because there are more young people because again the numbers only 500 and also,221.871976s
18, I think I heard also the case where there is a murder like a corpse is found and it's like people are saying well this is because of the refugee and everything but it turns out to be false so I think yeah many of these issues are blown out of proportion,241.766988s
19, I think I heard also the case where there's a murder like a corpse is found and it's like people are saying well this is because of the refugee and everything but it turns out to be false so I think yeah many of these issues are blown out of proportion,241.967441s
20, yeah I think in a condemnation tore them without any you know sort of justifiable reason is not acceptable and you said it's a slow proportion and maybe it is it is small portion proportionate absolute number but I think how people actually feel feel about the number is not small because Korea is not really that,271.905174s
21, yeah I think you know condemnation tore them without any you know sort of justifiable reason is not acceptable and you said it's a slow proportion and maybe it is it is small portion proportionate absolute number but I think how people actually feel feel about the number is not small because Korea is not really that acquainted with you know sort of like living together with people,274.911977s
22, Tidwell you know sort of like living together with people from different cultures and all that so I'm not and also I read in the news article that there are not like enough like shelter and like system systems I can actually provide them provides them like comfort and safety so we should so maybe it's a small proportion but for now everything is sort of drastic and too soon for Koreans to actually come up with a graph,301.882997s
23, from different cultures and all that so I'm not and also I read in the news article that there are not like enough like shelter and like system systems I can actually provide them provides them like comfort and safety so we should so maybe it's a small Port proportion but for now everything is sort of drastic and too soon for Korean sexually come up with resolutions to accept more people so I think,304.889800s
24, solutions to accept more people so I think maybe slowly accepting them is okay for people to actually get used to their culture and all that and sort of get over the you know hatred and fear to just you know kick kick kick them out of the country so that is acceptable and I I sort of agree with people fear because in cases like Germany Peach Germany actually assess accepted a lot of refugees,331.900912s
25, think maybe slowly accepting them is okay for people to actually get used to their culture and all that and sort of get over the you know hatred and fear to seeing a kick kick them out of the country so that is acceptable and I I sort of agree with people fear because in cases like Germany P Germany actually assess accepted a lot of refugees and you know like cases where like,334.907715s
26, you know like cases where like people from Siberia like mert like right Germany girls like saying that it's like Collective rate like called tacos so sort of cases they that people get from Korean people get from like news sort of threatens and so you I think it's I think it's it's bad to just you know blame them without any reason but I also I think I can under as a Korean,362.029076s
27, people from so I really like Merck like right Germany girls like saying that it's like Collective rate like called tacos so sort of cases they that people get from Korean people get from like news sort of threatens them so you I think it's I think it's it's bad to just you know blame them without any reason but I also I think I can under as a Korean I can understand that people fear,365.075969s
28, and understand that people fear so yeah that kind of tragic incident happened and it's very sad but I would say that it's very underrated cases and usually the media is the one to blame which like blow it out of proportion so that people get to fear Foreigner Foreigner are raping girls and everything,392.006899s
29, okay so yeah that kind of tragic incident happened and it's very sad but I would say that it's very underrated cases and usually the media is the one to blame which like blow it out of proportion so that people get to fear Foreigner Foreigner are raping girls and everything so again I think the,395.735334s
30, thing so again I think the task of Korean government and Korea and educated people are too yeah to educate general public that this these are not the case this this this case are just minority is just not really because these people need help immediately something like that so that and also okay so you mentioned that accepting the,422.024814s
31, of Korean government and Korea and educated people are too yeah to educate general public that this these are not the case this this this case are just minority is just not really because these people need help immediately something like that so that and also okay so you mentioned that accepting them eventually will be okay but looking from the post,425.713157s
32, eventually we'll be okay but looking from the posters and the protest that people people bring paper saying fake refugees and everything I doubt that if there is no change Korean like this professor will change their attitude toward foreigners so I don't really buy that even making like more making slower effort to accept refugees to Korea would change people at,452.002637s
33, ders and the protest that people people bring paper saying fake refugees and everything I doubt that if there is no change Korean like these Professor will change their attitude toward foreigners so I don't really buy that even making like more making slower effort to accept refugees to Korea would change people attitude so I think yeah Korean people need to,455.731072s
34, to do so I think yeah Korean people need to okay need to have more drastic and more dramatic yeah more changes more drastic,463.829395s
35, okay need to have more drastic and more dramatic yeah more changes more drastic,463.859462s
36, well first off in my opinion people who actually like to put take part in the sort of like protest or people who have really sort of extreme stance against like foreigners and they don't really have like Justified reason or like Logic for that so I'm sorry for that but what well and I think accepting them for their safety and all that is acceptable and but my one concern is that actually we have,494.438647s
