,results/channelTag,results/languageCode,results/resultEndTime,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word
1,2,en-us,2.315238s,0.68685448,carrots,0.68685448,0.600s,0s,carrots
2,2,en-us,6.745260s,0.77071786, this,0.77071786,6.100s,5.700s,this
3,1,en-us,6.955737s,0.91283858,this,0.91283858,6.200s,5.700s,this
4,2,en-us,26.590159s,0.85278285, at first some people say that taking refugees can some people some Korean people say that taking if yours is paint eggs and toast from the original,0.73534071,9.400s,9.300s,at
31,1,en-us,27.722721s,0.83580786, first some people say that taking refuses can search some people some Korean people say that taking refuses came take some just from the original,0.91283858,10.200s,9.400s,first
56,2,en-us,33.475737s,0.91283858, yeah,0.91283858,32.500s,32.200s,yeah
57,1,en-us,33.535873s,0.91283858, yeah,0.91283858,32.500s,32.200s,yeah
58,2,en-us,36.552698s,0.54727769, we'll restart,0.44653571,35.400s,34.900s,we'll
60,1,en-us,36.652925s,0.56002814, we'll restart,0.4574118,35.400s,34.900s,we'll
62,2,en-us,42.496145s,0.8036418, so your time starts now,0.91283858,38s,37.500s,so
67,1,en-us,42.596372s,0.80057269, so your time starts now,0.91283858,38s,37.500s,so
74,1,en-us,76.202404s,0.80214989, taking refuses can occur the like like a jobs in Jeju Island that is not because some because Yemen refuse it can supply labor domestic interest in the streets like there is a lack of Labor in some industry in Jeju Island by for some dangerous job or some taking risk risk were at the concert,0.91283858,49.700s,49.300s,taking
130,2,en-us,76.232472s,0.77482349, taking refuses K or corroded like like jobs in Jeju Island but it's not because some because we are men music can supply labor domestic interest Industries like there is a lack of Labor in some industry in Jeju Island by for some dangerous job or some taking risk risk for that deposit,0.91283858,49.700s,49.300s,taking
183,1,en-us,106.691384s,0.69729102, Korean people Windows you have Tendencies to avoid dangerous stuff dangerous jobs so taking any reviews can can help to help to supply labor for that dangerous Industries and also print this Korean people need for you to have humanitarian attitude game,0.91283858,78.400s,78s,Korean
225,2,en-us,106.982041s,0.90254027, Korean people Windows you have Tendencies to avoid dangerous stuff dangerous jobs so taking any revisions can can help to help to supply labor for that dangerous Industries and also Korean this is Korean people need for did you have humanitarian attitude young too,0.91283858,78.400s,78s,Korean
269,2,en-us,118.768707s,0.72743016, my reduces because yema refuses surgeon into Korea Korea to Syria situation not for seeking a job but sticking for taking their life,0.91283858,107.400s,107.200s,my
292,1,en-us,118.778731s,0.70566839, my refuses because Yemen refuses surgeon into Korea Korea to Syria situation not worth taking a job but sticking for a second day of your life,0.78004128,107.400s,107.200s,my
318,2,en-us,149.458141s,0.75098217, in history while Korea was under Japanese Rule and provisionals government what's that up in Shanghai Korean ancestors were also political Affairs has also Koreans are not away from this issue after print were there were a lot of Korean refuses like Yemen so this could happen to us too so there,0.91283858,121.900s,121.700s,in
370,1,en-us,149.488210s,0.79543865, in history while Korea was under Japanese Rule and provisional government what's that up in Shanghai Korean ancestors were also political with this is also Koreans are not away from this issue after green were there were a lot of Korean burger places like Yemen so this could happen to us too so there,0.91283858,121.900s,121.600s,in
424,2,en-us,155.982903s,0.9114666, with some humanitarian attitude for decision,0.91283858,149.900s,149.500s,with
430,1,en-us,156.012972s,0.80028689, some humanitarian attitude for decision,0.72790933,150.600s,149.900s,some
435,2,en-us,189.278232s,0.77694553, you said reduce are only taking part jobs which Koreans don't want to take but as you know or young people there is very high unemployment rate and even though they take only the hard jobs young people can feel the other risk and,0.91283858,161.100s,160.900s,you
479,1,en-us,189.388483s,0.81236231, this is our only taking heart drops which Koreans don't want to take but as you know or young people there is very high unemployment rate and even though they take only the hard jobs young people can feel the other risk and,0.91283858,161.200s,160.900s,this
522,1,en-us,219.917554s,0.89516407, the problem is that we cannot tell which one is the fake Refugee and in early 2015 some big refugees went to Europe to take jobs and there are also rumors that the refugees are refusing to take hard jobs in the Dryland and they also complained about their salary so this this means that they are not,0.91283858,190.200s,190.100s,the
