,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.83487064,okay let's turn before start maybe you can understand my sentence or statement because and maybe in my slot I'm not very good at English and I'm that blunt so if we can understand that as me yes master I agree with the issue of Germany's Refugee acceptance,0.91283858,3s,2.500s,okay,1,en-us,30.970068s
48,0.88496077,okay the first are maybe you cannot understand my sentence or statement because and maybe it myself I'm not very good at English and I'm the president so if we can understand that ask me yes I agree with the issue of Germany's Refugee acceptance,0.91283858,3.100s,2.500s,okay,2,en-us,30.980091s
93,0.77785546,with main three regions at the fir first I think there's no reason why we have to designate specific country people why a man is how about others or Chinese or Japanese or other East Asian Europeans Americans,0.91283858,32.400s,31.800s,with,1,en-us,54.663674s
131,0.85477328,with main three regions the fir first I think there's no reason why we have to designate specific country people why Yemen is how about others or Chinese or Japanese or other East Asian Europeans Americans,0.91283858,32.300s,31.800s,with,2,en-us,54.673697s
167,0.83229351, so I think there's no proper reason in that issue and second although public opinion is also important but yemenis Refugee Heaven cause critical issues people in Korea in myself,0.91283858,55.800s,55.300s,so,2,en-us,75.210160s
197,0.86344826, so I think there's no proper reason in that issue and second although public opinion is also important but Yemen is Refugee Heaven cause critical issues before you in Korea in myself,0.91283858,55.800s,55.300s,so,1,en-us,75.250250s
229,0.86401707, yeah and finally from a legal point of view Korea is not traditional and classic our nation our nation in Korean I mean joke,0.91283858,77s,76.600s,yeah,1,en-us,90.244173s
253,0.88002777, yeah and finally from a legal point of view Korea is not traditional and classic our nation our nation in Korean I mean joke,0.91283858,77s,76.600s,yeah,2,en-us,90.374468s
277,0.84241742, our country defined in the constitution is a multicultural country if we prohibit them then it is against the Constitution,0.91283858,91.900s,91.600s,our,2,en-us,104.446305s
297,0.82283676, our country defined in the constitution is a multicultural country if we prohibit them then it is against the Constitution,0.91283858,91.900s,91.600s,our,1,en-us,104.506441s
317,0.91283864, Constitution against humble yes so because of these reasons I agree with,0.91283858,106.200s,105.300s,Constitution,2,en-us,115.000183s
329,0.69285649, Constitution beings combo so because of these reasons I agree with,0.81361002,106.200s,105.200s,Constitution,1,en-us,115.130477s
340,0.81344008, Refugee acceptance,0.91283858,117.700s,117.300s,Refugee,2,en-us,118.758686s
342,0.35801345, acceptance,0.35801345,117s,116.900s,acceptance,1,en-us,118.768708s
344,0.77613431, first one thing that I couldn't really understand this referring to Chinese and Japanese so like the definition of refugees or like refrigerator supposed to be refugees because they have certain problems in their countries that were or religious problems but then in Japan,0.91283858,131s,130.400s,first,2,en-us,155.070841s
388,0.80358195, first one thing that I couldn't really understand this referring to Chinese and Japanese so like the definition of refugees or refuges are supposed to be refugees because they have certain problems in their countries that were or religious problems but then in Japan,0.91283858,131s,130.400s,first,1,en-us,155.110931s
432,0.75138289, there are some problems in China and those people can like apply for being Korean refugees but then I don't know about any water or really just problems in Japan so and many other like European countries it's mostly the middle is to confuse that have were and refugees,0.91283858,155.900s,155.700s,there,2,en-us,179.275603s
481,0.85544825, there are some problems in China and those people can like apply for being Korean refugees but I don't know about any water or religious problems in Japan so and many other like European countries it's mostly the middle is two countries that have were and Refugee problem,0.91283858,155.900s,155.700s,there,1,en-us,179.456011s
529,0.91283858, so,0.91283858,182.500s,181.900s,so,2,en-us,183.054152s
530,0.72901338, there,0.72901338,184.400s,183.700s,there,2,en-us,184.938415s
531,0.8660351, so there,0.91018444,182.500s,181.900s,so,1,en-us,185.038641s
533,0.91283822, one of the main reasons that I disagree with accepting refugees is that the problem in Yemen and many other countries that like Syria it's mostly the problem of religion and so this religious problem is did to Islam and like Islam has mainly to Ghost sunnis and Shiites as far as I remember and these two groups are fighting,0.91283858,187.400s,187.200s,one,2,en-us,216.610071s
593,0.91283822, one of the main reason that I disagree with accepting refugees is that the problem in Yemen and many other countries that like Syria it's mostly the problem of religion and so this religious problem is due to Islam and like Islam has mainly two groups sunnis and Shiites as far as I remember and these two groups are fighting,0.91283858,187.300s,187.100s,one,1,en-us,216.620093s
