results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0.83487064,okay let's turn before start maybe you can understand my sentence or statement because and maybe in my slot I'm not very good at English and I'm that blunt so if we can understand that as me yes master I agree with the issue of Germany's Refugee acceptance,0.91283858,3s,2.500s,okay,1,en-us,30.970068s
0.83487064,,0.91283858,3.400s,3.100s,let's,1,en-us,30.970068s
0.83487064,,0.91283858,3.700s,3.400s,turn,1,en-us,30.970068s
0.83487064,,0.91283858,4.600s,4.300s,before,1,en-us,30.970068s
0.83487064,,0.91283858,5.300s,4.600s,start,1,en-us,30.970068s
0.83487064,,0.91283858,6.800s,6.500s,maybe,1,en-us,30.970068s
0.83487064,,0.91283858,6.900s,6.800s,you,1,en-us,30.970068s
0.83487064,,0.91283858,7.300s,6.900s,can,1,en-us,30.970068s
0.83487064,,0.91283858,8s,7.300s,understand,1,en-us,30.970068s
0.83487064,,0.91283858,8.600s,8s,my,1,en-us,30.970068s
0.83487064,,0.91283858,9.800s,9.400s,sentence,1,en-us,30.970068s
0.83487064,,0.91283858,10.500s,9.800s,or,1,en-us,30.970068s
0.83487064,,0.91283858,11.200s,10.500s,statement,1,en-us,30.970068s
0.83487064,,0.91283858,12s,11.300s,because,1,en-us,30.970068s
0.83487064,,0.91283858,13.200s,12.700s,and,1,en-us,30.970068s
0.83487064,,0.91283858,14.100s,13.600s,maybe,1,en-us,30.970068s
0.83487064,,0.91283858,14.200s,14.100s,in,1,en-us,30.970068s
0.83487064,,0.91283858,14.400s,14.200s,my,1,en-us,30.970068s
0.83487064,,0.91283858,14.900s,14.400s,slot,1,en-us,30.970068s
0.83487064,,0.91283858,15.200s,15s,I'm,1,en-us,30.970068s
0.83487064,,0.91283858,15.700s,15.200s,not,1,en-us,30.970068s
0.83487064,,0.91283858,16.100s,15.800s,very,1,en-us,30.970068s
0.83487064,,0.91283858,16.400s,16.100s,good,1,en-us,30.970068s
0.83487064,,0.91283858,16.700s,16.400s,at,1,en-us,30.970068s
0.83487064,,0.91283858,17.600s,16.900s,English,1,en-us,30.970068s
0.83487064,,0.91283858,17.800s,17.700s,and,1,en-us,30.970068s
0.83487064,,0.91283858,18s,17.800s,I'm,1,en-us,30.970068s
0.83487064,,0.65572071,18.300s,18s,that,1,en-us,30.970068s
0.83487064,,0.65577841,18.800s,18.300s,blunt,1,en-us,30.970068s
0.83487064,,0.72410357,19.300s,18.900s,so,1,en-us,30.970068s
0.83487064,,0.91283858,20.100s,20s,if,1,en-us,30.970068s
0.83487064,,0.69488728,20.200s,20.100s,we,1,en-us,30.970068s
0.83487064,,0.70849752,20.600s,20.200s,can,1,en-us,30.970068s
0.83487064,,0.90333015,21.400s,20.600s,understand,1,en-us,30.970068s
0.83487064,,0.68734175,22s,21.400s,that,1,en-us,30.970068s
0.83487064,,0.64186954,22.600s,22.400s,as,1,en-us,30.970068s
0.83487064,,0.70578825,22.900s,22.600s,me,1,en-us,30.970068s
0.83487064,,0.72877079,24s,23.600s,yes,1,en-us,30.970068s
0.83487064,,0.60545689,25s,24.500s,master,1,en-us,30.970068s
0.83487064,,0.7079376,26s,25.900s,I,1,en-us,30.970068s
0.83487064,,0.86613506,26.400s,26s,agree,1,en-us,30.970068s
0.83487064,,0.71975291,26.800s,26.400s,with,1,en-us,30.970068s
0.83487064,,0.83694953,27.300s,27.100s,the,1,en-us,30.970068s
0.83487064,,0.88997126,27.800s,27.300s,issue,1,en-us,30.970068s
0.83487064,,0.60371131,28.100s,27.800s,of,1,en-us,30.970068s
0.83487064,,0.73985779,28.700s,28.100s,Germany's,1,en-us,30.970068s
0.83487064,,0.7220245,29.600s,28.700s,Refugee,1,en-us,30.970068s
0.83487064,,0.71643168,30.600s,29.700s,acceptance,1,en-us,30.970068s
0.88496077,okay the first are maybe you cannot understand my sentence or statement because and maybe it myself I'm not very good at English and I'm the president so if we can understand that ask me yes I agree with the issue of Germany's Refugee acceptance,0.91283858,3.100s,2.500s,okay,2,en-us,30.980091s
0.88496077,,0.91283858,4.400s,4.300s,the,2,en-us,30.980091s
0.88496077,,0.91283858,4.800s,4.400s,first,2,en-us,30.980091s
0.88496077,,0.91283858,5.100s,4.800s,are,2,en-us,30.980091s
0.88496077,,0.91283858,6.800s,6.500s,maybe,2,en-us,30.980091s
0.88496077,,0.91283858,7s,6.800s,you,2,en-us,30.980091s
0.88496077,,0.89508325,7.300s,7s,cannot,2,en-us,30.980091s
0.88496077,,0.91283858,8s,7.300s,understand,2,en-us,30.980091s
0.88496077,,0.91283858,8.600s,8s,my,2,en-us,30.980091s
0.88496077,,0.91283858,9.800s,9.400s,sentence,2,en-us,30.980091s
0.88496077,,0.91283858,10.500s,9.800s,or,2,en-us,30.980091s
0.88496077,,0.91081238,11.200s,10.500s,statement,2,en-us,30.980091s
0.88496077,,0.91283858,12s,11.300s,because,2,en-us,30.980091s
0.88496077,,0.91283858,13.100s,12.700s,and,2,en-us,30.980091s
