timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time,seconds,arousal,valence,happy,angry,nervous,sad
1548120816509,22684,18354,7832,19801,1349,1340,142849,72159,1,2,1548120815524.0,0.985,718.326,5.0,3.0,2.667,1.333,1.0,1.667,1.0
1548120817513,15363,16479,11005,20999,8034,6577,799303,202767,1,2,1548120816509.0,1.004,719.33,5.0,3.0,2.667,1.333,1.0,1.667,1.0
1548120818493,14955,5324,5170,5751,2593,2420,9224,18851,1,2,1548120817513.0,0.98,720.31,5.0,3.0,2.667,1.333,1.0,1.667,1.0
1548120819496,118851,101371,98118,158762,31131,41655,1960885,807374,1,2,1548120818493.0,1.003,721.313,5.0,3.0,2.667,1.333,1.0,1.667,1.0
1548120820497,1871,2055,417,1648,108,211,353351,7829,1,2,1548120819496.0,1.001,722.314,5.0,3.0,2.667,1.333,1.0,1.667,1.0
1548120821505,41881,16222,20633,25905,5403,8758,1499985,251251,1,2,1548120820497.0,1.008,723.322,5.0,3.0,2.667,1.333,1.0,1.667,1.0
1548120822486,3621,1802,7224,5738,955,585,668562,65339,1,2,1548120821505.0,0.981,724.303,10.0,3.333,3.0,1.333,1.0,2.0,1.0
1548120823510,38530,61423,25069,20538,3653,9714,181777,75357,1,2,1548120822486.0,1.024,725.327,10.0,3.333,3.0,1.333,1.0,2.0,1.0
1548120824483,69793,32340,20106,13950,6379,12731,298224,384267,1,2,1548120823510.0,0.973,726.3,10.0,3.333,3.0,1.333,1.0,2.0,1.0
1548120825467,40323,226680,103118,173089,14806,22902,1803168,272111,1,2,1548120824483.0,0.984,727.284,10.0,3.333,3.0,1.333,1.0,2.0,1.0
1548120826464,3401,773,2185,1254,626,1009,1225617,29539,1,2,1548120825467.0,0.997,728.281,10.0,3.333,3.0,1.333,1.0,2.0,1.0
1548120827468,9674,16340,1260,2541,522,905,359437,23423,1,2,1548120826464.0,1.004,729.285,10.0,3.333,3.0,1.333,1.0,2.0,1.0
1548120828470,3432,3131,1939,3840,446,957,123862,25352,1,2,1548120827468.0,1.002,730.287,15.0,3.333,2.667,1.333,1.0,2.333,1.0
1548120829453,12356,23313,7993,18475,4073,20018,67961,77646,1,2,1548120828470.0,0.983,731.27,15.0,3.333,2.667,1.333,1.0,2.333,1.0
1548120830452,25855,11281,6022,4069,830,2988,2318390,14110,1,2,1548120829453.0,0.999,732.269,15.0,3.333,2.667,1.333,1.0,2.333,1.0
1548120831454,22569,20567,49535,25222,16258,10390,841531,43208,1,2,1548120830452.0,1.002,733.271,15.0,3.333,2.667,1.333,1.0,2.333,1.0
