results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,reult/alternative/0/word/0/tartTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime
0.91273385,it starts not when you make me did you know how USA become the strongest country in the world that was because of the refugees the USA has started from the refugees of Mayflower in 1620 from the English from the English by the religious religious thing,0.90792853,0.2,0.2,it,19,en-us,20.506395
0.91273385,,0.91283858,0.9,0.2,starts,19,en-us,20.506395
0.91273385,,0.91283858,1.4,1.1,not,19,en-us,20.506395
0.91273385,,0.91283858,1.6,1.4,when,19,en-us,20.506395
0.91273385,,0.91283858,1.7,1.6,you,19,en-us,20.506395
0.91273385,,0.91283858,1.9,1.7,make,19,en-us,20.506395
0.91273385,,0.91283858,2.1,1.9,me,19,en-us,20.506395
0.91273385,,0.91283858,2.5,2.3,did,19,en-us,20.506395
0.91273385,,0.91283858,2.5,2.5,you,19,en-us,20.506395
0.91273385,,0.91283858,2.9,2.5,know,19,en-us,20.506395
0.91273385,,0.91283858,3.2,2.9,how,19,en-us,20.506395
0.91273385,,0.91283858,3.6,3.2,USA,19,en-us,20.506395
0.91273385,,0.91283858,4.0,3.6,become,19,en-us,20.506395
0.91273385,,0.91283858,4.2,4.0,the,19,en-us,20.506395
0.91273385,,0.91283858,4.8,4.2,strongest,19,en-us,20.506395
0.91273385,,0.91283858,5.2,4.8,country,19,en-us,20.506395
0.91273385,,0.91283858,5.3,5.2,in,19,en-us,20.506395
0.91273385,,0.91283858,5.4,5.3,the,19,en-us,20.506395
0.91273385,,0.91283858,5.9,5.4,world,19,en-us,20.506395
0.91273385,,0.91283858,6.2,6.0,that,19,en-us,20.506395
0.91273385,,0.91283858,6.5,6.2,was,19,en-us,20.506395
0.91273385,,0.91283858,6.8,6.5,because,19,en-us,20.506395
0.91273385,,0.91283858,6.9,6.8,of,19,en-us,20.506395
0.91273385,,0.91283858,7.1,6.9,the,19,en-us,20.506395
0.91273385,,0.91283858,7.8,7.1,refugees,19,en-us,20.506395
0.91273385,,0.91283858,8.4,8.3,the,19,en-us,20.506395
0.91273385,,0.91283858,9.0,8.4,USA,19,en-us,20.506395
0.91273385,,0.91283858,9.3,9.0,has,19,en-us,20.506395
