,Unnamed: 0,results/alternatives/0/confidence,full_transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,word,results/channelTag,results/languageCode,reult/reultEndTime,p1,seconds,arousal,valence,happy,angry,nervous,sad,p2,seconds2,arousal2,valence2,happy2,angry2,nervous2,sad2,new_words,p1_trans,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,p2_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
0,0,0.76509905,all right first one the state for this accepting this refugees arrived in this especially in many Arab Jesus arrived in Jeju Allah first of all I want to mention that the current movement in South Korea against against this year many refugees are pretty much standard phobic activity,0.91283858,2.4,2.3,all,2,en-us,25.888572,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0,all right first one the state for this accepting this refugees,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0
1,1,0.76509905,,0.91283858,3.0,2.4,right,2,en-us,25.888572,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0,arrived in this especially in many Arab Jesus arrived in,,10.0,1.667,2.667,1.667,1.0,1.333,1.0,,10.0,3.333,3.0,1.333,1.0,2.0,1.0
2,2,0.76509905,,0.91283858,3.3,3.0,first,2,en-us,25.888572,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0,Jeju Allah first of all I want to mention that the current,,15.0,2.0,2.667,1.333,1.0,1.333,1.0,,15.0,3.333,2.667,1.333,1.0,2.333,1.0
3,3,0.76509905,,0.91283858,3.4,3.3,one,2,en-us,25.888572,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0,movement in South Korea against against this year many refugees are,,20.0,2.0,3.0,1.333,1.0,1.333,1.0,,20.0,3.667,2.667,1.333,1.0,2.333,1.0
4,4,0.76509905,,0.91283858,3.5,3.4,the,2,en-us,25.888572,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0,pretty much standard phobic activity because,,25.0,2.0,3.0,1.333,1.0,1.333,1.0,,25.0,3.333,2.667,1.333,1.0,2.333,1.0
5,5,0.76509905,,0.91283858,4.1,3.5,state,2,en-us,25.888572,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0,right now those refugees are arrived and those refugees arrived in Jeju,,30.0,2.667,3.333,1.333,1.0,1.333,1.0,,30.0,3.333,2.667,1.333,1.0,2.333,1.0
6,6,0.76509905,,0.91283858,5.5,4.9,for,2,en-us,25.888572,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0,Island and are under intense examination of whether they are really lawful refugees and their Korean law or not,,35.0,2.667,3.333,1.333,1.0,1.333,1.0,,35.0,3.333,3.0,1.333,1.0,2.333,1.0
7,7,0.76509905,,0.91283858,6.1,5.5,this,2,en-us,25.888572,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0,and of course since they well at least,,40.0,2.667,3.0,1.333,1.0,1.333,1.0,,40.0,4.0,3.333,1.333,1.0,1.667,1.0
8,8,0.76509905,,0.71849149,7.0,6.6,accepting,2,en-us,25.888572,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0,they're claiming that they are fleeing from those conflicts and persecution and we all know that Yemen has,,45.0,2.333,2.667,1.333,1.0,1.667,1.0,,45.0,3.333,3.333,1.333,1.0,1.667,1.0
9,9,0.76509905,,0.75170672,7.2,7.0,this,2,en-us,25.888572,,5.0,1.333,2.667,1.667,1.0,1.333,1.0,,5.0,3.0,2.667,1.333,1.0,1.667,1.0,currently undergoing this Civil War and we I know that if I call,,50.0,3.0,2.333,1.333,1.0,2.0,1.0,,50.0,3.333,3.0,1.333,1.0,2.0,1.0
