,Unnamed: 0,reult/alternative/0/confidence,full_transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,word,results/channelTag,results/languageCode,reult/reultEndTime,p25,seconds,arousal,valence,happy,angry,nervous,sad,p26,seconds2,arousal2,valence2,happy2,angry2,nervous2,sad2,new_words,p25_trans,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,p26_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
0,0,0.84681356,we'll start now okay in my opinions about your Refugee from Gmail in South Korea at Jeju Islands I think that is would be have some positive benefits if the Korean government letter reality into the country with some restrictions,0.91283858,0.9,0.6,we'll,26,en-us,25.778322,,5.0,2.333,3.333,1.333,1.0,1.333,1.0,,5.0,2.333,4.0,1.667,1.0,1.667,1.0,we'll start now okay in my opinions about your,,5.0,2.333,3.333,1.333,1.0,1.333,1.0,,5.0,2.333,4.0,1.667,1.0,1.667,1.0
1,1,0.84681356,,0.91283858,1.5,0.9,start,26,en-us,25.778322,,5.0,2.333,3.333,1.333,1.0,1.333,1.0,,5.0,2.333,4.0,1.667,1.0,1.667,1.0,Refugee from Gmail in South Korea at Jeju Islands,,10.0,2.333,3.0,1.333,1.0,1.333,1.0,,10.0,2.333,3.667,1.667,1.0,1.667,1.0
2,2,0.84681356,,0.91283858,2.1,1.6,now,26,en-us,25.778322,,5.0,2.333,3.333,1.333,1.0,1.333,1.0,,5.0,2.333,4.0,1.667,1.0,1.667,1.0,I think that is would be have some positive,,15.0,2.333,3.0,1.333,1.0,1.333,1.0,,15.0,2.333,3.667,1.667,1.0,1.667,1.0
3,3,0.84681356,,0.91283858,3.0,2.6,okay,26,en-us,25.778322,,5.0,2.333,3.333,1.333,1.0,1.333,1.0,,5.0,2.333,4.0,1.667,1.0,1.667,1.0,benefits if the Korean government letter reality,,20.0,2.333,3.0,1.333,1.0,1.333,1.0,,20.0,2.333,3.667,1.333,1.0,1.667,1.0
4,4,0.84681356,,0.91283858,4.3,4.0,in,26,en-us,25.778322,,5.0,2.333,3.333,1.333,1.0,1.333,1.0,,5.0,2.333,4.0,1.667,1.0,1.667,1.0,into the country with some restrictions and more over than that,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0
5,5,0.84681356,,0.91283858,4.5,4.3,my,26,en-us,25.778322,,5.0,2.333,3.333,1.333,1.0,1.333,1.0,,5.0,2.333,4.0,1.667,1.0,1.667,1.0,the Koreans has already decided to un Refugee convention,,30.0,2.333,3.0,1.333,1.0,1.333,1.0,,30.0,2.333,3.667,1.333,1.0,1.667,1.0
6,6,0.84681356,,0.91283858,5.0,4.5,opinions,26,en-us,25.778322,,5.0,2.333,3.333,1.333,1.0,1.333,1.0,,5.0,2.333,4.0,1.667,1.0,1.667,1.0,in 1991 22,,35.0,2.333,3.0,1.333,1.0,1.333,1.0,,35.0,2.333,3.667,1.333,1.0,1.667,1.0
7,7,0.84681356,,0.91283858,5.3,5.0,about,26,en-us,25.778322,,5.0,2.333,3.333,1.333,1.0,1.333,1.0,,5.0,2.333,4.0,1.667,1.0,1.667,1.0,to approve or to,,40.0,2.333,3.0,1.333,1.0,1.333,1.0,,40.0,2.333,3.667,1.333,1.0,1.667,1.0
8,8,0.84681356,,0.91283858,5.6,5.3,your,26,en-us,25.778322,,5.0,2.333,3.333,1.333,1.0,1.333,1.0,,5.0,2.333,4.0,1.667,1.0,1.667,1.0,guarantee the status of refugee in the state something,,45.0,2.333,3.0,1.333,1.0,1.333,1.0,,45.0,2.333,3.667,1.333,1.0,1.667,1.0
9,9,0.84681356,,0.91283858,6.5,5.6,Refugee,26,en-us,25.778322,,10.0,2.333,3.0,1.333,1.0,1.333,1.0,,10.0,2.333,3.667,1.667,1.0,1.667,1.0,that has and also to compare to another country,,50.0,2.333,3.0,1.333,1.0,1.333,1.0,,50.0,2.667,3.667,1.333,1.0,1.667,1.0
