,Unnamed: 0,results/alternatives/0/confidence,full_transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,word,results/channelTag,results/languageCode,reult/reultEndTime,p31,seconds,arousal,valence,happy,angry,nervous,sad,p32,seconds2,arousal2,valence2,happy2,angry2,nervous2,sad2,new_words,p31_trans,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,p32_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
0,0,0.88496077,okay the first are maybe you cannot understand my sentence or statement because and maybe it myself I'm not very good at English and I'm the president so if we can understand that ask me yes I agree with the issue of Germany's Refugee acceptance,0.91283858,3.1,2.5,okay,31,en-us,30.980091,,5.0,3.333,4.0,2.333,1.0,1.333,1.0,,5.0,3.667,3.333,2.0,1.0,1.667,1.0,okay the first are maybe you cannot understand,,5.0,3.333,4.0,2.333,1.0,1.333,1.0,,5.0,3.667,3.333,2.0,1.0,1.667,1.0
1,1,0.88496077,,0.91283858,4.4,4.3,the,31,en-us,30.980091,,5.0,3.333,4.0,2.333,1.0,1.333,1.0,,5.0,3.667,3.333,2.0,1.0,1.667,1.0,my sentence or statement because and maybe it myself,,10.0,3.333,3.667,2.333,1.0,1.333,1.0,,10.0,3.667,3.333,2.0,1.0,1.667,1.0
2,2,0.88496077,,0.91283858,4.8,4.4,first,31,en-us,30.980091,,5.0,3.333,4.0,2.333,1.0,1.333,1.0,,5.0,3.667,3.333,2.0,1.0,1.667,1.0,I'm not very good at English and I'm the president so,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0
3,3,0.88496077,,0.91283858,5.1,4.8,are,31,en-us,30.980091,,5.0,3.333,4.0,2.333,1.0,1.333,1.0,,5.0,3.667,3.333,2.0,1.0,1.667,1.0,if we can understand that ask me yes I,,20.0,3.667,3.667,2.333,1.0,1.333,1.0,,20.0,4.0,4.0,2.0,1.0,1.333,1.0
4,4,0.88496077,,0.91283858,6.8,6.5,maybe,31,en-us,30.980091,,5.0,3.333,4.0,2.333,1.0,1.333,1.0,,5.0,3.667,3.333,2.0,1.0,1.667,1.0,agree with the issue of Germany's Refugee acceptance,,25.0,3.667,3.667,2.333,1.0,1.333,1.0,,25.0,3.333,3.0,1.667,1.333,1.667,1.0
5,5,0.88496077,,0.91283858,7.0,6.8,you,31,en-us,30.980091,,5.0,3.333,4.0,2.333,1.0,1.333,1.0,,5.0,3.667,3.333,2.0,1.0,1.667,1.0,with main three regions the fir first,,30.0,3.667,3.667,2.333,1.0,1.333,1.0,,30.0,2.667,3.0,1.667,1.333,1.667,1.0
6,6,0.88496077,,0.89508325,7.3,7.0,cannot,31,en-us,30.980091,,5.0,3.333,4.0,2.333,1.0,1.333,1.0,,5.0,3.667,3.333,2.0,1.0,1.667,1.0,I think there's no reason why we have to,,35.0,3.333,4.0,2.0,1.0,1.333,1.0,,35.0,2.667,2.667,1.333,1.333,1.667,1.0
7,7,0.88496077,,0.91283858,8.0,7.3,understand,31,en-us,30.980091,,5.0,3.333,4.0,2.333,1.0,1.333,1.0,,5.0,3.667,3.333,2.0,1.0,1.667,1.0,designate specific country people why Yemen is how about others,,40.0,4.0,4.0,1.667,1.0,1.333,1.0,,40.0,2.667,2.667,1.333,1.333,1.667,1.0
8,8,0.88496077,,0.91283858,8.6,8.0,my,31,en-us,30.980091,,10.0,3.333,3.667,2.333,1.0,1.333,1.0,,10.0,3.667,3.333,2.0,1.0,1.667,1.0,or Chinese or Japanese or other East Asian Europeans,,45.0,4.0,3.667,1.333,1.0,1.333,1.0,,45.0,2.667,2.667,1.333,1.333,1.667,1.0
9,9,0.88496077,,0.91283858,9.8,9.4,sentence,31,en-us,30.980091,,10.0,3.333,3.667,2.333,1.0,1.333,1.0,,10.0,3.667,3.333,2.0,1.0,1.667,1.0,Americans so I think there's no proper reason,,50.0,4.0,4.0,1.333,1.0,1.333,1.0,,50.0,3.333,2.667,1.333,1.333,1.667,1.0
10,10,0.88496077,,0.91283858,10.5,9.8,or,31,en-us,30.980091,,10.0,3.333,3.667,2.333,1.0,1.333,1.0,,10.0,3.667,3.333,2.0,1.0,1.667,1.0,in that issue and second although public opinion is also important,,55.0,4.0,4.0,1.333,1.0,1.333,1.0,,55.0,2.667,2.667,1.333,1.333,1.333,1.0
11,11,0.88496077,,0.91081238,11.2,10.5,statement,31,en-us,30.980091,,10.0,3.333,3.667,2.333,1.0,1.333,1.0,,10.0,3.667,3.333,2.0,1.0,1.667,1.0,but Yemen is Refugee Heaven,,60.0,4.0,4.0,1.667,1.0,1.333,1.0,,60.0,2.667,3.333,1.333,1.333,1.333,1.0
12,12,0.88496077,,0.91283858,12.0,11.3,because,31,en-us,30.980091,,10.0,3.333,3.667,2.333,1.0,1.333,1.0,,10.0,3.667,3.333,2.0,1.0,1.667,1.0,cause critical issues before you in Korea in myself,,65.0,4.333,4.0,1.667,1.0,1.333,1.0,,65.0,2.667,3.333,1.333,1.333,1.333,1.0
13,13,0.88496077,,0.91283858,13.1,12.7,and,31,en-us,30.980091,,10.0,3.333,3.667,2.333,1.0,1.333,1.0,,10.0,3.667,3.333,2.0,1.0,1.667,1.0,yeah and finally from a legal point of view Korea,,70.0,4.333,4.0,1.667,1.0,1.667,1.0,,70.0,2.333,3.333,1.333,1.333,1.333,1.0
14,14,0.88496077,,0.91283858,14.0,13.6,maybe,31,en-us,30.980091,,10.0,3.333,3.667,2.333,1.0,1.333,1.0,,10.0,3.667,3.333,2.0,1.0,1.667,1.0,is not traditional and classic our nation our nation in Korean,,75.0,4.333,4.0,1.667,1.0,1.333,1.0,,75.0,2.333,3.333,1.333,1.333,1.333,1.0
15,15,0.88496077,,0.91283858,14.2,14.0,it,31,en-us,30.980091,,10.0,3.333,3.667,2.333,1.0,1.333,1.0,,10.0,3.667,3.333,2.0,1.0,1.667,1.0,I mean joke our country defined in the constitution,,80.0,4.333,4.0,1.667,1.0,1.333,1.0,,80.0,2.333,3.333,1.333,1.333,1.333,1.0
16,16,0.88496077,,0.91283858,14.9,14.2,myself,31,en-us,30.980091,,10.0,3.333,3.667,2.333,1.0,1.333,1.0,,10.0,3.667,3.333,2.0,1.0,1.667,1.0,is a multicultural country if we prohibit,,85.0,4.0,4.0,1.667,1.0,1.333,1.0,,85.0,2.333,3.333,1.333,1.333,1.333,1.0
17,17,0.88496077,,0.91283858,15.2,14.9,I'm,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,them then it is against the Constitution,,90.0,4.333,4.0,1.667,1.0,1.333,1.0,,90.0,2.667,3.333,1.333,1.333,1.333,1.0
18,18,0.88496077,,0.91283858,15.7,15.2,not,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,Constitution against humble yes so,,95.0,4.333,4.0,1.667,1.0,1.333,1.0,,95.0,2.667,2.667,1.333,1.333,1.333,1.0
19,19,0.88496077,,0.91283858,16.1,15.8,very,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,because of these reasons I agree with,,100.0,4.0,4.0,1.667,1.0,1.333,1.0,,100.0,2.667,2.667,1.333,1.333,1.333,1.0
20,20,0.88496077,,0.90550131,16.4,16.1,good,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,Refugee acceptance,,105.0,4.0,3.667,1.667,1.0,1.333,1.0,,105.0,2.667,2.667,1.333,1.333,1.333,1.0
21,21,0.88496077,,0.89832622,16.7,16.4,at,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,first,,110.0,4.0,4.0,1.667,1.0,1.333,1.0,,110.0,2.667,2.667,1.333,1.333,1.333,1.0
22,22,0.88496077,,0.90305805,17.6,16.9,English,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,one thing that I,,115.0,4.0,4.0,1.667,1.0,1.333,1.0,,115.0,2.667,2.667,1.333,1.667,1.333,1.0
23,23,0.88496077,,0.89144355,17.8,17.6,and,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,couldn't really understand this referring to Chinese and Japanese so like,,120.0,3.333,3.667,1.333,1.0,1.0,1.0,,120.0,3.333,3.0,1.333,1.0,1.333,1.0
24,24,0.88496077,,0.91283858,18.0,17.8,I'm,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,the definition of refugees or,,125.0,3.0,3.667,1.333,1.0,1.0,1.0,,125.0,4.0,2.667,1.333,1.0,2.333,1.0
25,25,0.88496077,,0.91283858,18.1,18.0,the,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,refuges are supposed to be refugees because they have certain problems,,130.0,3.333,3.667,1.333,1.0,1.0,1.0,,130.0,4.333,3.0,1.333,1.0,1.667,1.0
26,26,0.88496077,,0.91283858,18.8,18.1,president,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,in their countries that were or religious problems but then in,,135.0,3.333,3.667,1.333,1.0,1.0,1.0,,135.0,4.333,3.0,1.333,1.0,1.667,1.0
27,27,0.88496077,,0.91283858,19.3,18.9,so,31,en-us,30.980091,,15.0,3.667,3.667,2.333,1.0,1.333,1.0,,15.0,4.0,4.0,2.0,1.0,1.333,1.0,Japan there are some problems in China and,,140.0,3.333,3.667,1.333,1.0,1.0,1.0,,140.0,3.667,3.0,1.333,1.0,1.667,1.0
28,28,0.88496077,,0.91283858,20.2,20.0,if,31,en-us,30.980091,,20.0,3.667,3.667,2.333,1.0,1.333,1.0,,20.0,4.0,4.0,2.0,1.0,1.333,1.0,those people can like apply for being Korean refugees,,145.0,3.333,3.667,1.333,1.0,1.0,1.0,,145.0,3.667,3.0,1.333,1.0,1.667,1.0
