results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime,p5,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surpise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,p6,seconds2,arousal2,valence2,cheerful2,happy2,angry2,nervous2,sad2,boredom2,confusion2,delight2,concentration2,frustration2,surpise2,none_1_2,confrustion2,contempt2,dejection2,disgust2,eureka2,pride2,sorrow2,none_2_2
0.83538342,okay so which I'm trying to argue against the yemeni refugees coming hurry up and think the strongest point that I can make is practically speaking the resources high and South Korea is not big enough to take in any more foreigners and for labor force so if they're coming for a tourist purpose they're actually being Spenders their customers so they're actually increase,0.91283858,4.2,3.7,okay,6,en-us,30.298549,,5,3,3,2,2,1,3,1,,,,x,,,,,x,,,,,,,,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.83538342,,0.91283858,6.0,5.4,so,6,en-us,30.298549,,5,3,3,2,2,1,3,1,,,,x,,,,,x,,,,,,,,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.83538342,,0.91283858,6.7,6.5,which,6,en-us,30.298549,,5,3,3,2,2,1,3,1,,,,x,,,,,x,,,,,,,,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.83538342,,0.91283858,6.8,6.7,I'm,6,en-us,30.298549,,5,3,3,2,2,1,3,1,,,,x,,,,,x,,,,,,,,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.83538342,,0.91283858,7.1,6.8,trying,6,en-us,30.298549,,5,3,3,2,2,1,3,1,,,,x,,,,,x,,,,,,,,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.83538342,,0.91283858,7.2,7.1,to,6,en-us,30.298549,,5,3,3,2,2,1,3,1,,,,x,,,,,x,,,,,,,,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.83538342,,0.91283858,7.4,7.2,argue,6,en-us,30.298549,,5,3,3,2,2,1,3,1,,,,x,,,,,x,,,,,,,,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.83538342,,0.91283858,8.1,7.4,against,6,en-us,30.298549,,5,3,3,2,2,1,3,1,,,,x,,,,,x,,,,,,,,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.83538342,,0.91283858,8.2,8.1,the,6,en-us,30.298549,,5,3,3,2,2,1,3,1,,,,x,,,,,x,,,,,,,,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.83538342,,0.91283858,8.6,8.2,yemeni,6,en-us,30.298549,,5,3,3,2,2,1,3,1,,,,x,,,,,x,,,,,,,,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
