,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.8521415,over the time starts now,0.91283858,0.200s,0s,over,2,en-us,1.864217s
5,0.8092494,time starts now okay so I think one of the major cons of letting them he's refusing to Korea is this idea of Koreans come first so if you look at the statistics the majority of the people who are against Emmys refugees were actually people in their twenties and thirties and middle-income individuals in the middle income class and this,0.88527411,0.700s,0.400s,time,1,en-us,29.977823s
66,0.89039356, okay so I think one of the major cons of letting the enemies of Jesus Korea is this idea of Koreans come first so if you look at the statistics the majority of the people who are against the Emmys refugees were actually people in their twenties and thirties and middle-income individuals in the middle income class and this is although this,0.88288432,3.100s,2.200s,okay,2,en-us,32.273016s
128,0.8219564, this is although this is a hypothesis this may stem from the fact that there's a high levels of youth unemployment so there is this concept of this idea that why are we letting these refugees come in and why are we spending taxpayers money on them when we should be focusing on other important issues that are more relevant to current people such as this idea of youth unemployment,0.91283858,30.100s,30s,this,1,en-us,55.214922s
198,0.80287558, psychologists this may stem from the fact that there's high levels of youth unemployment so there is this concept of this idea that why are we letting these refugees come in and why are we spending taxpayers money on them when we should be focusing on other important issues that are more relevant to current people such as this idea of youth unemployment,0.67566466,33.100s,32.300s,psychologists,2,en-us,55.244989s
261,0.79643089, yeah and also the second point is that because of the mass in flux so in 2015 there said there were no in no refugees but the number drastically increased so it also seems like they could potentially be taking advantage of the system or Korean Korean law,0.91283858,56.800s,56.300s,yeah,1,en-us,75.871657s
309,0.83483589, yeah and also the second point is that because of the mass in flux so in 2015 there said there were no in no refugees but number drastically increased so it also seems like they could potentially be taking advantage of the system or Korean Korean law,0.91283858,56.900s,56.400s,yeah,2,en-us,75.901724s
358,0.82831967, so yeah I heard your points for Mike those I'll start with my point of view first off these people giving these who came to this country came here basically to seek shelter from the war right the many wars I've been going on these people ran away from it they don't want to participate in the war and they were basically,0.91283858,81.500s,81s,so,1,en-us,105.388438s
420,0.73815125, I'm so yeah I heard your point before I get those I'll start with my point of view first off these people giving these who came to this country came here basically to seek shelter from the war right the in many wars I've been going on these people right away from it they don't want to participate in the war and they were basically,0.91283858,80.600s,80.400s,I'm,2,en-us,105.478640s
485,0.90929466, you know stripping from their rights to be safe and be educated and those kind of stuff and that's why they came to this country and not allowing them to stay in this country even though we actually made it into law that we could take them in b.o.b.,0.91283858,106s,105.900s,you,1,en-us,126.385944s
534,0.89179254, you know stricken from their rights to be safe and be educated and those kind of stuff and that's why they came to this country and not allowing them to stay in this country even though we actually made into law that we could take them in would be will be,0.91283858,106.100s,106s,you,2,en-us,126.405988s
585,0.75401479, what's it called,0.70155913,128.700s,128.500s,what's,2,en-us,129.923947s
588,0.84729022, it be what it called,0.91283858,127.900s,127.800s,it,1,en-us,130.064266s
593,0.83295906, you know if he's trying to you know say that you're a nice person but only that be a facade right you're actually a bad person but not lying not for not allowing them to be in here and that was one of the basic human rights issues and the second point would be,0.91283858,130.700s,130.700s,you,2,en-us,149.818959s
647,0.84570718, you know if he trying to you know say that you're a nice person but only that be a facade right you're actually a bad person but not lying not for not allowing them to be in here and that was one of the basic human rights issues and the second point would be,0.91283858,130.800s,130.700s,you,1,en-us,149.828983s
701,0.89403677, Koreans are not letting them because they think they are racist and rapists and terrorists right but those things are not true since they ran away from that were they are the people who don't do not like violence so that's one of the main points that you could say that they don't do it like that,0.91283858,150.900s,150.500s,Koreans,2,en-us,169.603721s
758,0.84708571, fries are not letting them because they think they are racist and rapists and terrorists right but those things are not true since they ran away from that were they are the people who don't do not like violence so that's one of the main points that you could say that they don't do it like that,0.77189058,150.800s,150.500s,fries,1,en-us,169.613745s
815,0.7420519, okay so it's all your first point was that you couldn't tell me your first one again so people get it's a basic human rights issue of Koreans made a law that would allow them to come into the country to seek shelter although since they made the system right it they are basically allowing it but once it happens,0.91283858,171.800s,171.200s,okay,2,en-us,197.597055s
875,0.85067493, okay so it's our your first point was that you can you tell me your first one again so people get it's a basic human rights issue Koreans made a law that would allow them to come into the country to seek shelter although since they made the system right it they are basically allowing it but once it happens,0.91283858,171.800s,171.300s,okay,1,en-us,197.607079s
935,0.83726311, they're not allowing it allowing it so it's basically going against what they originally said they were going to so you're saying we don't want to be like controversial yeah basically what I'm trying to say well I think the ideal is good that deal of letting refugees into our country is good but for the case of the enemy's refugees seeing this mass in flux especially in Korea which is a much,0.91283858,198.100s,197.900s,they're,1,en-us,227.725220s
1008,0.8869459, they're not allowing allowing it so it's basically going against what they originally set their phones so you're saying you don't want to be like controversial yeah basically what you're trying to say well I think the ideal is good the idea of letting refugees in Turkey a country is good but for the case of the yemenis refugees seeing this Mass influx especially in Korea which is a much,0.91283858,198.100s,198s,they're,2,en-us,227.735241s
1078,0.72851712, other countries with much more linear resources that countries in like Europe or America could possibly be seen as threatening to the Korean people especially because it's only the island of JeJu and judge it was a very small part of Korea with a much more limited population so yeah yeah I guess I guess that's kind of true but you know the other point is that,0.91283858,227.900s,227.800s,other,1,en-us,252.591479s
1145,0.74472922, other countries with much more limited resources that countries in like Europe or America could possibly be seen as threatening to the community people especially because it's only the island of JeJu and judge it was a very small part of Korea with a much more limited population so yeah yeah and I guess I guess that's kind of true but you know the other point is that,0.75193661,227.900s,227.800s,other,2,en-us,252.601500s
1213,0.68087322, those yemenis are only 500 people right over the course of these years thousand North Korea's came to this country and you know if you think about that North Koreans are currently we're at War stating their these bad people you know according to like the 50s and 60s people they are these bad people with the other Notions and there they could they have the highest possibility of being spies right so in that kind of,0.37156737,253.600s,253.300s,those,1,en-us,282.980232s
1290,0.86115015, those yemenis are only 500 people right over the course of these years thousand North Koreans came to this country and you know if you think about that North Koreans are currently we're at War stating their these bad people you know according to like the 50s and 60s people they are these bad people with the other Notions and there they could they have the highest possibility of being spies right so in that kind of,0.91283858,253.600s,253.300s,those,2,en-us,282.990253s
1367,0.8932451, view yemenis they're only here to seek shelter they're not here to terrorize or anything like that in cats cats eat for see anything like that but North Koreans coming to this country for seeking shelter could be a bigger issue than that then why are we allowing North Koreans come here but not the yemenis,0.91283858,283.400s,283s,view,2,en-us,299.076647s
1423,0.90284401, view yemenis they're only here to seek shelter they're not here to terrorize or anything like that it can't cats eat for see anything like that but North Koreans coming to this country for seeking shelter could be a bigger issue than that then why are we allowing North Koreans to come here but not the yemenis,0.91283858,283.400s,283s,view,1,en-us,299.096695s
1480,0.89479756, well that is a good point on a human rights level the I think they could be viewed in the same way but from a Korean citizens perspective North Korea is still part of current it can still be viewed as an extension of Korea that was just simply divided because the war and especially because it was only a career isn't was only divided like 50 or 60 70 years ago,0.91283858,302s,301.400s,well,2,en-us,331.169256s
1552,0.82315683, well that is a good point on a human rights level the I think they could be viewed in the same way but from a Korean citizens perspective North Korea is still part of current it can still be viewed as an extension of Korea that was just simply divided because of the war and especially because it was only a career as it was only divided like 50 or 60 70 years ago,0.91283858,302s,301.400s,well,1,en-us,331.189303s
1626,0.87766528, we share the same language we have a very similar culture but for the yemenis I think it's possible that Korean citizens can do them as Outsiders and I think we should recognize the Korea is a country for Koreans and mutual respect the Korean citizens perspective of like,0.91283858,331.700s,331.500s,we,2,en-us,352.246943s
1675,0.90768635, we share the same language we have a very similar culture but for the yemenis I think it's possible that Korean citizens can view them as Outsiders and I think we should recognize the like Korea is a country for Koreans and we should respect the Korean citizens perspective of like,0.91283858,331.600s,331.500s,we,1,en-us,352.327126s
1726,0.91283864, like this nationalism,0.91283858,353.300s,353s,like,2,en-us,355.895197s
1729,0.91283864, like this nationalism,0.91283858,353.300s,353s,like,1,en-us,356.145766s
1732,0.79702485, yes I guess yeah that's one loves them is period and no Koreans first cuz we are here is actually a good point and well I'm not against it but um,0.91283858,357.200s,357s,yes,2,en-us,367.341093s
1763,0.85147977, yes I guess yeah that's one of them is good and no Koreans first cuz we are here is actually a good point well I'm not against it but um,0.91283858,357.200s,357s,yes,1,en-us,367.401231s
1793,0.87106019, these days you know all over the world we're talking about globalism and like we're talking about how other races are living in other countries we already know that being a racist in America is a big issue and like it's just between whites and blacks and those were all occurring issues for the last century right and everyone in the world right now like I guess kind of agrees that being a racist is bad,0.91283858,369.100s,368.800s,these,1,en-us,398.551708s
1869,0.83780146, these days you know all over the world we're talking about globalism and like we're talking about how other races are living in other countries we already know that being a racist in America is a big issue and like it's just between whites and blacks and those were all occurring issues for the last century right and everyone in the world right now like I guess kind of agrees that being a racist is bad,0.91283858,369.100s,368.800s,these,2,en-us,398.561728s
1945,0.82700509, but isn't that basically what we're trying to were really doing here in Korea being a racist rejecting the other culture without knowing anything about them calling them terrorists rapists and stuff like that I lived in Saudi Arabia for two years and come on that's one of the biggest countries for you know as long as people and over there those people were really nice and I've loved like I didn't get to know their culture or anything like that but if you don't,0.91283858,399.300s,398.900s,but,1,en-us,426.063953s
2030,0.76187181, but isn't that basically what we're trying to prove you're really doing here Korea being a racist of rejecting the other culture without knowing anything about them calling them terrorists rapists and stuff like that I lived in Saudi Arabia for two years and come on that's one of the biggest countries for you know as long as people and over there those people were really nice I've loved like I didn't get to know their culture or anything like that but if you don't do anything no weird over there,0.91283858,399.300s,398.900s,but,2,en-us,428.539551s
2121,0.75403559, do anything no reared over there and they're really nice and you know you have before before the religion like everyone like I bet everybody like has this kind of compassion these emotion everyone can relate to these emotions and those are the basic you know human stuff I guess and if you get to know those stuff then would have people be more likely to like connect to be seventies and work be more compassionate towards them,0.91283858,426.600s,426.400s,do,1,en-us,455.991664s
2199,0.85107696, and they're really nice and you know you have before before the religion like everyone like I bet everybody like has this kind of compassionate Easy Motion everyone can relate to these emotions and those are the basic you know human stuff I guess and if you get to know those stuff then would have people be more likely to like connect to be 70s and or be more compassionate towards them,0.91283858,429.500s,428.900s,and,2,en-us,456.031752s
2271,0.86611515, so yeah it's just a book by it's cover I guess,0.91283858,456.900s,456.300s,so,2,en-us,460.291389s
2282,0.9123168, so yeah it's like judging a book by it's cover I guess,0.91283858,456.900s,456.300s,so,1,en-us,460.291392s
2294,0.78894544, I definitely do agree that that we shouldn't reject the enemies refugees because of this racist image but I think going Beyond racism it's more about national interests so each person in the world is part of a country there are citizens of a country and that that country has its own government and the government is supposed to work in the interest of his people and I don't think it's a bad thing that Korea,0.91283858,462.400s,462s,I,2,en-us,491.682410s
