,results/alternatives/0/transcript,results/resultEndTime
0,we'll start now okay in my opinions about your Refugee from Gmail in South Korea at Jeju Islands I think that is would be have some positive benefits if the Korean government letter reality into the country with some restrictions,25.778322s
1,don't start now okay in my opinions about your Refugee from Yemen in South Korea at Chatham Islands I think that is would be have some positive benefits if the Korean government leader Reggie into the country with some restrictions,25.948708s
2, and more over than that the Koreans has already decided to un Refugee convention in 1991 22,41.594105s
3, and more over than that the Koreans has already decided to un Refugee convention in 1991 22,41.654241s
4, to approve or to guarantee the status of refugee in the state something like that and also to compare to another country in European country like Germany does have two more very crisis in the refugee problems or issues more than seven hundred thousands but in Korean degree,72.063040s
5," to approve or to guarantee the status of refugee in the state something that has and also to compare to another country in Europe and Country like Germany does have more very crisis in the refugee problems or issues more than 700,000 but in Korean agreement is",72.443901s
6, veggies is only 550 people solar the first thing that I think the Korean government should accept this group of refugees,83.057914s
7, geez is only 550 people so it is the first thing that I think the Korean government should accept this group of refugees,83.098006s
8, okay yeah that I agree with you with that okay Korean does sign convention in 1991 but,96.498324s
9, okay yeah that I agree with you with that okay Korean just side of convention in 1991 but,96.558459s
10, I just think that it's like a special case for the Koreans who have like their their body instigate like with the XO phobia sometimes and they're just like care about the conditioned living so I think if you think about your population first and there are some so very that have already so way that they are more proposed proportion of Korean population so I just,126.897099s
11, I just think that it's like a special case for the Koreans who have like their their bodies the is like with the XO phobia sometimes and they're just like care about the conditioned living so I think if you think about your population first and there are some so very that have or these away that there are more populous proportion of Korean population so I just,126.897100s
12, thing that if you just do four,132.138958s
13, I think that if you just do four,132.199095s
14, follow the convention is not the best way to be the good just for the country but you have to look and take care of your relation also so it's just like,145.679593s
15, follow the convention is not the best way to be the good just for the country but you have to look and take care your place and also it was like,145.689617s
16, if you,148.445852s
17, if you,148.465898s
18, listen your people first,152.104129s
19, listen your people first,152.124175s
20, it will be good so I think it's not good if we accept all yemenis gratuities at Jeju Island yeah,162.056646s
21, it will be good so I think is not do it if we accept all yemenis refugees at they dryer yea but I think in do appropriate of the other refugees in Korean bioderma Co tested actually it's just 2.4% from 1994 the sin that is the first time that Korea and South Korea and,182.623178s
22, but I think do appropriate of the refugees in Korean butter with your vested actually is just 2.4% from 1994 the sin that the first time that Korea and South Korean government except the a refugee and but,187.824945s
23, except the a refugee and but actually it's fun up to none up until now the government also consider voice of the South Korean citizens and by that by the consider that they requirement already put their dmn citizen remains traveler a citizen that want to come in to Curry,212.601001s
24, actually it's fun up to none up until now the government also consider walls of the South Korean citizens and by that by the consider that they are requirement already put their game in citizen I already miss traveler or citizen that want to come into Korean have to get some result before but so I think this,218.103450s
25, Ian have to get some result before but so I think this this is a liar easiest way for now to deal with this problem and about the signal for beer that you rest I think this studying that if Korean want to be in the Lea Archery internationalized Country or developed country we have or the government have,242.618916s
26, this is a slider easiest way for now to deal with this problem and about the signal for beer that you rest I think this stating that if Korean want to be in the Lea Archery internationalized Country or developed country we have or the government's have to educate the currency teaching people how to living in a globalization work,247.900865s
27, the characters currency to seven people how to living in a globalization work,247.910888s
28, okay so,252.340911s
29, okay so,252.381002s
30, I just put at this right Arisa topics now first it's like you say Korean government has put the human to the result list but it's like if you have like another countries or like Outsider just do like this again so it's just like,276.756149s
31, I just put the SS right away sir topics now first it's like you say Korean government has put the human to the result list but it's like if you have like another country's or like a cider just do like this again so it's just like,276.826309s
32, but the road is Commander being a refugee yeah it's like if some countries is like want to be refugees and comes and do like the yemenis as I think that if they just put the country in the list is not the best way this is the easiest way that yes but it's not the best one it's like,297.432930s
33, Commander being a refugee yeah it's like if some countries just like want to be their equities and comes and do like the yemenis as I think that if they just put the country in the list is not the best way it was the easiest way that yes but it's not the best one it's like,297.442953s
34, if the there are a lot so the bezel is like too long and it's not good for the image also yeah and to like,310.462408s
35, if the there are a lot so the bezel it is like too long and it's not good for the image also yeah and to like,310.793157s
36, we don't know like if we accept refugee,318.941592s
37, we don't know like if we accept the refugee,318.941592s
38, nothing can guarantee about Korean citizens live security and I think also it's like the Privacy also so I think so,334.135969s
39, nothing can guarantee about Korean citizens life security and I think also is like the Privacy also so I think so yeah I also accept that for this comment about a researcher is and also the some highlighter for receive other citizenship of South Korea and but I think,349.470663s
